"Status","Year","Function_of_post","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Digital, Data and Technology","330","320","44380","44400"
"In post","2021","Project Delivery","Male","Economics","70","60","56830","56610"
"In post","2021","Project Delivery","Male","Finance","180","180","44040","41000"
"In post","2021","Project Delivery","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Knowledge and Information Management","130","120","37230","35790"
"In post","2021","Project Delivery","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Medicine","30","30","[c]","[c]"
"In post","2021","Project Delivery","Male","Operational Delivery","780","760","38550","36110"
"In post","2021","Project Delivery","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Other","2000","1960","35000","30810"
"In post","2021","Project Delivery","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Policy","1130","1100","53870","54400"
"In post","2021","Project Delivery","Male","Project Delivery","7020","6910","44120","40580"
"In post","2021","Project Delivery","Male","Property","180","180","49300","50630"
"In post","2021","Project Delivery","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Science and Engineering","3110","3050","37290","35730"
"In post","2021","Project Delivery","Male","Security","40","40","[c]","[c]"
"In post","2021","Project Delivery","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","Tax","50","50","[c]","[c]"
"In post","2021","Project Delivery","Male","Unknown","290","290","54600","45210"
"In post","2021","Project Delivery","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Operational Delivery","870","790","27390","21250"
"In post","2021","Property","Female","Other","80","70","32840","25900"
"In post","2021","Property","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Property","Female","Property","2570","2390","33560","31810"
"In post","2021","Property","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","Unknown","260","240","33580","29190"
"In post","2021","Property","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Operational Delivery","580","560","31080","24500"
"In post","2021","Property","Male","Other","250","240","31640","28870"
"In post","2021","Property","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Property","Male","Property","3890","3790","37020","33300"
"In post","2021","Property","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Unknown","590","580","32700","30160"
"In post","2021","Security","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Intelligence Analysis","100","100","43680","38860"
"In post","2021","Security","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Other","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Security","1480","1440","31160","27700"
"In post","2021","Security","Female","Unknown","460","430","32190","33000"
"In post","2021","Security","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Intelligence Analysis","100","100","47960","39770"
"In post","2021","Security","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Other","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Security","6140","6050","30960","26750"
"In post","2021","Security","Male","Unknown","420","410","34060","33300"
"In post","2021","Security","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","60","60","39490","39190"
"In post","2021","Unknown","Female","Communications","200","190","44220","42710"
"In post","2021","Unknown","Female","Counter Fraud","110","100","25620","25310"
"In post","2021","Unknown","Female","Digital, Data and Technology","450","430","47490","44100"
"In post","2021","Unknown","Female","Economics","80","70","45870","40870"
"In post","2021","Unknown","Female","Finance","350","330","42040","37410"
"In post","2021","Unknown","Female","Human Resources","510","470","40730","37180"
"In post","2021","Unknown","Female","Intelligence Analysis","930","860","30970","29080"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Knowledge and Information Management","110","100","36590","34490"
"In post","2021","Unknown","Female","Legal","100","90","56140","60830"
"In post","2021","Unknown","Female","Medicine","1430","1270","42870","37890"
"In post","2021","Unknown","Female","Operational Delivery","14720","13080","28100","25630"
"In post","2021","Unknown","Female","Operational Research","50","50","[c]","[c]"
"In post","2021","Unknown","Female","Other","7300","6900","27600","22080"
"In post","2021","Unknown","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Policy","3010","2870","45460","41970"
"In post","2021","Unknown","Female","Project Delivery","800","770","44020","41140"
"In post","2021","Unknown","Female","Property","70","60","40800","34600"
"In post","2021","Unknown","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Science and Engineering","510","490","43140","40580"
"In post","2021","Unknown","Female","Security","120","110","33630","29370"
"In post","2021","Unknown","Female","Social Research","200","190","45630","47000"
"In post","2021","Unknown","Female","Statistics","100","90","41560","38360"
"In post","2021","Unknown","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","67120","58420","28650","27570"
"In post","2021","Unknown","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","50","50","41910","42100"
"In post","2021","Unknown","Male","Communications","140","140","44160","41320"
"In post","2021","Unknown","Male","Counter Fraud","70","60","29190","25580"
"In post","2021","Unknown","Male","Digital, Data and Technology","1000","990","48490","44970"
"In post","2021","Unknown","Male","Economics","130","130","46740","35910"
"In post","2021","Unknown","Male","Finance","280","280","45730","41970"
"In post","2021","Unknown","Male","Human Resources","270","260","41400","36620"
"In post","2021","Unknown","Male","Intelligence Analysis","1310","1270","33680","30980"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Knowledge and Information Management","100","100","38240","37410"
"In post","2021","Unknown","Male","Legal","50","50","57450","60830"
"In post","2021","Unknown","Male","Medicine","560","530","55420","46290"
"In post","2021","Unknown","Male","Operational Delivery","12910","12280","29070","25990"
"In post","2021","Unknown","Male","Operational Research","130","120","45650","41700"
"In post","2021","Unknown","Male","Other","7900","7760","31000","28650"
"In post","2021","Unknown","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Policy","2330","2300","49410","45200"
"In post","2021","Unknown","Male","Project Delivery","650","640","46130","41970"
"In post","2021","Unknown","Male","Property","90","90","43710","40740"
"In post","2021","Unknown","Male","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Science and Engineering","1820","1790","34910","29200"
"In post","2021","Unknown","Male","Security","230","230","29740","25630"
"In post","2021","Unknown","Male","Social Research","50","50","[c]","[c]"
"In post","2021","Unknown","Male","Statistics","90","80","40540","37410"
"In post","2021","Unknown","Male","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","38130","36730","30620","27570"
"In post","2021","Unknown","Male","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Digital, Data and Technology","80","80","42440","41750"
"In post","2022","Analysis","Female","Economics","480","460","45680","38340"
"In post","2022","Analysis","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Intelligence Analysis","50","50","[c]","[c]"
"In post","2022","Analysis","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Operational Delivery","430","400","34540","30810"
"In post","2022","Analysis","Female","Operational Research","270","250","42780","38340"
"In post","2022","Analysis","Female","Other","150","140","54690","52080"
"In post","2022","Analysis","Female","Policy","300","280","49110","50630"
"In post","2022","Analysis","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Science and Engineering","300","280","34790","30220"
"In post","2022","Analysis","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Social Research","760","720","41550","38340"
"In post","2022","Analysis","Female","Statistics","940","890","44140","40180"
"In post","2022","Analysis","Female","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","Unknown","70","60","42560","37610"
"In post","2022","Analysis","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Male","Digital, Data and Technology","80","80","46640","45250"
"In post","2022","Analysis","Male","Economics","890","880","47460","41950"
"In post","2022","Analysis","Male","Finance","30","30","[c]","[c]"
"In post","2022","Analysis","Male","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Male","Human Resources","[c]","[c]","[c]","[c]"
