"Status","Year","Sex","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Operational Delivery","130","130","32370","29430"
"In post","2021","Female","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Policy","640","620","48610","52500"
"In post","2021","Female","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","HM Treasury","Tax","30","30","[c]","[c]"
"In post","2021","Female","HM Treasury","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Home Office","Commercial","40","40","[c]","[c]"
"In post","2021","Female","Home Office","Communications","110","100","48340","44200"
"In post","2021","Female","Home Office","Counter Fraud","110","100","25620","25310"
"In post","2021","Female","Home Office","Digital, Data and Technology","380","370","48730","44970"
"In post","2021","Female","Home Office","Economics","40","40","[c]","[c]"
"In post","2021","Female","Home Office","Finance","140","130","44050","41570"
"In post","2021","Female","Home Office","Human Resources","350","330","43190","37450"
"In post","2021","Female","Home Office","Intelligence Analysis","670","620","29190","27370"
"In post","2021","Female","Home Office","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Female","Home Office","Operational Delivery","13080","11570","27460","25310"
"In post","2021","Female","Home Office","Operational Research","30","30","[c]","[c]"
"In post","2021","Female","Home Office","Other","1010","950","35260","30950"
"In post","2021","Female","Home Office","Policy","1160","1120","48760","42460"
"In post","2021","Female","Home Office","Project Delivery","710","690","44370","41630"
"In post","2021","Female","Home Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Home Office","Science and Engineering","70","60","48640","41300"
"In post","2021","Female","Home Office","Security","120","110","33630","29370"
"In post","2021","Female","Home Office","Social Research","80","70","46900","43560"
"In post","2021","Female","Home Office","Statistics","50","40","[c]","[c]"
"In post","2021","Female","Home Office","Unknown","110","100","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Commercial","1080","1010","36470","34500"
"In post","2021","Female","Ministry of Defence","Communications","310","290","35640","33300"
"In post","2021","Female","Ministry of Defence","Corporate Finance","40","30","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Digital, Data and Technology","440","420","33000","32660"
"In post","2021","Female","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Finance","1300","1230","36680","33300"
"In post","2021","Female","Ministry of Defence","Human Resources","1430","1310","31120","26670"
"In post","2021","Female","Ministry of Defence","Intelligence Analysis","260","240","35700","33300"
"In post","2021","Female","Ministry of Defence","Internal Audit","80","70","37440","33300"
"In post","2021","Female","Ministry of Defence","Knowledge and Information Management","420","400","31740","28670"
"In post","2021","Female","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Medicine","1220","1080","41010","37640"
"In post","2021","Female","Ministry of Defence","Operational Delivery","1040","960","30550","28650"
"In post","2021","Female","Ministry of Defence","Operational Research","180","170","40620","39300"
"In post","2021","Female","Ministry of Defence","Other","7030","6620","25560","21580"
"In post","2021","Female","Ministry of Defence","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Policy","580","560","40620","37640"
"In post","2021","Female","Ministry of Defence","Project Delivery","3660","3510","37050","33300"
"In post","2021","Female","Ministry of Defence","Property","950","910","30340","33000"
"In post","2021","Female","Ministry of Defence","Psychology","30","30","[c]","[c]"
"In post","2021","Female","Ministry of Defence","Science and Engineering","1180","1120","36980","37210"
"In post","2021","Female","Ministry of Defence","Security","940","910","28030","23540"
"In post","2021","Female","Ministry of Defence","Statistics","90","80","40410","40570"
"In post","2021","Female","Ministry of Defence","Unknown","540","510","34370","33300"
"In post","2021","Female","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Communications","60","50","41040","34200"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","50","40","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Finance","80","80","49610","49040"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Human Resources","70","60","39500","33210"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Operational Delivery","410","380","33420","30870"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Planning","70","60","47300","42200"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Planning Inspectors","130","110","57850","58810"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Policy","650","630","47710","48200"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Project Delivery","70","70","45960","44460"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Housing, Communities and Local Government","Statistics","40","40","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Commercial","500","480","43400","40060"
"In post","2021","Female","Ministry of Justice","Communications","100","90","43610","38960"
"In post","2021","Female","Ministry of Justice","Digital, Data and Technology","390","380","44870","42320"
"In post","2021","Female","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Finance","430","410","39090","34530"
"In post","2021","Female","Ministry of Justice","Human Resources","630","610","41370","36840"
"In post","2021","Female","Ministry of Justice","Intelligence Analysis","300","290","29520","27380"
"In post","2021","Female","Ministry of Justice","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Knowledge and Information Management","50","50","29640","26410"
"In post","2021","Female","Ministry of Justice","Legal","940","830","42320","42750"
"In post","2021","Female","Ministry of Justice","Operational Delivery","37040","33750","26810","23840"
"In post","2021","Female","Ministry of Justice","Operational Research","40","40","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Other","40","40","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ministry of Justice","Policy","850","820","39320","36280"
"In post","2021","Female","Ministry of Justice","Project Delivery","340","330","41520","36800"
"In post","2021","Female","Ministry of Justice","Property","90","80","36210","32530"
"In post","2021","Female","Ministry of Justice","Psychology","1150","1090","35200","30450"
"In post","2021","Female","Ministry of Justice","Security","320","310","36770","32550"
"In post","2021","Female","Ministry of Justice","Social Research","50","50","47790","42920"
"In post","2021","Female","Ministry of Justice","Statistics","60","50","46020","41830"
"In post","2021","Female","Ministry of Justice","Unknown","60","60","41520","36760"
"In post","2021","Female","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Digital, Data and Technology","110","100","38090","36740"
"In post","2021","Female","National Crime Agency","Finance","30","30","[c]","[c]"
"In post","2021","Female","National Crime Agency","Human Resources","110","100","40250","40060"
"In post","2021","Female","National Crime Agency","Legal","30","30","[c]","[c]"
"In post","2021","Female","National Crime Agency","Operational Delivery","2050","1970","36770","36200"
"In post","2021","Female","National Crime Agency","Project Delivery","50","50","[c]","[c]"
"In post","2021","Female","National Crime Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
