"Status","Year","Disability","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Communications","G6/G7","80","80","57290","55340"
"In post","2022","Declared disabled","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","SEO/HEO","260","250","36250","33370"
"In post","2022","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","AA/AO","420","360","22350","21260"
"In post","2022","Declared disabled","Counter Fraud","EO","890","800","28180","27570"
"In post","2022","Declared disabled","Counter Fraud","G6/G7","120","110","59030","55210"
"In post","2022","Declared disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","SEO/HEO","550","510","36110","34290"
"In post","2022","Declared disabled","Debt","AA/AO","630","540","21640","21260"
"In post","2022","Declared disabled","Debt","EO","140","130","27960","27570"
"In post","2022","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Debt","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","AA/AO","110","100","21720","21380"
"In post","2022","Declared disabled","Digital, Data & Technology","EO","460","430","27530","27230"
"In post","2022","Declared disabled","Digital, Data & Technology","G6/G7","440","430","57310","55210"
"In post","2022","Declared disabled","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","SEO/HEO","970","930","36870","36050"
"In post","2022","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","AA/AO","180","150","21770","21260"
"In post","2022","Declared disabled","Finance","EO","220","200","27100","26900"
"In post","2022","Declared disabled","Finance","G6/G7","220","210","57800","56520"
"In post","2022","Declared disabled","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","SEO/HEO","500","470","36480","35470"
"In post","2022","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","AA/AO","100","90","21280","21300"
"In post","2022","Declared disabled","Grants Management","EO","40","40","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Grants Management","SEO/HEO","40","30","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","AA/AO","200","180","21640","21270"
"In post","2022","Declared disabled","Human Resources","EO","360","330","27630","27570"
"In post","2022","Declared disabled","Human Resources","G6/G7","310","300","57410","55210"
"In post","2022","Declared disabled","Human Resources","SCS","40","40","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","SEO/HEO","680","650","36670","36050"
"In post","2022","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Internal Audit","SEO/HEO","60","60","39470","39190"
"In post","2022","Declared disabled","Legal","AA/AO","200","180","22780","22200"
"In post","2022","Declared disabled","Legal","EO","240","220","28300","28430"
"In post","2022","Declared disabled","Legal","G6/G7","520","480","59500","56560"
"In post","2022","Declared disabled","Legal","SCS","40","30","[c]","[c]"
"In post","2022","Declared disabled","Legal","SEO/HEO","220","210","39120","38000"
"In post","2022","Declared disabled","No function","AA/AO","11280","9820","22460","21260"
"In post","2022","Declared disabled","No function","EO","10930","9830","28180","27570"
"In post","2022","Declared disabled","No function","G6/G7","1880","1820","57960","55210"
"In post","2022","Declared disabled","No function","SCS","210","200","89560","78420"
"In post","2022","Declared disabled","No function","SEO/HEO","5370","5100","36900","35630"
"In post","2022","Declared disabled","No function","Unknown","3290","3070","30760","28290"
"In post","2022","Declared disabled","Project Delivery","AA/AO","120","100","22200","21300"
"In post","2022","Declared disabled","Project Delivery","EO","400","370","25310","26120"
"In post","2022","Declared disabled","Project Delivery","G6/G7","580","560","58080","55210"
"In post","2022","Declared disabled","Project Delivery","SCS","30","30","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","1320","1260","36500","36460"
"In post","2022","Declared disabled","Project Delivery","Unknown","160","160","39430","36550"
"In post","2022","Declared disabled","Property","AA/AO","150","140","21830","22010"
"In post","2022","Declared disabled","Property","EO","160","150","26630","26670"
"In post","2022","Declared disabled","Property","G6/G7","140","140","57730","56170"
"In post","2022","Declared disabled","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","310","290","36880","34640"
"In post","2022","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","AA/AO","360","340","26570","21850"
"In post","2022","Declared disabled","Security","EO","170","160","30590","27570"
"In post","2022","Declared disabled","Security","G6/G7","50","50","[c]","[c]"
"In post","2022","Declared disabled","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","260","260","37990","36460"
"In post","2022","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","1860","1700","22060","21680"
"In post","2022","Declared disabled","Unknown","EO","1900","1770","27610","27230"
"In post","2022","Declared disabled","Unknown","G6/G7","740","720","61460","59730"
"In post","2022","Declared disabled","Unknown","SCS","80","70","89360","83230"
"In post","2022","Declared disabled","Unknown","SEO/HEO","2010","1930","37610","36650"
"In post","2022","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","AA/AO","180","180","21760","21380"
"In post","2022","Declared non-disabled","Analysis","EO","570","550","26910","26520"
"In post","2022","Declared non-disabled","Analysis","G6/G7","2000","1910","59110","57150"
"In post","2022","Declared non-disabled","Analysis","SCS","140","140","88530","79600"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","2780","2700","36440","36650"
"In post","2022","Declared non-disabled","Commercial","AA/AO","160","150","21990","21830"
"In post","2022","Declared non-disabled","Commercial","EO","480","460","26590","26490"
"In post","2022","Declared non-disabled","Commercial","G6/G7","820","800","58830","56490"
"In post","2022","Declared non-disabled","Commercial","SCS","160","150","111550","100150"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","1760","1710","37360","37300"
"In post","2022","Declared non-disabled","Commercial","Unknown","120","120","40230","37450"
"In post","2022","Declared non-disabled","Communications","AA/AO","270","250","21850","21250"
"In post","2022","Declared non-disabled","Communications","EO","1750","1690","26950","26820"
"In post","2022","Declared non-disabled","Communications","G6/G7","730","710","58700","56500"
"In post","2022","Declared non-disabled","Communications","SCS","90","90","92320","84240"
"In post","2022","Declared non-disabled","Communications","SEO/HEO","2160","2090","36720","34710"
"In post","2022","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","AA/AO","1900","1640","22340","21260"
"In post","2022","Declared non-disabled","Counter Fraud","EO","4790","4380","28160","27570"
"In post","2022","Declared non-disabled","Counter Fraud","G6/G7","890","860","59710","56170"
"In post","2022","Declared non-disabled","Counter Fraud","SCS","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","SEO/HEO","3760","3580","36340","34290"
"In post","2022","Declared non-disabled","Debt","AA/AO","3140","2730","21630","21260"
"In post","2022","Declared non-disabled","Debt","EO","810","730","27730","27570"
"In post","2022","Declared non-disabled","Debt","G6/G7","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Debt","SEO/HEO","280","260","34960","33370"
"In post","2022","Declared non-disabled","Digital, Data & Technology","AA/AO","600","580","21820","21380"
"In post","2022","Declared non-disabled","Digital, Data & Technology","EO","2390","2270","27540","27270"
"In post","2022","Declared non-disabled","Digital, Data & Technology","G6/G7","4160","4080","57670","55210"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SCS","240","230","91090","85000"
"In post","2022","Declared non-disabled","Digital, Data & Technology","SEO/HEO","7230","7020","37380","36900"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Unknown","50","50","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","AA/AO","1040","880","21740","21260"
"In post","2022","Declared non-disabled","Finance","EO","1400","1320","26900","26820"
"In post","2022","Declared non-disabled","Finance","G6/G7","2010","1950","58430","57130"
"In post","2022","Declared non-disabled","Finance","SCS","220","210","86810","79890"
"In post","2022","Declared non-disabled","Finance","SEO/HEO","3740","3600","37320","36560"
"In post","2022","Declared non-disabled","Finance","Unknown","50","40","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","AA/AO","1170","1070","21280","21300"
"In post","2022","Declared non-disabled","Grants Management","EO","540","500","25420","25190"
"In post","2022","Declared non-disabled","Grants Management","G6/G7","60","60","51790","49370"
"In post","2022","Declared non-disabled","Grants Management","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Grants Management","SEO/HEO","310","290","32520","31040"
"In post","2022","Declared non-disabled","Human Resources","AA/AO","1030","940","21700","21260"
"In post","2022","Declared non-disabled","Human Resources","EO","1680","1570","27170","27230"
"In post","2022","Declared non-disabled","Human Resources","G6/G7","1690","1630","57690","55720"
"In post","2022","Declared non-disabled","Human Resources","SCS","180","180","87230","79580"
"In post","2022","Declared non-disabled","Human Resources","SEO/HEO","3250","3100","36170","35310"
"In post","2022","Declared non-disabled","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","G6/G7","150","150","58030","56400"
"In post","2022","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Internal Audit","SEO/HEO","340","320","40870","40690"
"In post","2022","Declared non-disabled","Legal","AA/AO","970","880","22650","22200"
"In post","2022","Declared non-disabled","Legal","EO","1440","1350","28080","27870"
"In post","2022","Declared non-disabled","Legal","G6/G7","4210","3880","59610","58040"
"In post","2022","Declared non-disabled","Legal","SCS","350","340","87910","82720"
"In post","2022","Declared non-disabled","Legal","SEO/HEO","1530","1460","39870","38180"
"In post","2022","Declared non-disabled","No function","AA/AO","58830","52590","22990","21260"
"In post","2022","Declared non-disabled","No function","EO","50930","46780","28110","27570"
"In post","2022","Declared non-disabled","No function","G6/G7","17240","16660","58580","55430"
"In post","2022","Declared non-disabled","No function","SCS","2300","2200","88180","80000"
"In post","2022","Declared non-disabled","No function","SEO/HEO","36590","35070","37080","35900"
"In post","2022","Declared non-disabled","No function","Unknown","11720","10910","30540","28200"
"In post","2022","Declared non-disabled","Project Delivery","AA/AO","410","350","21870","21260"
"In post","2022","Declared non-disabled","Project Delivery","EO","2350","2230","24840","25750"
"In post","2022","Declared non-disabled","Project Delivery","G6/G7","5120","4970","58050","55620"
"In post","2022","Declared non-disabled","Project Delivery","SCS","470","450","92650","84220"
"In post","2022","Declared non-disabled","Project Delivery","SEO/HEO","9260","8900","36610","36910"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","1150","1120","41100","39760"
"In post","2022","Declared non-disabled","Property","AA/AO","940","870","21070","21840"
"In post","2022","Declared non-disabled","Property","EO","1210","1140","26740","26880"
"In post","2022","Declared non-disabled","Property","G6/G7","1270","1240","58610","57150"
"In post","2022","Declared non-disabled","Property","SCS","80","80","90130","82120"
"In post","2022","Declared non-disabled","Property","SEO/HEO","2740","2630","37640","36460"
"In post","2022","Declared non-disabled","Property","Unknown","40","40","[c]","[c]"
"In post","2022","Declared non-disabled","Security","AA/AO","3390","3310","26120","21830"
"In post","2022","Declared non-disabled","Security","EO","960","930","31730","28670"
"In post","2022","Declared non-disabled","Security","G6/G7","410","400","59500","58040"
"In post","2022","Declared non-disabled","Security","SCS","40","40","[c]","[c]"
