"Status","Year","Profession_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","EO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","G6/G7","80","80","64080","63000"
"In post","2021","Counter Fraud","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","SEO/HEO","150","150","37560","40000"
"In post","2021","Counter Fraud","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","SEO/HEO","240","230","38750","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","EO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","AA/AO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","EO","100","90","25990","25310"
"In post","2021","Counter Fraud","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","EO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","G6/G7","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","SEO/HEO","100","100","37050","38180"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","AA/AO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","EO","220","220","28780","26920"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","G6/G7","200","190","58780","59170"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","SEO/HEO","580","560","39350","39120"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","EO","130","120","26500","26000"
"In post","2021","Digital, Data and Technology","Department for Education","G6/G7","250","240","55040","52830"
"In post","2021","Digital, Data and Technology","Department for Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","SEO/HEO","490","470","35600","36500"
"In post","2021","Digital, Data and Technology","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","EO","80","80","26290","25240"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","G6/G7","320","310","52460","49350"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","SEO/HEO","280","270","34710","35900"
"In post","2021","Digital, Data and Technology","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for International Trade","G6/G7","50","50","56710","55080"
"In post","2021","Digital, Data and Technology","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for International Trade","SEO/HEO","50","50","38920","38160"
"In post","2021","Digital, Data and Technology","Department for Transport","AA/AO","60","50","21660","21590"
"In post","2021","Digital, Data and Technology","Department for Transport","EO","280","280","27150","26470"
"In post","2021","Digital, Data and Technology","Department for Transport","G6/G7","200","200","61510","58850"
"In post","2021","Digital, Data and Technology","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport","SEO/HEO","620","600","39000","39040"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","G6/G7","120","110","57440","53830"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","SEO/HEO","220","220","36630","36250"
"In post","2021","Digital, Data and Technology","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","EO","60","60","29020","26590"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","G6/G7","70","70","58590","57180"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","SEO/HEO","170","170","39600","39190"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Land Registry","AA/AO","60","50","21740","22350"
"In post","2021","Digital, Data and Technology","HM Land Registry","EO","180","170","29880","31740"
"In post","2021","Digital, Data and Technology","HM Land Registry","G6/G7","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Land Registry","SEO/HEO","380","370","40950","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","AA/AO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","EO","270","250","26590","25560"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","G6/G7","460","450","56060","52580"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","SCS","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","SEO/HEO","1140","1080","35270","35000"
"In post","2021","Digital, Data and Technology","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office","EO","80","70","27110","25310"
"In post","2021","Digital, Data and Technology","Home Office","G6/G7","490","490","63080","61740"
"In post","2021","Digital, Data and Technology","Home Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office","SEO/HEO","630","620","40170","40660"
"In post","2021","Digital, Data and Technology","Ministry of Defence","AA/AO","120","120","21390","20920"
"In post","2021","Digital, Data and Technology","Ministry of Defence","EO","340","330","27080","26670"
"In post","2021","Digital, Data and Technology","Ministry of Defence","G6/G7","190","180","56510","56350"
"In post","2021","Digital, Data and Technology","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","SEO/HEO","730","710","37630","36890"
