"Status","Year","Organisation","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Declared disabled","60","50","26290","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Declared non-disabled","1190","1090","26900","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Undeclared","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","Unknown","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Declared non-disabled","90","80","40250","38180"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Declared non-disabled","80","70","33670","30130"
"In post","2021","Crown Prosecution Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Declared non-disabled","90","90","39940","37190"
"In post","2021","Crown Prosecution Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Declared disabled","660","610","42250","38000"
"In post","2021","Crown Prosecution Service","Legal","Declared non-disabled","4190","3860","42800","39540"
"In post","2021","Crown Prosecution Service","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Unknown","1380","1310","36870","30130"
"In post","2021","Crown Prosecution Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","Unknown","30","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Declared non-disabled","170","160","27250","28750"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Undeclared","170","160","28010","28110"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Declared non-disabled","210","210","44210","40710"
"In post","2021","Defence Equipment and Support","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Declared non-disabled","190","190","27880","23150"
"In post","2021","Defence Equipment and Support","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Unknown","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Declared disabled","70","70","34640","30100"
"In post","2021","Defence Equipment and Support","Finance","Declared non-disabled","310","290","37880","32410"
"In post","2021","Defence Equipment and Support","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","Unknown","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Declared non-disabled","140","130","39210","35420"
"In post","2021","Defence Equipment and Support","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Project Delivery","Declared disabled","880","850","35320","33310"
"In post","2021","Defence Equipment and Support","Project Delivery","Declared non-disabled","6710","6500","36400","33740"
"In post","2021","Defence Equipment and Support","Project Delivery","Undeclared","610","590","38610","37920"
"In post","2021","Defence Equipment and Support","Project Delivery","Unknown","920","890","34430","32330"
"In post","2021","Defence Equipment and Support","Property","Declared disabled","40","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Declared non-disabled","160","160","39780","37760"
"In post","2021","Defence Equipment and Support","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","Declared non-disabled","90","90","36240","33460"
"In post","2021","Defence Equipment and Support","Unknown","Undeclared","[c]","[c]","[c]","[c]"
