"Status","Year","Profession_of_post","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Heterosexual / straight","150","150","38330","37410"
"In post","2021","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Counter Fraud","Heterosexual / straight","1940","1860","31410","29570"
"In post","2021","Legal","Counter Fraud","LGBO","100","100","31020","29570"
"In post","2021","Legal","Counter Fraud","Undeclared","340","320","33360","31810"
"In post","2021","Legal","Counter Fraud","Unknown","950","910","30660","29570"
"In post","2021","Legal","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","Heterosexual / straight","5660","5260","53840","52330"
"In post","2021","Legal","Legal","LGBO","340","330","55860","54700"
"In post","2021","Legal","Legal","Undeclared","660","610","53300","51450"
"In post","2021","Legal","Legal","Unknown","1980","1820","56030","55610"
"In post","2021","Legal","No function","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Heterosexual / straight","120","110","56660","60830"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","No function","Heterosexual / straight","280","240","96480","96920"
"In post","2021","Medicine","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","No function","Undeclared","60","40","102160","104580"
"In post","2021","Medicine","No function","Unknown","110","100","110490","111980"
"In post","2021","Medicine","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Heterosexual / straight","1410","1280","45850","37890"
"In post","2021","Medicine","Unknown","LGBO","40","40","[c]","[c]"
"In post","2021","Medicine","Unknown","Undeclared","160","140","52300","44500"
"In post","2021","Medicine","Unknown","Unknown","390","340","45900","37890"
"In post","2021","Operational Delivery","Analysis","Heterosexual / straight","350","330","32070","30130"
"In post","2021","Operational Delivery","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Analysis","Unknown","180","170","32270","29540"
"In post","2021","Operational Delivery","Commercial","Heterosexual / straight","300","290","43830","39000"
"In post","2021","Operational Delivery","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","Unknown","60","60","42720","36800"
"In post","2021","Operational Delivery","Communications","Heterosexual / straight","950","890","30540","28130"
"In post","2021","Operational Delivery","Communications","LGBO","50","50","29260","31810"
"In post","2021","Operational Delivery","Communications","Undeclared","90","90","29680","25560"
"In post","2021","Operational Delivery","Communications","Unknown","430","410","28630","25560"
"In post","2021","Operational Delivery","Counter Fraud","Heterosexual / straight","1830","1690","31130","29570"
"In post","2021","Operational Delivery","Counter Fraud","LGBO","70","70","28610","25560"
"In post","2021","Operational Delivery","Counter Fraud","Undeclared","260","240","30230","28130"
"In post","2021","Operational Delivery","Counter Fraud","Unknown","720","660","27780","25560"
"In post","2021","Operational Delivery","Debt","Heterosexual / straight","1850","1630","24380","21440"
"In post","2021","Operational Delivery","Debt","LGBO","110","100","24110","21440"
"In post","2021","Operational Delivery","Debt","Undeclared","300","250","24170","21440"
"In post","2021","Operational Delivery","Debt","Unknown","1320","1170","23270","21440"
"In post","2021","Operational Delivery","Digital, Data & Technology","Heterosexual / straight","300","290","36200","31810"
"In post","2021","Operational Delivery","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Digital, Data & Technology","Undeclared","30","30","[c]","[c]"
"In post","2021","Operational Delivery","Digital, Data & Technology","Unknown","120","110","32330","31810"
"In post","2021","Operational Delivery","Finance","Heterosexual / straight","460","430","30750","28130"
"In post","2021","Operational Delivery","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Finance","Undeclared","70","60","29890","25560"
"In post","2021","Operational Delivery","Finance","Unknown","310","280","25460","21440"
"In post","2021","Operational Delivery","Grants Management","Heterosexual / straight","790","710","26530","25190"
"In post","2021","Operational Delivery","Grants Management","LGBO","60","50","25940","24920"
"In post","2021","Operational Delivery","Grants Management","Undeclared","60","50","25820","25190"
"In post","2021","Operational Delivery","Grants Management","Unknown","980","910","24530","21050"
"In post","2021","Operational Delivery","Human Resources","Heterosexual / straight","630","580","30490","26370"
"In post","2021","Operational Delivery","Human Resources","LGBO","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Human Resources","Undeclared","70","60","29890","25560"
"In post","2021","Operational Delivery","Human Resources","Unknown","210","190","26660","24120"
"In post","2021","Operational Delivery","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Legal","Heterosexual / straight","2550","2370","28030","25820"
"In post","2021","Operational Delivery","Legal","LGBO","170","160","28850","26410"
"In post","2021","Operational Delivery","Legal","Undeclared","1640","1470","26520","22820"
"In post","2021","Operational Delivery","Legal","Unknown","820","740","26350","25560"
"In post","2021","Operational Delivery","No function","Heterosexual / straight","81800","75630","29130","26520"
"In post","2021","Operational Delivery","No function","LGBO","4900","4750","28960","26410"
"In post","2021","Operational Delivery","No function","Undeclared","11370","10240","28830","26780"
"In post","2021","Operational Delivery","No function","Unknown","28720","26100","27340","24920"
"In post","2021","Operational Delivery","Project Delivery","Heterosexual / straight","1100","1030","35500","31810"
"In post","2021","Operational Delivery","Project Delivery","LGBO","60","50","35270","31810"
"In post","2021","Operational Delivery","Project Delivery","Undeclared","150","140","34490","28750"
"In post","2021","Operational Delivery","Project Delivery","Unknown","600","570","36320","35290"
"In post","2021","Operational Delivery","Property","Heterosexual / straight","850","790","30460","25500"
"In post","2021","Operational Delivery","Property","LGBO","50","50","30820","25860"
"In post","2021","Operational Delivery","Property","Undeclared","100","90","31610","24730"
"In post","2021","Operational Delivery","Property","Unknown","450","420","24980","21100"
"In post","2021","Operational Delivery","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Heterosexual / straight","22250","20390","28470","25630"
"In post","2021","Operational Delivery","Unknown","LGBO","830","790","28700","25310"
"In post","2021","Operational Delivery","Unknown","Undeclared","3300","2980","29760","27370"
"In post","2021","Operational Delivery","Unknown","Unknown","1260","1210","26680","24880"
"In post","2021","Operational Research","Analysis","Heterosexual / straight","460","440","44430","42520"
"In post","2021","Operational Research","Analysis","LGBO","50","40","[c]","[c]"
"In post","2021","Operational Research","Analysis","Undeclared","70","70","46190","42660"
"In post","2021","Operational Research","Analysis","Unknown","90","90","42640","40480"
"In post","2021","Operational Research","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","No function","Heterosexual / straight","240","230","44830","46080"
"In post","2021","Operational Research","No function","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","No function","Unknown","40","40","[c]","[c]"
"In post","2021","Operational Research","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Heterosexual / straight","120","120","45920","42130"
"In post","2021","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Analysis","Heterosexual / straight","160","150","67140","60780"
"In post","2021","Other","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Commercial","Heterosexual / straight","50","50","42550","40840"
"In post","2021","Other","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Communications","Heterosexual / straight","190","190","25360","21700"
"In post","2021","Other","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Counter Fraud","Heterosexual / straight","190","170","40360","36160"
"In post","2021","Other","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2021","Other","Counter Fraud","Unknown","90","80","34090","29570"
"In post","2021","Other","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Other","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Heterosexual / straight","130","120","44990","35910"
"In post","2021","Other","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Other","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Human Resources","Heterosexual / straight","30","30","[c]","[c]"
