"Status","Year","Sexual_orientation","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","30-39","Grants Management","210","190","23540","21050"
"In post","2021","Unknown","30-39","Human Resources","320","310","35150","31810"
"In post","2021","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Legal","590","560","46830","51250"
"In post","2021","Unknown","30-39","No function","9250","8740","31940","28390"
"In post","2021","Unknown","30-39","Project Delivery","1100","1070","42320","39650"
"In post","2021","Unknown","30-39","Property","450","430","31400","28120"
"In post","2021","Unknown","30-39","Security","370","360","31680","29890"
"In post","2021","Unknown","30-39","Unknown","5540","5060","31040","27570"
"In post","2021","Unknown","40-49","Analysis","330","310","46280","43900"
"In post","2021","Unknown","40-49","Commercial","630","620","61230","56520"
"In post","2021","Unknown","40-49","Communications","510","490","38460","31810"
"In post","2021","Unknown","40-49","Counter Fraud","550","520","31930","31810"
"In post","2021","Unknown","40-49","Debt","320","290","22780","20140"
"In post","2021","Unknown","40-49","Digital, Data & Technology","1060","1020","43660","40270"
"In post","2021","Unknown","40-49","Finance","430","400","38900","34230"
"In post","2021","Unknown","40-49","Grants Management","290","260","25560","21050"
"In post","2021","Unknown","40-49","Human Resources","330","310","36700","32760"
"In post","2021","Unknown","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","40-49","Legal","900","800","49840","52730"
"In post","2021","Unknown","40-49","No function","8440","7840","33590","29570"
"In post","2021","Unknown","40-49","Project Delivery","970","930","46540","42770"
"In post","2021","Unknown","40-49","Property","470","440","31510","28700"
"In post","2021","Unknown","40-49","Security","280","270","34390","34640"
"In post","2021","Unknown","40-49","Unknown","7580","6740","31170","27570"
"In post","2021","Unknown","50-59","Analysis","210","200","47790","41700"
"In post","2021","Unknown","50-59","Commercial","580","570","62310","55240"
"In post","2021","Unknown","50-59","Communications","340","320","34860","29360"
"In post","2021","Unknown","50-59","Counter Fraud","730","690","33700","31810"
"In post","2021","Unknown","50-59","Debt","460","410","24140","21440"
"In post","2021","Unknown","50-59","Digital, Data & Technology","820","790","44510","40450"
"In post","2021","Unknown","50-59","Finance","490","450","35490","29740"
"In post","2021","Unknown","50-59","Grants Management","210","200","26600","21050"
"In post","2021","Unknown","50-59","Human Resources","320","300","37470","33650"
"In post","2021","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","50-59","Legal","1020","940","48410","53350"
"In post","2021","Unknown","50-59","No function","10850","9970","32380","29250"
"In post","2021","Unknown","50-59","Project Delivery","1080","1050","45460","40720"
"In post","2021","Unknown","50-59","Property","710","690","32980","29450"
"In post","2021","Unknown","50-59","Security","370","370","35210","34310"
"In post","2021","Unknown","50-59","Unknown","10330","9320","30440","27570"
"In post","2021","Unknown","60-64","Analysis","50","40","[c]","[c]"
"In post","2021","Unknown","60-64","Commercial","80","70","54480","50400"
"In post","2021","Unknown","60-64","Communications","50","40","[c]","[c]"
"In post","2021","Unknown","60-64","Counter Fraud","200","160","33440","29570"
"In post","2021","Unknown","60-64","Debt","150","120","24080","21440"
"In post","2021","Unknown","60-64","Digital, Data & Technology","150","140","41980","37470"
"In post","2021","Unknown","60-64","Finance","130","100","30860","23170"
"In post","2021","Unknown","60-64","Grants Management","80","70","24040","21050"
"In post","2021","Unknown","60-64","Human Resources","70","60","32950","28130"
"In post","2021","Unknown","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Legal","190","160","48500","55090"
"In post","2021","Unknown","60-64","No function","3150","2440","29710","26340"
"In post","2021","Unknown","60-64","Project Delivery","210","180","39660","37640"
"In post","2021","Unknown","60-64","Property","220","200","30660","26530"
"In post","2021","Unknown","60-64","Security","80","70","31750","29170"
"In post","2021","Unknown","60-64","Unknown","2910","2300","28980","27570"
"In post","2021","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Commercial","30","20","[c]","[c]"
"In post","2021","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Counter Fraud","50","30","33550","31990"
"In post","2021","Unknown","65+","Debt","50","40","[c]","[c]"
"In post","2021","Unknown","65+","Digital, Data & Technology","60","50","40600","37100"
"In post","2021","Unknown","65+","Finance","40","30","[c]","[c]"
"In post","2021","Unknown","65+","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Legal","70","60","48740","54580"
"In post","2021","Unknown","65+","No function","1150","820","30360","25870"
"In post","2021","Unknown","65+","Project Delivery","50","40","44350","40970"
"In post","2021","Unknown","65+","Property","90","70","26200","25100"
"In post","2021","Unknown","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Unknown","940","690","28470","26120"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Debt","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Legal","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","No function","370","350","22100","21260"
"In post","2022","Heterosexual / straight","16-19","Project Delivery","60","60","19430","19460"
"In post","2022","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Unknown","60","50","22350","21260"
"In post","2022","Heterosexual / straight","20-29","Analysis","1930","1910","36570","34000"
"In post","2022","Heterosexual / straight","20-29","Commercial","660","660","33410","31950"
"In post","2022","Heterosexual / straight","20-29","Communications","1150","1140","31280","27270"
"In post","2022","Heterosexual / straight","20-29","Counter Fraud","1220","1210","29030","27570"
"In post","2022","Heterosexual / straight","20-29","Debt","660","640","22260","21250"
"In post","2022","Heterosexual / straight","20-29","Digital, Data & Technology","1910","1900","33470","32530"
"In post","2022","Heterosexual / straight","20-29","Finance","1140","1120","33200","30490"
"In post","2022","Heterosexual / straight","20-29","Grants Management","110","110","22910","21300"
"In post","2022","Heterosexual / straight","20-29","Human Resources","1110","1100","31120","28920"
"In post","2022","Heterosexual / straight","20-29","Internal Audit","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","20-29","Legal","1280","1270","31660","26970"
"In post","2022","Heterosexual / straight","20-29","No function","29480","29020","29090","27570"
"In post","2022","Heterosexual / straight","20-29","Project Delivery","2600","2590","31020","30000"
"In post","2022","Heterosexual / straight","20-29","Property","630","620","29580","27650"
"In post","2022","Heterosexual / straight","20-29","Security","920","910","28490","26750"
"In post","2022","Heterosexual / straight","20-29","Unknown","6090","6000","29620","27230"
"In post","2022","Heterosexual / straight","30-39","Analysis","1540","1470","47060","44040"
"In post","2022","Heterosexual / straight","30-39","Commercial","980","940","40240","38190"
"In post","2022","Heterosexual / straight","30-39","Communications","1600","1550","37120","33370"
"In post","2022","Heterosexual / straight","30-39","Counter Fraud","2060","1990","32950","31020"
"In post","2022","Heterosexual / straight","30-39","Debt","740","670","23310","21260"
"In post","2022","Heterosexual / straight","30-39","Digital, Data & Technology","3460","3380","41250","38580"
"In post","2022","Heterosexual / straight","30-39","Finance","1740","1660","40330","36650"
"In post","2022","Heterosexual / straight","30-39","Grants Management","160","150","24640","22430"
"In post","2022","Heterosexual / straight","30-39","Human Resources","1960","1870","36970","33300"
"In post","2022","Heterosexual / straight","30-39","Internal Audit","100","90","43800","41340"
"In post","2022","Heterosexual / straight","30-39","Legal","2140","2020","47050","50500"
"In post","2022","Heterosexual / straight","30-39","No function","39200","37050","33010","29060"
"In post","2022","Heterosexual / straight","30-39","Project Delivery","4250","4110","41000","39700"
"In post","2022","Heterosexual / straight","30-39","Property","1020","980","36720","33370"
"In post","2022","Heterosexual / straight","30-39","Security","1360","1340","34010","33200"
"In post","2022","Heterosexual / straight","30-39","Unknown","12400","11760","34660","30820"
"In post","2022","Heterosexual / straight","40-49","Analysis","1100","1020","51690","50900"
"In post","2022","Heterosexual / straight","40-49","Commercial","960","930","46630","40910"
"In post","2022","Heterosexual / straight","40-49","Communications","1230","1180","40660","35900"
"In post","2022","Heterosexual / straight","40-49","Counter Fraud","2420","2280","33820","31810"
"In post","2022","Heterosexual / straight","40-49","Debt","810","710","24060","21260"
"In post","2022","Heterosexual / straight","40-49","Digital, Data & Technology","4100","4000","44950","40580"
"In post","2022","Heterosexual / straight","40-49","Finance","2250","2150","42760","38500"
"In post","2022","Heterosexual / straight","40-49","Grants Management","340","300","26510","25100"
"In post","2022","Heterosexual / straight","40-49","Human Resources","2290","2160","41340","37300"
"In post","2022","Heterosexual / straight","40-49","Internal Audit","150","150","48480","46180"
"In post","2022","Heterosexual / straight","40-49","Legal","2280","2090","50420","52100"
"In post","2022","Heterosexual / straight","40-49","No function","40050","37280","34360","28800"
"In post","2022","Heterosexual / straight","40-49","Project Delivery","4510","4360","45560","41000"
"In post","2022","Heterosexual / straight","40-49","Property","1490","1440","39620","36520"
"In post","2022","Heterosexual / straight","40-49","Security","1540","1520","34970","33300"
"In post","2022","Heterosexual / straight","40-49","Unknown","14420","13640","37670","31570"
"In post","2022","Heterosexual / straight","50-59","Analysis","710","680","50310","47010"
"In post","2022","Heterosexual / straight","50-59","Commercial","1000","980","47350","41500"
"In post","2022","Heterosexual / straight","50-59","Communications","900","860","38610","33370"
"In post","2022","Heterosexual / straight","50-59","Counter Fraud","3660","3450","33770","31060"
"In post","2022","Heterosexual / straight","50-59","Debt","1190","1050","24920","21680"
"In post","2022","Heterosexual / straight","50-59","Digital, Data & Technology","4170","4070","42910","39940"
"In post","2022","Heterosexual / straight","50-59","Finance","2680","2560","41350","37020"
"In post","2022","Heterosexual / straight","50-59","Grants Management","300","270","28190","25630"
"In post","2022","Heterosexual / straight","50-59","Human Resources","2680","2570","40210","35590"
"In post","2022","Heterosexual / straight","50-59","Internal Audit","240","230","49120","47100"
"In post","2022","Heterosexual / straight","50-59","Legal","2210","2080","49300","50850"
"In post","2022","Heterosexual / straight","50-59","No function","50040","46510","32880","27570"
"In post","2022","Heterosexual / straight","50-59","Project Delivery","5690","5530","45560","41100"
"In post","2022","Heterosexual / straight","50-59","Property","2380","2310","39690","34610"
"In post","2022","Heterosexual / straight","50-59","Security","2740","2700","32980","32000"
"In post","2022","Heterosexual / straight","50-59","Unknown","16780","16050","35450","29670"
"In post","2022","Heterosexual / straight","60-64","Analysis","140","120","44140","38840"
"In post","2022","Heterosexual / straight","60-64","Commercial","200","190","45560","40840"
"In post","2022","Heterosexual / straight","60-64","Communications","190","170","35690","32250"
"In post","2022","Heterosexual / straight","60-64","Counter Fraud","1030","780","32100","27570"
"In post","2022","Heterosexual / straight","60-64","Debt","430","340","24530","22080"
"In post","2022","Heterosexual / straight","60-64","Digital, Data & Technology","870","770","39590","35980"
"In post","2022","Heterosexual / straight","60-64","Finance","570","480","37220","33440"
