"Status","Year","Parent_department","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Economics","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Finance","70","70","39180","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Human Resources","110","110","39080","34020"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Legal","40","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Operational Delivery","1540","1450","28530","24250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Policy","450","440","45500","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Project Delivery","230","220","41020","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Science and Engineering","1070","1020","41360","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Communications","40","30","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Economics","60","60","53530","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Finance","50","50","57180","55260"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Human Resources","50","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Other","70","60","40990","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Policy","730","720","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Project Delivery","150","150","49280","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Policy","120","120","46250","39040"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Policy","70","70","47980","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Policy","150","150","48320","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Commercial","290","280","40890","37100"
"In post","2021","Department for Education","Heterosexual / straight","Communications","210","200","39970","36960"
"In post","2021","Department for Education","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Digital, Data and Technology","570","550","39700","36780"
"In post","2021","Department for Education","Heterosexual / straight","Finance","540","520","42460","38220"
"In post","2021","Department for Education","Heterosexual / straight","Human Resources","120","110","36930","32210"
"In post","2021","Department for Education","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Legal","60","60","53470","54450"
"In post","2021","Department for Education","Heterosexual / straight","Operational Delivery","1170","1130","41130","36960"
"In post","2021","Department for Education","Heterosexual / straight","Other","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Policy","2040","1950","45900","40940"
"In post","2021","Department for Education","Heterosexual / straight","Project Delivery","40","40","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Property","430","420","51340","53420"
"In post","2021","Department for Education","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
