"Status","Year","Organisation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for International Trade","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Department for International Trade","180","180","39470","32120"
"In post","2021","Department for International Trade","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","Department for International Trade","220","220","45630","39000"
"In post","2021","Department for International Trade","Project Delivery","Department for International Trade","70","70","45830","41500"
"In post","2021","Department for International Trade","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Department for International Trade","50","50","43250","39690"
"In post","2021","Department for Transport (excl. agencies)","Commercial","Department for Transport","90","90","50180","46920"
"In post","2021","Department for Transport (excl. agencies)","Communications","Department for Transport","110","110","47530","43360"
"In post","2021","Department for Transport (excl. agencies)","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Digital, Data and Technology","Department for Transport","120","120","42370","40280"
"In post","2021","Department for Transport (excl. agencies)","Economics","Department for Transport","170","170","47750","54110"
"In post","2021","Department for Transport (excl. agencies)","Finance","Department for Transport","200","200","48680","49010"
"In post","2021","Department for Transport (excl. agencies)","Human Resources","Department for Transport","100","90","48930","48770"
"In post","2021","Department for Transport (excl. agencies)","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Operational Delivery","Department for Transport","90","80","37560","34710"
"In post","2021","Department for Transport (excl. agencies)","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Other","Department for Transport","460","430","42940","32740"
"In post","2021","Department for Transport (excl. agencies)","Policy","Department for Transport","970","950","48120","44480"
"In post","2021","Department for Transport (excl. agencies)","Project Delivery","Department for Transport","480","470","53110","54110"
"In post","2021","Department for Transport (excl. agencies)","Property","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Science and Engineering","Department for Transport","60","60","49510","45920"
"In post","2021","Department for Transport (excl. agencies)","Security","Department for Transport","170","170","45050","43360"
"In post","2021","Department for Transport (excl. agencies)","Social Research","Department for Transport","40","40","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Statistics","Department for Transport","120","110","45060","42890"
"In post","2021","Department for Transport (excl. agencies)","Unknown","Department for Transport","210","210","52840","44030"
"In post","2021","Department for Work and Pensions (excl. agencies)","Unknown","Department for Work and Pensions","90950","81420","27650","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Commercial","Department of Health and Social Care","200","200","48750","40650"
"In post","2021","Department of Health and Social Care (excl. agencies)","Communications","Department of Health and Social Care","190","180","43490","38360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","Department of Health and Social Care","170","170","43630","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Economics","Department of Health and Social Care","90","90","43100","36820"
"In post","2021","Department of Health and Social Care (excl. agencies)","Finance","Department of Health and Social Care","340","330","39300","36070"
"In post","2021","Department of Health and Social Care (excl. agencies)","Human Resources","Department of Health and Social Care","130","130","39780","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Department of Health and Social Care","230","230","53190","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Operational Delivery","Department of Health and Social Care","130","130","48860","33700"
"In post","2021","Department of Health and Social Care (excl. agencies)","Operational Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Policy","Department of Health and Social Care","1820","1780","47250","41890"
"In post","2021","Department of Health and Social Care (excl. agencies)","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Science and Engineering","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Social Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Statistics","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Unknown","Department of Health and Social Care","60","60","52120","53360"
"In post","2021","Disclosure Scotland","Unknown","Scottish Government","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","Commercial","Department for Transport","160","140","32760","31040"
"In post","2021","Driver and Vehicle Licensing Agency","Communications","Department for Transport","70","60","29810","26740"
"In post","2021","Driver and Vehicle Licensing Agency","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Department for Transport","730","720","39810","38230"
"In post","2021","Driver and Vehicle Licensing Agency","Finance","Department for Transport","140","130","32910","30730"
"In post","2021","Driver and Vehicle Licensing Agency","Human Resources","Department for Transport","170","160","32650","31380"
"In post","2021","Driver and Vehicle Licensing Agency","Medicine","Department for Transport","50","50","79860","86520"
"In post","2021","Driver and Vehicle Licensing Agency","Operational Delivery","Department for Transport","4440","3800","21780","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Other","Department for Transport","50","50","34410","31860"
"In post","2021","Driver and Vehicle Licensing Agency","Policy","Department for Transport","140","130","30230","26780"
"In post","2021","Driver and Vehicle Licensing Agency","Project Delivery","Department for Transport","90","80","39900","39040"
"In post","2021","Driver and Vehicle Licensing Agency","Property","Department for Transport","60","50","30360","30540"
"In post","2021","Driver and Vehicle Licensing Agency","Security","Department for Transport","120","110","30490","26350"
"In post","2021","Driver and Vehicle Standards Agency","Commercial","Department for Transport","40","40","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Communications","Department for Transport","90","80","31290","30730"
"In post","2021","Driver and Vehicle Standards Agency","Counter Fraud","Department for Transport","50","50","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Digital, Data and Technology","Department for Transport","190","190","36190","32180"
"In post","2021","Driver and Vehicle Standards Agency","Finance","Department for Transport","90","80","38780","34040"
"In post","2021","Driver and Vehicle Standards Agency","Human Resources","Department for Transport","100","90","35290","33350"
"In post","2021","Driver and Vehicle Standards Agency","Knowledge and Information Management","Department for Transport","50","50","35650","33350"
"In post","2021","Driver and Vehicle Standards Agency","Operational Delivery","Department for Transport","3910","3670","28400","26780"
