"Status","Year","Function_of_post","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Debt","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","HM Revenue and Customs","3560","3150","23830","21440"
"In post","2021","Debt","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Tax","HM Revenue and Customs","1000","970","20750","20140"
"In post","2021","Debt","Unknown","HM Revenue and Customs","90","90","24430","20140"
"In post","2021","Digital, Data & Technology","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Attorney General's Departments","160","160","40320","38180"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Charity Commission","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Competition and Markets Authority","70","60","56530","54550"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","1000","980","40720","38000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Education","650","640","39650","36780"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","710","690","43180","42440"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Transport","1100","1080","39530","36000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department for Work and Pensions","60","60","39240","33460"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Department of Health and Social Care","360","350","44810","40850"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Foreign, Commonwealth and Development Office","320","320","42140","39630"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","HM Revenue and Customs","1930","1850","39680","38630"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","HM Treasury","50","50","51630","50590"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Defence","910","890","33770","33290"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","120","110","45790","41610"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Ministry of Justice","970","960","46790","44560"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","National Crime Agency","260","250","41070","37750"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Office for Standards in Education","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Other Cabinet Office Agencies","120","120","41820","36120"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Scottish Government","210","200","39400","35720"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","The National Archives","100","100","40050","39000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","United Kingdom Statistics Authority","600","590","40840","36840"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Department for Transport","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","HM Revenue and Customs","340","320","33410","31810"
"In post","2021","Digital, Data & Technology","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Delivery","Ministry of Justice","70","70","39030","34820"
"In post","2021","Digital, Data & Technology","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Department for Business, Energy and Industrial Strategy","530","490","42260","39750"
"In post","2021","Digital, Data & Technology","Science and Engineering","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","HM Revenue and Customs","70","70","36470","33860"
"In post","2021","Digital, Data & Technology","Unknown","Cabinet Office","970","950","51310","54700"
"In post","2021","Digital, Data & Technology","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","HM Revenue and Customs","340","330","43410","38630"
"In post","2021","Digital, Data & Technology","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
