"Status","Year","Organisation","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Defence Science and Technology Laboratory","Project Delivery","Project Delivery","450","420","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Property","Property","30","30","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Psychology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Psychology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Analysis","160","150","37330","37320"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","No function","2320","2250","40080","37360"
"In post","2021","Defence Science and Technology Laboratory","Science and Engineering","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Security","Security","60","50","36070","37320"
"In post","2021","Defence Science and Technology Laboratory","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","Communications","110","100","49300","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Digital, Data & Technology","90","90","46440","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Analysis","200","200","40840","34400"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","No function","100","100","57750","57850"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Finance","130","130","53060","53860"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Human Resources","100","100","46950","45900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","No function","470","460","44590","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","No function","3630","3550","49600","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Project Delivery","70","70","51320","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","No function","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","Analysis","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Communications","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Analysis","80","70","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Finance","70","70","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Human Resources","60","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","No function","90","90","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","No function","1080","1060","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Project Delivery","210","210","48530","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Commercial","Commercial","190","180","39780","38000"
