"Status","Year","Disability","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","60-64","Finance","430","360","37230","32440"
"In post","2021","Declared non-disabled","60-64","Human Resources","320","270","38610","33350"
"In post","2021","Declared non-disabled","60-64","Inspector of Education and Training","70","70","71080","75500"
"In post","2021","Declared non-disabled","60-64","Intelligence Analysis","130","110","33870","30630"
"In post","2021","Declared non-disabled","60-64","Internal Audit","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Knowledge and Information Management","110","100","35540","31790"
"In post","2021","Declared non-disabled","60-64","Legal","460","380","52360","55610"
"In post","2021","Declared non-disabled","60-64","Medicine","140","120","64560","60720"
"In post","2021","Declared non-disabled","60-64","Operational Delivery","9050","7270","27980","25580"
"In post","2021","Declared non-disabled","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Other","1730","1610","29350","23340"
"In post","2021","Declared non-disabled","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Policy","680","620","49430","43850"
"In post","2021","Declared non-disabled","60-64","Project Delivery","700","630","42970","40000"
"In post","2021","Declared non-disabled","60-64","Property","570","510","37690","33300"
"In post","2021","Declared non-disabled","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Science and Engineering","700","630","40380","39030"
"In post","2021","Declared non-disabled","60-64","Security","510","460","27330","20920"
"In post","2021","Declared non-disabled","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Statistics","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","60-64","Tax","720","550","38480","35000"
"In post","2021","Declared non-disabled","60-64","Unknown","7650","5970","28460","27570"
"In post","2021","Declared non-disabled","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Commercial","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Digital, Data and Technology","130","100","42290","38120"
"In post","2021","Declared non-disabled","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Finance","120","100","33160","29020"
"In post","2021","Declared non-disabled","65+","Human Resources","80","70","35650","32290"
"In post","2021","Declared non-disabled","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Intelligence Analysis","30","20","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Legal","140","100","52340","55610"
"In post","2021","Declared non-disabled","65+","Medicine","50","40","69450","77090"
"In post","2021","Declared non-disabled","65+","Operational Delivery","3040","2230","26690","23840"
"In post","2021","Declared non-disabled","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Other","570","510","27600","22210"
"In post","2021","Declared non-disabled","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Planning Inspectors","30","20","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Policy","180","150","46300","37640"
"In post","2021","Declared non-disabled","65+","Project Delivery","180","150","41280","38550"
"In post","2021","Declared non-disabled","65+","Property","220","190","33940","33300"
"In post","2021","Declared non-disabled","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Science and Engineering","280","220","40380","36670"
"In post","2021","Declared non-disabled","65+","Security","150","140","25740","21350"
"In post","2021","Declared non-disabled","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","65+","Tax","200","130","39220","35000"
"In post","2021","Declared non-disabled","65+","Unknown","2140","1560","27350","27570"
"In post","2021","Declared non-disabled","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Commercial","40","40","[c]","[c]"
"In post","2021","Undeclared","20-29","Communications","40","30","[c]","[c]"
"In post","2021","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Digital, Data and Technology","60","60","32550","31420"
"In post","2021","Undeclared","20-29","Economics","70","70","36920","33880"
"In post","2021","Undeclared","20-29","Finance","50","50","[c]","[c]"
"In post","2021","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Operational Delivery","810","790","26160","25400"
"In post","2021","Undeclared","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Other","80","80","25860","25510"
"In post","2021","Undeclared","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Policy","460","460","38370","34710"
"In post","2021","Undeclared","20-29","Project Delivery","90","90","33460","31950"
"In post","2021","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Science and Engineering","120","120","28400","28650"
"In post","2021","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Tax","80","80","31090","29570"
"In post","2021","Undeclared","20-29","Unknown","660","640","28440","27570"
"In post","2021","Undeclared","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Commercial","70","70","38170","38280"
"In post","2021","Undeclared","30-39","Communications","60","60","44350","41010"
"In post","2021","Undeclared","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Digital, Data and Technology","170","160","42690","40230"
"In post","2021","Undeclared","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Finance","100","100","43190","40730"
"In post","2021","Undeclared","30-39","Human Resources","70","70","40480","38750"
"In post","2021","Undeclared","30-39","Intelligence Analysis","70","60","33160","30580"
"In post","2021","Undeclared","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Undeclared","30-39","Legal","110","100","42950","38300"
"In post","2021","Undeclared","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Operational Delivery","2020","1900","28970","26810"
"In post","2021","Undeclared","30-39","Operational Research","40","40","[c]","[c]"
"In post","2021","Undeclared","30-39","Other","150","140","31690","29010"
"In post","2021","Undeclared","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Policy","450","450","49080","52290"
"In post","2021","Undeclared","30-39","Project Delivery","180","180","41900","38650"
"In post","2021","Undeclared","30-39","Property","50","50","36830","34070"
"In post","2021","Undeclared","30-39","Psychology","50","50","34680","31180"
"In post","2021","Undeclared","30-39","Science and Engineering","220","210","40070","38920"
"In post","2021","Undeclared","30-39","Security","100","100","36950","38150"
"In post","2021","Undeclared","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Tax","170","160","35940","31810"
"In post","2021","Undeclared","30-39","Unknown","1190","1110","29830","27570"
"In post","2021","Undeclared","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Commercial","80","80","44380","42090"
"In post","2021","Undeclared","40-49","Communications","50","50","44690","41730"
"In post","2021","Undeclared","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Digital, Data and Technology","200","200","42980","39590"
"In post","2021","Undeclared","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Finance","140","130","42240","37990"
"In post","2021","Undeclared","40-49","Human Resources","110","100","38580","37170"
"In post","2021","Undeclared","40-49","Intelligence Analysis","80","70","34540","31920"
"In post","2021","Undeclared","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","International Trade","[c]","[c]","[c]","[c]"
