"Status","Year","Parent_department","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Animal and Plant Health Agency","1570","1480","27060","25100"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","60","60","33860","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","38900","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Rural Payments Agency","2020","1850","25720","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Veterinary Medicines Directorate","90","90","36730","32640"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","2470","2390","43010","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","230","230","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Rural Payments Agency","150","140","37900","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Animal and Plant Health Agency","650","620","31720","28270"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","480","450","33720","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","43590","39610"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","Animal and Plant Health Agency","350","330","44470","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Department for International Trade","140","140","43060","38540"
"In post","2021","Department for International Trade","Digital, Data and Technology","Department for International Trade","120","120","47030","44020"
"In post","2021","Department for International Trade","Economics","Department for International Trade","150","150","43500","33220"
"In post","2021","Department for International Trade","Finance","Department for International Trade","90","90","49850","51970"
"In post","2021","Department for International Trade","Human Resources","Department for International Trade","130","130","43380","38540"
"In post","2021","Department for International Trade","International Trade","Department for International Trade","1300","1280","48330","50430"
"In post","2021","Department for International Trade","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Department for International Trade","110","110","36650","32120"
"In post","2021","Department for International Trade","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Department for International Trade","180","180","39470","32120"
"In post","2021","Department for International Trade","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Policy","Department for International Trade","220","220","45630","39000"
"In post","2021","Department for International Trade","Project Delivery","Department for International Trade","70","70","45830","41500"
"In post","2021","Department for International Trade","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Science and Engineering","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Security","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Statistics","Department for International Trade","50","50","43250","39690"
"In post","2021","Department for Transport","Commercial","Department for Transport (excl. agencies)","90","90","50180","46920"
"In post","2021","Department for Transport","Commercial","Driver and Vehicle Licensing Agency","160","140","32760","31040"
"In post","2021","Department for Transport","Commercial","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Department for Transport","Communications","Department for Transport (excl. agencies)","110","110","47530","43360"
"In post","2021","Department for Transport","Communications","Driver and Vehicle Licensing Agency","70","60","29810","26740"
"In post","2021","Department for Transport","Communications","Driver and Vehicle Standards Agency","90","80","31290","30730"
"In post","2021","Department for Transport","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
