"Status","Year","Responsibility_level","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Commercial","Ministry of Justice","140","130","26580","26430"
"In post","2021","EO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Other Cabinet Office Agencies","60","50","23490","22400"
"In post","2021","EO","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Cabinet Office","40","40","[c]","[c]"
"In post","2021","EO","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Department for Education","80","80","27360","26000"
"In post","2021","EO","Communications","Department for Environment, Food and Rural Affairs","60","50","25980","25450"
"In post","2021","EO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Department for Transport","60","60","26580","26470"
"In post","2021","EO","Communications","Department of Health and Social Care","70","70","27490","27270"
"In post","2021","EO","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","HM Revenue and Customs","2390","2310","25750","25560"
"In post","2021","EO","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Ministry of Defence","330","320","23960","25040"
"In post","2021","EO","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","EO","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Department for Transport","40","40","[c]","[c]"
"In post","2021","EO","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","HM Revenue and Customs","3320","3120","26980","25560"
"In post","2021","EO","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Debt","HM Revenue and Customs","950","870","26830","25560"
"In post","2021","EO","Digital, Data & Technology","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Cabinet Office","60","60","27450","27500"
"In post","2021","EO","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","250","250","28480","27010"
"In post","2021","EO","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Department for Education","90","80","26430","26000"
"In post","2021","EO","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","80","80","26290","25240"
"In post","2021","EO","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Department for Transport","280","270","27120","26470"
"In post","2021","EO","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Foreign, Commonwealth and Development Office","80","70","28390","26120"
"In post","2021","EO","Digital, Data & Technology","HM Land Registry","180","170","29880","31740"
"In post","2021","EO","Digital, Data & Technology","HM Revenue and Customs","410","390","26380","25560"
"In post","2021","EO","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Ministry of Defence","300","290","27440","26670"
"In post","2021","EO","Digital, Data & Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Ministry of Justice","120","120","25560","26410"
"In post","2021","EO","Digital, Data & Technology","National Crime Agency","80","80","31160","30480"
"In post","2021","EO","Digital, Data & Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","Scottish Government","80","70","29950","30080"
"In post","2021","EO","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data & Technology","United Kingdom Statistics Authority","90","80","23740","23050"
"In post","2021","EO","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","EO","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","EO","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Department for Education","60","60","25550","25000"
"In post","2021","EO","Finance","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"In post","2021","EO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Department for Transport","70","70","26730","26630"
"In post","2021","EO","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Department of Health and Social Care","90","90","25590","24270"
"In post","2021","EO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Foreign, Commonwealth and Development Office","50","50","27340","26120"
"In post","2021","EO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","HM Revenue and Customs","370","340","26570","25560"
"In post","2021","EO","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Ministry of Defence","590","570","26150","26670"
"In post","2021","EO","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Ministry of Justice","150","140","25880","26410"
"In post","2021","EO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Grants Management","Department for Environment, Food and Rural Affairs","540","500","25510","25190"
"In post","2021","EO","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","EO","Human Resources","Cabinet Office","220","210","26240","25760"
"In post","2021","EO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Department for Business, Energy and Industrial Strategy","90","80","25940","25460"
"In post","2021","EO","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Department for Education","40","30","[c]","[c]"
"In post","2021","EO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Department for Transport","100","90","27730","26780"
"In post","2021","EO","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Department of Health and Social Care","60","60","26990","27270"
"In post","2021","EO","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","EO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","HM Revenue and Customs","370","350","26190","25560"
"In post","2021","EO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Ministry of Defence","370","340","26210","26670"
"In post","2021","EO","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Ministry of Justice","120","110","26660","26410"
"In post","2021","EO","Human Resources","National Crime Agency","30","30","[c]","[c]"
"In post","2021","EO","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Scottish Government","70","70","30060","30080"
"In post","2021","EO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","EO","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Attorney General's Departments","1560","1460","28150","28430"
