"Status","Year","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Psychology","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Psychology","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Psychology","White","70","70","25610","24620"
"New entrant CS","2021","Science and Engineering","Asian","80","80","30530","28590"
"New entrant CS","2021","Science and Engineering","Black","60","50","31570","30230"
"New entrant CS","2021","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Undeclared","40","40","[c]","[c]"
"New entrant CS","2021","Science and Engineering","Unknown","160","160","28690","24370"
"New entrant CS","2021","Science and Engineering","White","930","880","32110","29270"
"New entrant CS","2021","Security","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","260","260","29200","25540"
"New entrant CS","2021","Security","White","440","440","26470","23540"
"New entrant CS","2021","Social Research","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Social Research","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","Social Research","White","150","140","32970","32540"
"New entrant CS","2021","Statistics","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Statistics","Unknown","100","90","32200","30180"
"New entrant CS","2021","Statistics","White","220","210","33880","31810"
"New entrant CS","2021","Tax","Asian","180","170","22370","20140"
"New entrant CS","2021","Tax","Black","50","40","[c]","[c]"
"New entrant CS","2021","Tax","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Tax","Unknown","2080","2030","22290","20140"
"New entrant CS","2021","Tax","White","890","880","23230","20140"
"New entrant CS","2021","Unknown","Asian","2160","2120","28720","27570"
"New entrant CS","2021","Unknown","Black","1510","1490","28950","29290"
"New entrant CS","2021","Unknown","Chinese","50","50","27870","27570"
"New entrant CS","2021","Unknown","Mixed","780","770","28350","27570"
"New entrant CS","2021","Unknown","Other ethnicity","190","180","29080","29290"
"New entrant CS","2021","Unknown","Undeclared","360","360","28320","27570"
"New entrant CS","2021","Unknown","Unknown","4270","4180","32970","28000"
"New entrant CS","2021","Unknown","White","12130","11890","27000","27570"
"New entrant CS","2021","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Veterinarian","White","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Asian","60","60","33820","31900"
"New entrant CS","2022","Commercial","Black","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","230","170","34400","29890"
"New entrant CS","2022","Commercial","White","470","450","31740","29920"
"New entrant CS","2022","Communications","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","200","170","35110","32790"
"New entrant CS","2022","Communications","White","330","320","37090","33190"
"New entrant CS","2022","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","White","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Asian","110","110","26350","25110"
"New entrant CS","2022","Counter Fraud","Black","40","40","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","60","60","27090","27570"
"New entrant CS","2022","Counter Fraud","White","450","440","26060","27570"
"New entrant CS","2022","Digital, Data and Technology","Asian","290","290","39280","36050"
"New entrant CS","2022","Digital, Data and Technology","Black","140","140","36750","33980"
"New entrant CS","2022","Digital, Data and Technology","Mixed","50","50","34260","32770"
"New entrant CS","2022","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","80","80","38570","36630"
"New entrant CS","2022","Digital, Data and Technology","Unknown","790","750","38850","35050"
"New entrant CS","2022","Digital, Data and Technology","White","1430","1410","37890","34260"
"New entrant CS","2022","Economics","Asian","50","50","[c]","[c]"
"New entrant CS","2022","Economics","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","90","80","32500","32390"
"New entrant CS","2022","Economics","White","220","220","35370","31730"
"New entrant CS","2022","Finance","Asian","130","130","34050","31060"
"New entrant CS","2022","Finance","Black","50","50","[c]","[c]"
"New entrant CS","2022","Finance","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Finance","Unknown","350","290","35860","33000"
"New entrant CS","2022","Finance","White","630","620","34780","32250"
"New entrant CS","2022","Geography","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Geography","White","50","50","26810","20420"
"New entrant CS","2022","Human Resources","Asian","80","80","31820","28840"
"New entrant CS","2022","Human Resources","Black","60","50","31540","28530"
"New entrant CS","2022","Human Resources","Mixed","50","50","[c]","[c]"
"New entrant CS","2022","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Human Resources","Unknown","270","240","35600","28970"
"New entrant CS","2022","Human Resources","White","660","630","33250","29830"
"New entrant CS","2022","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","White","140","140","60400","64520"
"New entrant CS","2022","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","90","90","29110","28700"
"New entrant CS","2022","Intelligence Analysis","White","110","110","29860","28700"
"New entrant CS","2022","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","White","40","40","[c]","[c]"
"New entrant CS","2022","International Trade","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Unknown","70","70","[c]","[c]"
"New entrant CS","2022","International Trade","White","100","100","38030","31800"
"New entrant CS","2022","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","White","150","140","30960","29000"
"New entrant CS","2022","Legal","Asian","130","130","43980","48080"
"New entrant CS","2022","Legal","Black","40","40","[c]","[c]"
"New entrant CS","2022","Legal","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Unknown","160","150","36610","34260"
"New entrant CS","2022","Legal","White","570","550","43320","41750"
"New entrant CS","2022","Medicine","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","120","90","44870","37650"
"New entrant CS","2022","Medicine","White","190","170","53320","40060"
"New entrant CS","2022","Operational Delivery","Asian","2590","2490","26390","26130"
"New entrant CS","2022","Operational Delivery","Black","1590","1530","28190","27570"
"New entrant CS","2022","Operational Delivery","Mixed","840","810","27120","25330"
"New entrant CS","2022","Operational Delivery","Other ethnicity","220","210","27690","27230"
"New entrant CS","2022","Operational Delivery","Undeclared","520","480","28970","26880"
"New entrant CS","2022","Operational Delivery","Unknown","11910","11240","25880","23720"
"New entrant CS","2022","Operational Delivery","White","19170","18460","26200","23490"
"New entrant CS","2022","Operational Research","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Operational Research","White","70","70","31460","30710"
"New entrant CS","2022","Other","Asian","170","170","27940","25750"
"New entrant CS","2022","Other","Black","90","80","27210","26050"
"New entrant CS","2022","Other","Mixed","80","80","27270","25750"
"New entrant CS","2022","Other","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","690","670","26040","21640"
"New entrant CS","2022","Other","White","1560","1520","27550","23450"
"New entrant CS","2022","Planning","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","White","60","50","43570","42980"
"New entrant CS","2022","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","White","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Asian","310","300","35380","33210"
"New entrant CS","2022","Policy","Black","180","170","34760","32970"
"New entrant CS","2022","Policy","Mixed","160","160","36200","33570"
"New entrant CS","2022","Policy","Other ethnicity","50","50","[c]","[c]"
"New entrant CS","2022","Policy","Undeclared","60","60","35550","33570"
"New entrant CS","2022","Policy","Unknown","830","790","36840","33570"
"New entrant CS","2022","Policy","White","2320","2290","36760","33570"
"New entrant CS","2022","Project Delivery","Asian","100","90","37180","34260"
"New entrant CS","2022","Project Delivery","Black","40","40","[c]","[c]"
"New entrant CS","2022","Project Delivery","Mixed","30","30","[c]","[c]"
"New entrant CS","2022","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Project Delivery","Unknown","300","290","37660","35050"
"New entrant CS","2022","Project Delivery","White","740","730","37100","34020"
"New entrant CS","2022","Property","Asian","40","30","[c]","[c]"
"New entrant CS","2022","Property","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Property","Unknown","250","240","32740","28500"
"New entrant CS","2022","Property","White","450","440","35750","33000"
"New entrant CS","2022","Psychology","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Psychology","White","120","120","26750","27700"
"New entrant CS","2022","Science and Engineering","Asian","110","110","31880","29530"
"New entrant CS","2022","Science and Engineering","Black","60","60","34330","32330"
"New entrant CS","2022","Science and Engineering","Mixed","40","30","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Undeclared","40","30","[c]","[c]"
"New entrant CS","2022","Science and Engineering","Unknown","290","280","28900","26030"
"New entrant CS","2022","Science and Engineering","White","1150","1110","32880","30350"
"New entrant CS","2022","Security","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Security","Unknown","260","260","27180","25000"
"New entrant CS","2022","Security","White","360","350","28730","25000"
"New entrant CS","2022","Social Research","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Social Research","White","220","220","34530","31110"
"New entrant CS","2022","Statistics","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Unknown","80","80","28410","27220"
"New entrant CS","2022","Statistics","White","240","240","32940","30710"
"New entrant CS","2022","Tax","Asian","370","360","27820","26590"
"New entrant CS","2022","Tax","Black","120","120","28120","26590"
"New entrant CS","2022","Tax","Mixed","50","50","28840","26590"
"New entrant CS","2022","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Tax","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Tax","Unknown","690","670","26770","26590"
"New entrant CS","2022","Tax","White","1280","1260","27440","26590"
"New entrant CS","2022","Unknown","Asian","400","390","29880","27570"
"New entrant CS","2022","Unknown","Black","170","170","31920","29970"
"New entrant CS","2022","Unknown","Mixed","150","140","31150","27500"
"New entrant CS","2022","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Undeclared","100","90","33330","30350"
"New entrant CS","2022","Unknown","Unknown","3650","3520","33100","28000"
"New entrant CS","2022","Unknown","White","3590","3510","32430","27570"
"New entrant CS","2022","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Black","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","White","40","30","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Ethnicity","Self reported ethnicity. For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' for 2022.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
