"Status","Year","Profession_of_post","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Property","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","Project Delivery","180","180","49300","50630"
"In post","2021","Property","Male","Property","3890","3790","37020","33300"
"In post","2021","Property","Male","Unknown","90","90","43710","40740"
"In post","2021","Psychology","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Female","No function","1220","1160","35420","31180"
"In post","2021","Psychology","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","No function","170","160","36350","30450"
"In post","2021","Psychology","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Analysis","270","250","32670","29680"
"In post","2021","Science and Engineering","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Digital, Data & Technology","160","150","39320","39650"
"In post","2021","Science and Engineering","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","No function","3160","2910","38220","36730"
"In post","2021","Science and Engineering","Female","Project Delivery","350","340","36600","33000"
"In post","2021","Science and Engineering","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Female","Unknown","510","490","43140","40580"
"In post","2021","Science and Engineering","Male","Analysis","400","390","38070","35900"
"In post","2021","Science and Engineering","Male","Commercial","90","90","41890","41970"
"In post","2021","Science and Engineering","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Male","Digital, Data & Technology","370","350","44190","40880"
"In post","2021","Science and Engineering","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Male","No function","3800","3690","41780","39940"
"In post","2021","Science and Engineering","Male","Project Delivery","3110","3050","37290","35730"
"In post","2021","Science and Engineering","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Male","Unknown","1820","1790","34910","29200"
"In post","2021","Security","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","No function","80","70","45830","42890"
"In post","2021","Security","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","Security","1480","1440","31160","27700"
"In post","2021","Security","Female","Unknown","120","110","33630","29370"
"In post","2021","Security","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","No function","120","110","45410","44030"
"In post","2021","Security","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Security","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","Security","6140","6050","30960","26750"
"In post","2021","Security","Male","Unknown","230","230","29740","25630"
"In post","2021","Security","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","Analysis","580","540","41330","37020"
"In post","2021","Social Research","Female","No function","30","30","[c]","[c]"
"In post","2021","Social Research","Female","Unknown","200","190","45630","47000"
"In post","2021","Social Research","Male","Analysis","290","280","41240","37020"
"In post","2021","Social Research","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Male","Unknown","50","50","[c]","[c]"
"In post","2021","Social Research","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","Analysis","810","770","42710","38770"
"In post","2021","Statistics","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Female","Unknown","100","90","41560","38360"
"In post","2021","Statistics","Male","Analysis","950","930","43630","39850"
"In post","2021","Statistics","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Male","Unknown","90","80","40540","37410"
"In post","2021","Statistics","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Female","Communications","970","920","27400","25560"
"In post","2021","Tax","Female","Counter Fraud","820","750","37430","32100"
"In post","2021","Tax","Female","Debt","520","500","20810","20140"
"In post","2021","Tax","Female","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","Tax","Female","Finance","30","30","[c]","[c]"
"In post","2021","Tax","Female","Human Resources","90","90","36330","31810"
"In post","2021","Tax","Female","Legal","170","160","37570","33680"
"In post","2021","Tax","Female","No function","5690","5210","32760","31810"
"In post","2021","Tax","Female","Project Delivery","80","80","40410","32520"
"In post","2021","Tax","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Male","Communications","1170","1150","27390","25560"
"In post","2021","Tax","Male","Counter Fraud","1090","1040","40690","36160"
"In post","2021","Tax","Male","Debt","470","470","20670","20140"
"In post","2021","Tax","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Tax","Male","Finance","30","30","[c]","[c]"
"In post","2021","Tax","Male","Human Resources","80","80","35670","31810"
"In post","2021","Tax","Male","Legal","180","180","40090","37390"
"In post","2021","Tax","Male","No function","6250","5980","35460","31810"
"In post","2021","Tax","Male","Project Delivery","50","50","[c]","[c]"
"In post","2021","Tax","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Analysis","40","30","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","670","650","65860","62010"
"In post","2021","Unknown","Female","Communications","440","430","38720","33390"
"In post","2021","Unknown","Female","Counter Fraud","100","100","39130","34550"
"In post","2021","Unknown","Female","Debt","40","40","[c]","[c]"
"In post","2021","Unknown","Female","Digital, Data & Technology","550","530","47440","47720"
"In post","2021","Unknown","Female","Finance","160","150","41220","37530"
"In post","2021","Unknown","Female","Human Resources","860","820","39560","35590"
"In post","2021","Unknown","Female","Legal","110","100","55110","59160"
"In post","2021","Unknown","Female","No function","3780","3650","35910","30880"
"In post","2021","Unknown","Female","Project Delivery","280","260","45740","35680"
"In post","2021","Unknown","Female","Property","260","240","33580","29190"
"In post","2021","Unknown","Female","Security","460","430","32190","33000"
"In post","2021","Unknown","Female","Unknown","67120","58420","28650","27570"
"In post","2021","Unknown","Male","Analysis","60","60","44470","41760"
"In post","2021","Unknown","Male","Commercial","770","760","73540","65000"
"In post","2021","Unknown","Male","Communications","350","350","36880","31810"
"In post","2021","Unknown","Male","Counter Fraud","120","120","38380","32210"
"In post","2021","Unknown","Male","Debt","50","50","[c]","[c]"
"In post","2021","Unknown","Male","Digital, Data & Technology","790","780","50080","54700"
"In post","2021","Unknown","Male","Finance","180","170","46630","40290"
"In post","2021","Unknown","Male","Human Resources","460","450","38940","34550"
"In post","2021","Unknown","Male","Legal","90","90","60190","59160"
"In post","2021","Unknown","Male","No function","3490","3460","36290","31810"
"In post","2021","Unknown","Male","Project Delivery","290","290","54600","45210"
"In post","2021","Unknown","Male","Property","590","580","32700","30160"
"In post","2021","Unknown","Male","Security","420","410","34060","33300"
"In post","2021","Unknown","Male","Unknown","38130","36730","30620","27570"
"In post","2021","Veterinarian","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Female","No function","240","230","44110","38390"
"In post","2021","Veterinarian","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","Male","No function","190","180","46590","46450"
"In post","2021","Veterinarian","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Commercial","2210","2110","38230","36500"
"In post","2022","Commercial","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Finance","360","320","35470","32890"
"In post","2022","Commercial","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","No function","310","300","45890","43320"
"In post","2022","Commercial","Female","Project Delivery","390","370","36980","35000"
"In post","2022","Commercial","Female","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Security","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","Unknown","90","80","37080","35070"
"In post","2022","Commercial","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Commercial","1860","1830","41030","38980"
"In post","2022","Commercial","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Finance","270","260","38950","35390"
"In post","2022","Commercial","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","No function","200","200","52110","49700"
"In post","2022","Commercial","Male","Project Delivery","360","360","41210","37470"
"In post","2022","Commercial","Male","Property","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Security","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","Unknown","80","80","37980","37450"
"In post","2022","Communications","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Communications","2030","1930","42340","38750"
"In post","2022","Communications","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","No function","160","150","40630","36960"
"In post","2022","Communications","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","Property","[c]","[c]","[c]","[c]"
