"Status","Year","Function_of_post","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Other","SEO/HEO","60","60","32960","32930"
"In post","2021","Finance","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","G6/G7","30","30","[c]","[c]"
"In post","2021","Finance","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Finance","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Tax","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Finance","Unknown","AA/AO","40","30","[c]","[c]"
"In post","2021","Finance","Unknown","EO","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","G6/G7","90","90","57650","56690"
"In post","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","140","140","37320","37530"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","AA/AO","950","860","21010","21050"
"In post","2021","Grants Management","Operational Delivery","EO","540","500","25510","25190"
"In post","2021","Grants Management","Operational Delivery","G6/G7","60","50","52530","49800"
"In post","2021","Grants Management","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Operational Delivery","SEO/HEO","330","310","32740","31110"
"In post","2021","Grants Management","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","AA/AO","1120","1020","21530","21130"
"In post","2021","Human Resources","Human Resources","EO","1210","1140","26920","26670"
"In post","2021","Human Resources","Human Resources","G6/G7","1450","1400","58030","56020"
"In post","2021","Human Resources","Human Resources","SCS","170","160","89020","82330"
"In post","2021","Human Resources","Human Resources","SEO/HEO","2950","2820","36700","36030"
"In post","2021","Human Resources","Human Resources","Unknown","40","40","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","AA/AO","280","240","20980","21400"
"In post","2021","Human Resources","Operational Delivery","EO","220","210","25840","25560"
"In post","2021","Human Resources","Operational Delivery","G6/G7","60","60","55360","53430"
"In post","2021","Human Resources","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Operational Delivery","SEO/HEO","220","210","33580","31810"
"In post","2021","Human Resources","Operational Delivery","Unknown","150","140","33560","29080"
"In post","2021","Human Resources","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Human Resources","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Policy","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Human Resources","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","EO","60","50","26750","25560"
"In post","2021","Human Resources","Tax","G6/G7","30","30","[c]","[c]"
"In post","2021","Human Resources","Tax","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Tax","SEO/HEO","80","80","34250","32460"
"In post","2021","Human Resources","Unknown","AA/AO","210","190","20850","20800"
"In post","2021","Human Resources","Unknown","EO","250","240","26410","25760"
"In post","2021","Human Resources","Unknown","G6/G7","320","310","57600","56520"
"In post","2021","Human Resources","Unknown","SCS","50","50","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","490","470","36100","35790"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","EO","50","50","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","G6/G7","190","190","58890","56670"
"In post","2021","Internal Audit","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","SEO/HEO","460","440","40570","40550"
"In post","2021","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","AA/AO","40","40","[c]","[c]"
"In post","2021","Legal","Legal","EO","370","360","28330","27130"
"In post","2021","Legal","Legal","G6/G7","5660","5220","59470","58040"
"In post","2021","Legal","Legal","SCS","380","360","88640","83220"
"In post","2021","Legal","Legal","SEO/HEO","2190","2020","40390","40000"
"In post","2021","Legal","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Operational Delivery","AA/AO","2480","2230","22030","21950"
"In post","2021","Legal","Operational Delivery","EO","1810","1660","28070","28430"
"In post","2021","Legal","Operational Delivery","G6/G7","150","150","60120","58590"
"In post","2021","Legal","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Operational Delivery","SEO/HEO","710","690","35150","33930"
"In post","2021","Legal","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other","AA/AO","40","40","[c]","[c]"
"In post","2021","Legal","Other","EO","210","200","27500","27350"
"In post","2021","Legal","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other","SEO/HEO","90","90","33650","31670"
"In post","2021","Legal","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Tax","G6/G7","80","80","55070","52580"
"In post","2021","Legal","Tax","SEO/HEO","250","240","34480","31810"
"In post","2021","Legal","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","60","60","62140","59160"
"In post","2021","Legal","Unknown","SCS","60","60","88220","80020"
"In post","2021","Legal","Unknown","SEO/HEO","50","50","34710","31810"
"In post","2021","No function","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Commercial","G6/G7","100","100","58530","54760"
"In post","2021","No function","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Commercial","SEO/HEO","140","140","35500","36400"
"In post","2021","No function","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","G6/G7","40","40","[c]","[c]"
"In post","2021","No function","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Communications","SEO/HEO","50","40","[c]","[c]"
"In post","2021","No function","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Counter Fraud","SEO/HEO","30","30","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","EO","50","40","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","G6/G7","50","50","59130","54710"
"In post","2021","No function","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Digital, Data and Technology","SEO/HEO","120","110","35660","36370"
"In post","2021","No function","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","G6/G7","230","220","58380","57850"
"In post","2021","No function","Economics","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Economics","SEO/HEO","180","180","35220","34240"
"In post","2021","No function","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","EO","40","40","[c]","[c]"
"In post","2021","No function","Finance","G6/G7","130","130","58430","54760"
"In post","2021","No function","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Finance","SEO/HEO","200","190","36330","36500"
"In post","2021","No function","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","G6/G7","510","500","75360","75500"
"In post","2021","No function","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Inspector of Education and Training","SEO/HEO","340","330","51020","51360"
"In post","2021","No function","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","EO","350","340","28700","27380"
"In post","2021","No function","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","Intelligence Analysis","SEO/HEO","90","90","37380","36480"
"In post","2021","No function","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","No function","International Trade","EO","100","100","26890","26510"
"In post","2021","No function","International Trade","G6/G7","600","590","55600","53380"
"In post","2021","No function","International Trade","SCS","110","110","85670","75570"
"In post","2021","No function","International Trade","SEO/HEO","650","650","35430","34980"
"In post","2021","No function","Knowledge and Information Management","AA/AO","100","90","22100","22000"
"In post","2021","No function","Knowledge and Information Management","EO","210","200","26510","26210"
"In post","2021","No function","Knowledge and Information Management","G6/G7","240","220","57190","54230"
"In post","2021","No function","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
