"Status","Year","Sexual_orientation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","AA/AO","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Operational Delivery","7620","6630","22570","21440"
"In post","2021","Undeclared","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Other","830","790","21130","21130"
"In post","2021","Undeclared","AA/AO","Policy","60","50","23690","23830"
"In post","2021","Undeclared","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Property","100","100","20130","20340"
"In post","2021","Undeclared","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Science and Engineering","120","120","21690","21610"
"In post","2021","Undeclared","AA/AO","Security","580","570","29580","25680"
"In post","2021","Undeclared","AA/AO","Tax","100","90","20640","20140"
"In post","2021","Undeclared","AA/AO","Unknown","2740","2360","21220","21010"
"In post","2021","Undeclared","EO","Commercial","70","60","26510","26700"
"In post","2021","Undeclared","EO","Communications","50","40","[c]","[c]"
"In post","2021","Undeclared","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Digital, Data and Technology","240","230","28320","27940"
"In post","2021","Undeclared","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Finance","160","150","27300","26930"
"In post","2021","Undeclared","EO","Human Resources","120","110","28040","27380"
"In post","2021","Undeclared","EO","Intelligence Analysis","200","190","28000","27370"
"In post","2021","Undeclared","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Knowledge and Information Management","70","70","27210","26670"
"In post","2021","Undeclared","EO","Legal","150","140","27730","27230"
"In post","2021","Undeclared","EO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Operational Delivery","5070","4600","27910","27230"
"In post","2021","Undeclared","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Other","530","500","26870","26670"
"In post","2021","Undeclared","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Policy","220","210","28580","28670"
"In post","2021","Undeclared","EO","Project Delivery","150","140","27080","26670"
"In post","2021","Undeclared","EO","Property","150","140","27370","26670"
"In post","2021","Undeclared","EO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Science and Engineering","270","260","27340","27490"
"In post","2021","Undeclared","EO","Security","120","110","37310","42660"
"In post","2021","Undeclared","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","EO","Tax","280","250","27250","27230"
"In post","2021","Undeclared","EO","Unknown","3980","3580","28040","27570"
"In post","2021","Undeclared","G6/G7","Commercial","80","80","61720","57860"
"In post","2021","Undeclared","G6/G7","Communications","60","60","56100","55590"
"In post","2021","Undeclared","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Digital, Data and Technology","310","310","58970","57680"
"In post","2021","Undeclared","G6/G7","Economics","70","70","60210","59540"
"In post","2021","Undeclared","G6/G7","Finance","220","210","59780","58390"
"In post","2021","Undeclared","G6/G7","Human Resources","90","90","58800","57190"
"In post","2021","Undeclared","G6/G7","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","International Trade","30","30","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Knowledge and Information Management","50","50","58610","57370"
"In post","2021","Undeclared","G6/G7","Legal","380","350","60990","60830"
"In post","2021","Undeclared","G6/G7","Medicine","60","50","80490","83530"
"In post","2021","Undeclared","G6/G7","Operational Delivery","660","640","59560","57460"
"In post","2021","Undeclared","G6/G7","Operational Research","40","40","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Other","200","190","63650","60830"
"In post","2021","Undeclared","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Planning Inspectors","30","30","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Policy","1040","1010","58920","57460"
"In post","2021","Undeclared","G6/G7","Project Delivery","400","390","58310","56500"
"In post","2021","Undeclared","G6/G7","Property","120","120","59000","57130"
"In post","2021","Undeclared","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Science and Engineering","350","330","56570","55240"
"In post","2021","Undeclared","G6/G7","Security","40","40","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Statistics","40","40","[c]","[c]"
"In post","2021","Undeclared","G6/G7","Tax","320","300","58110","53150"
"In post","2021","Undeclared","G6/G7","Unknown","580","560","59710","58020"
"In post","2021","Undeclared","G6/G7","Veterinarian","30","30","[c]","[c]"
"In post","2021","Undeclared","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Legal","30","30","[c]","[c]"
"In post","2021","Undeclared","SCS","Medicine","60","50","104200","104560"
"In post","2021","Undeclared","SCS","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Undeclared","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Policy","140","130","82000","77050"
"In post","2021","Undeclared","SCS","Project Delivery","40","40","[c]","[c]"
"In post","2021","Undeclared","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SCS","Unknown","70","60","91240","83230"
"In post","2021","Undeclared","SEO/HEO","Commercial","290","280","38510","38560"
"In post","2021","Undeclared","SEO/HEO","Communications","160","150","38330","37600"
"In post","2021","Undeclared","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Digital, Data and Technology","710","690","38310","38450"
"In post","2021","Undeclared","SEO/HEO","Economics","70","70","35810","34470"
"In post","2021","Undeclared","SEO/HEO","Finance","380","360","38660","38150"
"In post","2021","Undeclared","SEO/HEO","Human Resources","260","250","37760","37450"
"In post","2021","Undeclared","SEO/HEO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Intelligence Analysis","180","170","37200","36460"
"In post","2021","Undeclared","SEO/HEO","Internal Audit","50","50","41170","40580"
"In post","2021","Undeclared","SEO/HEO","International Trade","50","50","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Knowledge and Information Management","150","150","37030","37430"
"In post","2021","Undeclared","SEO/HEO","Legal","440","400","39650","39800"
"In post","2021","Undeclared","SEO/HEO","Medicine","60","50","40040","38490"
"In post","2021","Undeclared","SEO/HEO","Operational Delivery","3170","2990","37320","36030"
"In post","2021","Undeclared","SEO/HEO","Operational Research","50","50","37930","37320"
"In post","2021","Undeclared","SEO/HEO","Other","560","540","36320","35980"
"In post","2021","Undeclared","SEO/HEO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Policy","1180","1140","37510","36960"
"In post","2021","Undeclared","SEO/HEO","Project Delivery","810","780","37700","38090"
"In post","2021","Undeclared","SEO/HEO","Property","370","350","37740","36460"
"In post","2021","Undeclared","SEO/HEO","Psychology","60","60","37000","31180"
"In post","2021","Undeclared","SEO/HEO","Science and Engineering","720","680","37800","37700"
"In post","2021","Undeclared","SEO/HEO","Security","190","180","41700","38890"
"In post","2021","Undeclared","SEO/HEO","Social Research","50","40","[c]","[c]"
"In post","2021","Undeclared","SEO/HEO","Statistics","80","70","36830","36580"
"In post","2021","Undeclared","SEO/HEO","Tax","620","580","35180","34970"
"In post","2021","Undeclared","SEO/HEO","Unknown","1290","1240","35920","34580"
"In post","2021","Undeclared","SEO/HEO","Veterinarian","50","40","[c]","[c]"
"In post","2021","Undeclared","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Operational Delivery","930","860","31860","32090"
"In post","2021","Undeclared","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Other","30","30","[c]","[c]"
"In post","2021","Undeclared","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Project Delivery","60","60","48440","47070"
"In post","2021","Undeclared","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Science and Engineering","100","100","43350","42560"
"In post","2021","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Commercial","70","70","22640","21980"
"In post","2021","Unknown","AA/AO","Communications","40","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Digital, Data and Technology","110","110","21520","21590"
"In post","2021","Unknown","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Finance","300","250","21070","20770"
"In post","2021","Unknown","AA/AO","Human Resources","130","120","21430","20920"
"In post","2021","Unknown","AA/AO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Unknown","AA/AO","Legal","90","80","21470","21240"
"In post","2021","Unknown","AA/AO","Medicine","90","80","21050","21140"
"In post","2021","Unknown","AA/AO","Operational Delivery","21010","18800","23020","21440"
"In post","2021","Unknown","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Other","870","810","22720","20920"
"In post","2021","Unknown","AA/AO","Policy","140","140","23200","23090"
"In post","2021","Unknown","AA/AO","Project Delivery","50","40","[c]","[c]"
"In post","2021","Unknown","AA/AO","Property","230","200","19550","18760"
"In post","2021","Unknown","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Science and Engineering","290","280","22220","21710"
"In post","2021","Unknown","AA/AO","Security","850","840","28490","26610"
"In post","2021","Unknown","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Tax","2320","2200","20240","20140"
"In post","2021","Unknown","AA/AO","Unknown","10220","8650","21360","21010"
"In post","2021","Unknown","EO","Commercial","100","100","25730","25890"
"In post","2021","Unknown","EO","Communications","160","160","27450","27270"
"In post","2021","Unknown","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Digital, Data and Technology","560","540","27110","26370"
"In post","2021","Unknown","EO","Economics","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Finance","210","200","26470","26350"
"In post","2021","Unknown","EO","Human Resources","200","190","27070","26930"
"In post","2021","Unknown","EO","Intelligence Analysis","120","120","28340","27380"
"In post","2021","Unknown","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","International Trade","30","30","[c]","[c]"
"In post","2021","Unknown","EO","Knowledge and Information Management","80","70","27030","26670"
"In post","2021","Unknown","EO","Legal","580","550","27230","25560"
"In post","2021","Unknown","EO","Medicine","50","50","30640","30620"
"In post","2021","Unknown","EO","Operational Delivery","8480","7880","28240","27130"
"In post","2021","Unknown","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Other","660","630","27200","27580"
"In post","2021","Unknown","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Policy","490","480","27940","27690"
"In post","2021","Unknown","EO","Project Delivery","230","220","26530","26350"
"In post","2021","Unknown","EO","Property","320","300","26870","26000"
"In post","2021","Unknown","EO","Psychology","70","70","28410","27380"
"In post","2021","Unknown","EO","Science and Engineering","360","350","25150","25720"
"In post","2021","Unknown","EO","Security","120","120","30170","26760"
"In post","2021","Unknown","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Statistics","50","40","[c]","[c]"
"In post","2021","Unknown","EO","Tax","1570","1490","26350","25560"
"In post","2021","Unknown","EO","Unknown","12200","10840","28050","27570"
