"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Foreign, Commonwealth and Development Office","90","90","39880","34290"
"In post","2021","Female","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","HM Revenue and Customs","1780","1590","31140","26500"
"In post","2021","Female","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Ministry of Defence","1020","970","30900","33000"
"In post","2021","Female","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Ministry of Justice","170","170","35590","31770"
"In post","2021","Female","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Scottish Government","240","220","29390","28120"
"In post","2021","Female","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Cabinet Office","460","430","32190","33000"
"In post","2021","Female","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Department for Transport","40","30","[c]","[c]"
"In post","2021","Female","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Foreign, Commonwealth and Development Office","170","170","40290","36360"
"In post","2021","Female","Security","HM Revenue and Customs","70","60","36980","38630"
"In post","2021","Female","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Ministry of Defence","920","890","27870","22780"
"In post","2021","Female","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Ministry of Justice","320","310","36770","32550"
"In post","2021","Female","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Female","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Charity Commission","150","140","31930","29160"
"In post","2021","Female","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department for Education","360","340","50760","42580"
"In post","2021","Female","Unknown","Department for Environment, Food and Rural Affairs","90","90","39520","36970"
"In post","2021","Female","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department for Work and Pensions","59540","51290","27230","27570"
"In post","2021","Female","Unknown","Department of Health and Social Care","720","690","47520","41040"
"In post","2021","Female","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Foreign, Commonwealth and Development Office","200","200","48240","42200"
"In post","2021","Female","Unknown","HM Treasury","60","60","40770","35210"
"In post","2021","Female","Unknown","Home Office","18320","16540","31370","27370"
"In post","2021","Female","Unknown","Ministry of Defence","9000","8460","29190","22920"
"In post","2021","Female","Unknown","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Scotland Office","70","60","47420","47760"
"In post","2021","Female","Unknown","Scottish Government","6370","5970","40190","35110"
"In post","2021","Female","Unknown","Welsh Government","3400","3150","39800","37410"
"In post","2021","Male","Analysis","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Chancellor's other departments","120","110","70090","59150"
"In post","2021","Male","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Competition and Markets Authority","80","80","62080","56630"
"In post","2021","Male","Analysis","Department for Business, Energy and Industrial Strategy","210","210","44140","38570"
"In post","2021","Male","Analysis","Department for Digital, Culture, Media and Sport","90","90","51690","43280"
"In post","2021","Male","Analysis","Department for Education","190","190","44950","44430"
"In post","2021","Male","Analysis","Department for Environment, Food and Rural Affairs","330","320","35700","30400"
"In post","2021","Male","Analysis","Department for International Trade","150","150","44020","40330"
"In post","2021","Male","Analysis","Department for Transport","280","270","42850","39770"
"In post","2021","Male","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Department of Health and Social Care","140","140","51970","53360"
"In post","2021","Male","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Male","Analysis","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","HM Revenue and Customs","380","380","44180","38630"
"In post","2021","Male","Analysis","HM Treasury","110","100","51590","52530"
"In post","2021","Male","Analysis","Ministry of Defence","430","410","41140","38500"
"In post","2021","Male","Analysis","Ministry of Housing, Communities and Local Government","130","130","46350","46240"
"In post","2021","Male","Analysis","Ministry of Justice","210","210","45320","40830"
"In post","2021","Male","Analysis","Office for Standards in Education","70","70","39160","35010"
"In post","2021","Male","Analysis","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Male","Analysis","Office of Rail and Road","30","30","[c]","[c]"
"In post","2021","Male","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","United Kingdom Statistics Authority","750","740","38310","36030"
"In post","2021","Male","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Cabinet Office","750","750","74230","65440"
"In post","2021","Male","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Department for Business, Energy and Industrial Strategy","120","120","45590","47400"
"In post","2021","Male","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Department for Education","100","90","40840","38000"
"In post","2021","Male","Commercial","Department for Environment, Food and Rural Affairs","80","80","41060","37240"
"In post","2021","Male","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Department for Transport","100","90","34980","32020"
"In post","2021","Male","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Department of Health and Social Care","110","100","50240","40650"
"In post","2021","Male","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Foreign, Commonwealth and Development Office","80","70","44360","41160"
"In post","2021","Male","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","HM Revenue and Customs","70","70","39250","38630"
"In post","2021","Male","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Ministry of Defence","1070","1050","38820","36460"
"In post","2021","Male","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Ministry of Justice","460","460","47510","46600"
"In post","2021","Male","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
