"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Project Delivery","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","AA/AO","Operational Delivery","110","100","20260","20650"
"In post","2021","Criminal Injuries Compensation Authority","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","EO","Operational Delivery","80","80","23340","22710"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Operational Delivery","80","80","28990","27240"
"In post","2021","Criminal Injuries Compensation Authority","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Commercial","60","50","23490","22400"
"In post","2021","Crown Commercial Service","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Commercial","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Operational Delivery","70","70","54700","55000"
"In post","2021","Crown Commercial Service","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SCS","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Commercial","270","260","33250","34800"
"In post","2021","Crown Commercial Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Digital, Data and Technology","50","50","33170","34800"
"In post","2021","Crown Commercial Service","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Operational Delivery","60","60","32400","33900"
"In post","2021","Crown Commercial Service","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Operational Delivery","690","610","21920","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","AA/AO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Operational Delivery","290","270","27130","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Legal","160","150","67480","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Legal","410","390","47800","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Operational Delivery","280","260","33760","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","AA/AO","Operational Delivery","1430","1310","22250","21950"
"In post","2021","Crown Prosecution Service","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","EO","Legal","100","100","27070","25920"
"In post","2021","Crown Prosecution Service","EO","Operational Delivery","1170","1070","28120","28430"
"In post","2021","Crown Prosecution Service","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Human Resources","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Legal","2640","2440","57500","55610"
"In post","2021","Crown Prosecution Service","G6/G7","Operational Delivery","90","90","60140","58590"
"In post","2021","Crown Prosecution Service","G6/G7","Policy","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Legal","70","70","94440","90410"
"In post","2021","Crown Prosecution Service","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Communications","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Digital, Data and Technology","70","70","36900","38180"
"In post","2021","Crown Prosecution Service","SEO/HEO","Finance","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","SEO/HEO","Human Resources","80","80","34720","33310"
"In post","2021","Crown Prosecution Service","SEO/HEO","Legal","380","360","37730","38000"
"In post","2021","Crown Prosecution Service","SEO/HEO","Operational Delivery","350","340","34530","33310"
"In post","2021","Crown Prosecution Service","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
