"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Policy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","20-29","150","140","33140","33000"
"In post","2021","LGBO","Project Delivery","30-39","180","170","43380","39200"
"In post","2021","LGBO","Project Delivery","40-49","130","120","46100","41760"
"In post","2021","LGBO","Project Delivery","50-59","110","110","44700","40050"
"In post","2021","LGBO","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","20-29","30","30","[c]","[c]"
"In post","2021","LGBO","Property","30-39","40","40","[c]","[c]"
"In post","2021","LGBO","Property","40-49","50","50","[c]","[c]"
"In post","2021","LGBO","Property","50-59","40","40","[c]","[c]"
"In post","2021","LGBO","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","20-29","190","190","28580","27540"
"In post","2021","LGBO","Science and Engineering","30-39","110","100","37440","36720"
"In post","2021","LGBO","Science and Engineering","40-49","70","70","45230","45780"
"In post","2021","LGBO","Science and Engineering","50-59","40","40","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Science and Engineering","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","20-29","50","50","30100","26610"
"In post","2021","LGBO","Security","30-39","80","80","32560","31150"
"In post","2021","LGBO","Security","40-49","50","50","34750","37170"
"In post","2021","LGBO","Security","50-59","50","50","33690","32910"
"In post","2021","LGBO","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","20-29","30","30","[c]","[c]"
"In post","2021","LGBO","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","20-29","70","70","34810","32010"
"In post","2021","LGBO","Statistics","30-39","40","30","[c]","[c]"
"In post","2021","LGBO","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","20-29","200","200","27470","25560"
"In post","2021","LGBO","Tax","30-39","190","190","35990","31810"
"In post","2021","LGBO","Tax","40-49","110","110","35040","31810"
"In post","2021","LGBO","Tax","50-59","110","100","36880","31870"
"In post","2021","LGBO","Tax","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","20-29","1450","1430","28310","27570"
"In post","2021","LGBO","Unknown","30-39","1260","1230","32780","27570"
"In post","2021","LGBO","Unknown","40-49","1000","970","33170","27570"
"In post","2021","LGBO","Unknown","50-59","950","900","31390","27570"
"In post","2021","LGBO","Unknown","60-64","220","180","29030","27570"
"In post","2021","LGBO","Unknown","65+","60","50","26040","25850"
"In post","2021","LGBO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","20-29","50","40","[c]","[c]"
"In post","2021","Undeclared","Commercial","30-39","90","80","37070","38260"
"In post","2021","Undeclared","Commercial","40-49","120","120","40900","39040"
"In post","2021","Undeclared","Commercial","50-59","180","170","42650","40580"
"In post","2021","Undeclared","Commercial","60-64","60","50","40890","35200"
"In post","2021","Undeclared","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","20-29","40","40","[c]","[c]"
"In post","2021","Undeclared","Communications","30-39","80","80","43730","41170"
"In post","2021","Undeclared","Communications","40-49","70","70","40510","40610"
"In post","2021","Undeclared","Communications","50-59","90","90","37590","34610"
"In post","2021","Undeclared","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data and Technology","20-29","120","120","34010","31080"
"In post","2021","Undeclared","Digital, Data and Technology","30-39","250","250","41430","38630"
"In post","2021","Undeclared","Digital, Data and Technology","40-49","360","360","42320","39250"
"In post","2021","Undeclared","Digital, Data and Technology","50-59","470","450","41780","38930"
"In post","2021","Undeclared","Digital, Data and Technology","60-64","100","80","40790","39110"
"In post","2021","Undeclared","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","20-29","80","80","37320","34200"
"In post","2021","Undeclared","Economics","30-39","40","40","[c]","[c]"
"In post","2021","Undeclared","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","20-29","60","60","33380","30800"
"In post","2021","Undeclared","Finance","30-39","140","140","42450","40580"
"In post","2021","Undeclared","Finance","40-49","240","230","43150","38790"
"In post","2021","Undeclared","Finance","50-59","340","320","40350","36650"
"In post","2021","Undeclared","Finance","60-64","90","80","37350","33300"
"In post","2021","Undeclared","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","20-29","40","40","[c]","[c]"
"In post","2021","Undeclared","Human Resources","30-39","100","90","36550","32100"
"In post","2021","Undeclared","Human Resources","40-49","170","160","37490","33850"
"In post","2021","Undeclared","Human Resources","50-59","230","210","38110","33300"
"In post","2021","Undeclared","Human Resources","60-64","60","50","33350","31780"
"In post","2021","Undeclared","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","20-29","30","30","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","30-39","80","80","34870","33300"
"In post","2021","Undeclared","Intelligence Analysis","40-49","120","110","34680","31040"
"In post","2021","Undeclared","Intelligence Analysis","50-59","150","150","34150","31870"
"In post","2021","Undeclared","Intelligence Analysis","60-64","30","30","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","50-59","50","50","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","30-39","40","40","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","40-49","90","80","40990","37470"
"In post","2021","Undeclared","Knowledge and Information Management","50-59","130","130","38610","35000"
"In post","2021","Undeclared","Knowledge and Information Management","60-64","40","40","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","20-29","60","60","33580","29970"
"In post","2021","Undeclared","Legal","30-39","180","180","45400","48660"
"In post","2021","Undeclared","Legal","40-49","300","280","49670","48220"
"In post","2021","Undeclared","Legal","50-59","380","350","47320","45100"
"In post","2021","Undeclared","Legal","60-64","70","60","45840","45190"
"In post","2021","Undeclared","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","30-39","30","30","[c]","[c]"
"In post","2021","Undeclared","Medicine","40-49","60","50","60410","65570"
"In post","2021","Undeclared","Medicine","50-59","90","80","65830","46290"
"In post","2021","Undeclared","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","20-29","1430","1390","25860","24880"
"In post","2021","Undeclared","Operational Delivery","30-39","2860","2670","28370","26000"
"In post","2021","Undeclared","Operational Delivery","40-49","4210","3890","29780","26850"
"In post","2021","Undeclared","Operational Delivery","50-59","6320","5790","29860","27230"
"In post","2021","Undeclared","Operational Delivery","60-64","1970","1530","27260","25630"
"In post","2021","Undeclared","Operational Delivery","65+","660","460","26420","25370"
"In post","2021","Undeclared","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","30-39","30","30","[c]","[c]"
"In post","2021","Undeclared","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other","20-29","130","130","27520","25390"
"In post","2021","Undeclared","Other","30-39","220","210","33500","28680"
"In post","2021","Undeclared","Other","40-49","420","400","33830","28630"
