"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Knowledge and Information Management","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Commercial","70","70","37960","33300"
"In post","2021","Knowledge and Information Management","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","No function","200","180","39890","37490"
"In post","2021","Knowledge and Information Management","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Counter Fraud","230","210","31330","29570"
"In post","2021","Legal","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Legal","730","670","53950","54580"
"In post","2021","Legal","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","Counter Fraud","1980","1900","31460","29570"
"In post","2021","Legal","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","Legal","6030","5570","55280","54580"
"In post","2021","Legal","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared non-disabled","Unknown","130","120","56540","60830"
"In post","2021","Legal","Undeclared","Counter Fraud","230","220","33410","31810"
"In post","2021","Legal","Undeclared","Legal","290","270","54840","52580"
"In post","2021","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Counter Fraud","890","860","30690","29570"
"In post","2021","Legal","Unknown","Legal","1590","1490","51040","51470"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Declared disabled","Unknown","100","90","49520","38890"
"In post","2021","Medicine","Declared non-disabled","No function","250","210","95760","96510"
"In post","2021","Medicine","Declared non-disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","Medicine","Declared non-disabled","Unknown","1270","1150","45870","37890"
"In post","2021","Medicine","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","Medicine","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Undeclared","Unknown","70","70","49110","37890"
"In post","2021","Medicine","Unknown","No function","140","130","112300","115850"
"In post","2021","Medicine","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Unknown","550","490","46740","37890"
"In post","2021","Operational Delivery","Declared disabled","Analysis","50","50","30860","30180"
"In post","2021","Operational Delivery","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared disabled","Communications","130","110","27140","25560"
"In post","2021","Operational Delivery","Declared disabled","Counter Fraud","290","270","29950","28130"
"In post","2021","Operational Delivery","Declared disabled","Debt","340","290","23180","21440"
"In post","2021","Operational Delivery","Declared disabled","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Declared disabled","Finance","80","70","30070","27400"
"In post","2021","Operational Delivery","Declared disabled","Grants Management","150","140","25560","21050"
"In post","2021","Operational Delivery","Declared disabled","Human Resources","100","100","28660","25560"
"In post","2021","Operational Delivery","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared disabled","Legal","420","380","28170","25720"
"In post","2021","Operational Delivery","Declared disabled","No function","13030","11840","27950","25560"
"In post","2021","Operational Delivery","Declared disabled","Project Delivery","190","180","34680","30990"
"In post","2021","Operational Delivery","Declared disabled","Property","110","100","28480","21100"
"In post","2021","Operational Delivery","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared disabled","Unknown","2370","2150","28020","25630"
"In post","2021","Operational Delivery","Declared non-disabled","Analysis","360","340","32780","30130"
"In post","2021","Operational Delivery","Declared non-disabled","Commercial","330","320","44840","39880"
"In post","2021","Operational Delivery","Declared non-disabled","Communications","980","930","30820","28130"
"In post","2021","Operational Delivery","Declared non-disabled","Counter Fraud","1790","1650","30920","29570"
"In post","2021","Operational Delivery","Declared non-disabled","Debt","1980","1740","24550","21440"
"In post","2021","Operational Delivery","Declared non-disabled","Digital, Data & Technology","300","290","35130","31810"
"In post","2021","Operational Delivery","Declared non-disabled","Finance","540","500","29150","25560"
"In post","2021","Operational Delivery","Declared non-disabled","Grants Management","1680","1540","25350","21050"
"In post","2021","Operational Delivery","Declared non-disabled","Human Resources","610","560","30170","25650"
"In post","2021","Operational Delivery","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared non-disabled","Legal","2440","2240","28430","26970"
"In post","2021","Operational Delivery","Declared non-disabled","No function","77550","71380","29020","26470"
"In post","2021","Operational Delivery","Declared non-disabled","Project Delivery","1230","1160","36330","32470"
"In post","2021","Operational Delivery","Declared non-disabled","Property","890","820","30540","25500"
"In post","2021","Operational Delivery","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Declared non-disabled","Unknown","22400","20530","28630","25630"
"In post","2021","Operational Delivery","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Communications","60","60","28110","25560"
"In post","2021","Operational Delivery","Undeclared","Counter Fraud","170","160","30590","28130"
"In post","2021","Operational Delivery","Undeclared","Debt","190","170","24430","21440"
"In post","2021","Operational Delivery","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Grants Management","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Human Resources","50","40","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","Legal","40","30","[c]","[c]"
"In post","2021","Operational Delivery","Undeclared","No function","10530","9600","29580","29090"
"In post","2021","Operational Delivery","Undeclared","Project Delivery","100","90","34950","29150"
"In post","2021","Operational Delivery","Undeclared","Property","90","80","30280","25860"
"In post","2021","Operational Delivery","Undeclared","Unknown","1400","1290","29820","27370"
"In post","2021","Operational Delivery","Unknown","Analysis","160","150","31630","29540"
"In post","2021","Operational Delivery","Unknown","Commercial","40","40","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Communications","360","340","28680","25560"
"In post","2021","Operational Delivery","Unknown","Counter Fraud","640","590","27960","25560"
"In post","2021","Operational Delivery","Unknown","Debt","1070","960","22980","20140"
"In post","2021","Operational Delivery","Unknown","Digital, Data & Technology","110","100","33460","31810"
"In post","2021","Operational Delivery","Unknown","Finance","210","190","26170","21440"
"In post","2021","Operational Delivery","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Human Resources","180","160","28240","25560"
"In post","2021","Operational Delivery","Unknown","Legal","2280","2090","25910","22820"
"In post","2021","Operational Delivery","Unknown","No function","25680","23890","27730","24920"
"In post","2021","Operational Delivery","Unknown","Project Delivery","390","360","34260","30630"
"In post","2021","Operational Delivery","Unknown","Property","360","340","24430","21100"
"In post","2021","Operational Delivery","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Unknown","1460","1410","27030","24880"
"In post","2021","Operational Research","Declared disabled","Analysis","80","80","42430","37590"
"In post","2021","Operational Research","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","No function","40","40","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","Analysis","430","420","44580","42280"
"In post","2021","Operational Research","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","No function","210","200","44590","46080"
"In post","2021","Operational Research","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Declared non-disabled","Unknown","120","120","46630","42640"
"In post","2021","Operational Research","Undeclared","Analysis","60","50","46850","46080"
"In post","2021","Operational Research","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Analysis","90","90","41580","37320"
"In post","2021","Operational Research","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Other","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other","Declared disabled","Finance","30","30","[c]","[c]"
