"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","No function","20-29","460","450","37710","34960"
"In post","2021","International Trade","No function","30-39","440","430","49560","51970"
"In post","2021","International Trade","No function","40-49","260","250","51920","51970"
"In post","2021","International Trade","No function","50-59","260","260","51420","48220"
"In post","2021","International Trade","No function","60-64","40","40","[c]","[c]"
"In post","2021","International Trade","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Commercial","20-29","90","80","26190","26350"
"In post","2021","Knowledge and Information Management","Commercial","30-39","110","100","33790","33300"
"In post","2021","Knowledge and Information Management","Commercial","40-49","150","150","35610","33300"
"In post","2021","Knowledge and Information Management","Commercial","50-59","260","250","35210","33300"
"In post","2021","Knowledge and Information Management","Commercial","60-64","60","60","32500","29200"
"In post","2021","Knowledge and Information Management","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","30-39","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","40-49","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","50-59","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","20-29","110","110","29100","28460"
"In post","2021","Knowledge and Information Management","No function","30-39","210","200","38000","36330"
"In post","2021","Knowledge and Information Management","No function","40-49","270","250","41980","39030"
"In post","2021","Knowledge and Information Management","No function","50-59","280","260","40180","37090"
"In post","2021","Knowledge and Information Management","No function","60-64","70","60","34480","28460"
"In post","2021","Knowledge and Information Management","No function","65+","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","30-39","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","40-49","40","40","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","50-59","60","60","39170","37320"
"In post","2021","Knowledge and Information Management","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","30-39","50","50","35230","34490"
"In post","2021","Knowledge and Information Management","Unknown","40-49","60","60","40830","37410"
"In post","2021","Knowledge and Information Management","Unknown","50-59","70","70","38570","37410"
"In post","2021","Knowledge and Information Management","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Counter Fraud","20-29","470","470","27460","25560"
"In post","2021","Legal","Counter Fraud","30-39","730","710","29490","26980"
"In post","2021","Legal","Counter Fraud","40-49","850","820","32100","31810"
"In post","2021","Legal","Counter Fraud","50-59","1020","990","33690","31810"
"In post","2021","Legal","Counter Fraud","60-64","200","160","32870","32030"
"In post","2021","Legal","Counter Fraud","65+","70","50","30300","28130"
"In post","2021","Legal","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal","20-29","750","740","37370","36160"
"In post","2021","Legal","Legal","30-39","2210","2110","51500","51250"
"In post","2021","Legal","Legal","40-49","2590","2350","56770","55610"
"In post","2021","Legal","Legal","50-59","2450","2280","58400","56840"
"In post","2021","Legal","Legal","60-64","500","410","58550","57760"
"In post","2021","Legal","Legal","65+","150","110","60530","61000"
"In post","2021","Legal","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Legal","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Legal","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","30-39","40","40","[c]","[c]"
"In post","2021","Legal","Unknown","40-49","60","50","60270","60830"
"In post","2021","Legal","Unknown","50-59","30","30","[c]","[c]"
"In post","2021","Legal","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","No function","30-39","70","60","74370","83320"
"In post","2021","Medicine","No function","40-49","120","100","90680","94160"
"In post","2021","Medicine","No function","50-59","170","150","112390","112420"
"In post","2021","Medicine","No function","60-64","60","50","119080","114390"
"In post","2021","Medicine","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","20-29","140","130","29010","27420"
"In post","2021","Medicine","Unknown","30-39","500","450","38760","34840"
"In post","2021","Medicine","Unknown","40-49","590","520","49550","40890"
"In post","2021","Medicine","Unknown","50-59","550","500","51590","39680"
"In post","2021","Medicine","Unknown","60-64","160","140","50610","37890"
"In post","2021","Medicine","Unknown","65+","60","50","61590","71790"
"In post","2021","Operational Delivery","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Analysis","20-29","110","110","31130","29540"
"In post","2021","Operational Delivery","Analysis","30-39","160","150","31630","29540"
"In post","2021","Operational Delivery","Analysis","40-49","140","130","33940","31090"
"In post","2021","Operational Delivery","Analysis","50-59","130","130","34230","31270"
"In post","2021","Operational Delivery","Analysis","60-64","30","20","[c]","[c]"
"In post","2021","Operational Delivery","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","20-29","70","70","32510","32400"
"In post","2021","Operational Delivery","Commercial","30-39","90","90","40370","37240"
"In post","2021","Operational Delivery","Commercial","40-49","110","100","45660","41000"
"In post","2021","Operational Delivery","Commercial","50-59","110","100","47950","40060"
"In post","2021","Operational Delivery","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Communications","20-29","290","280","28120","25560"
"In post","2021","Operational Delivery","Communications","30-39","440","420","29420","25560"
"In post","2021","Operational Delivery","Communications","40-49","350","330","30010","28130"
"In post","2021","Operational Delivery","Communications","50-59","340","320","31940","28130"
"In post","2021","Operational Delivery","Communications","60-64","90","70","29260","28130"
"In post","2021","Operational Delivery","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Counter Fraud","20-29","270","260","27470","25560"
"In post","2021","Operational Delivery","Counter Fraud","30-39","560","540","29460","25560"
"In post","2021","Operational Delivery","Counter Fraud","40-49","680","630","30140","28130"
"In post","2021","Operational Delivery","Counter Fraud","50-59","1060","980","31480","29570"
"In post","2021","Operational Delivery","Counter Fraud","60-64","270","210","29230","28130"
"In post","2021","Operational Delivery","Counter Fraud","65+","50","40","29880","28130"
"In post","2021","Operational Delivery","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Debt","20-29","570","550","21800","20140"
"In post","2021","Operational Delivery","Debt","30-39","610","550","22560","20140"
