"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","AA/AO","Declared disabled","Property","150","140","21830","22010"
"In post","2022","AA/AO","Declared disabled","Security","360","340","26570","21850"
"In post","2022","AA/AO","Declared disabled","Unknown","1860","1700","22060","21680"
"In post","2022","AA/AO","Declared non-disabled","Analysis","180","180","21760","21380"
"In post","2022","AA/AO","Declared non-disabled","Commercial","160","150","21990","21830"
"In post","2022","AA/AO","Declared non-disabled","Communications","270","250","21850","21250"
"In post","2022","AA/AO","Declared non-disabled","Counter Fraud","1900","1640","22340","21260"
"In post","2022","AA/AO","Declared non-disabled","Debt","3140","2730","21630","21260"
"In post","2022","AA/AO","Declared non-disabled","Digital, Data & Technology","600","580","21820","21380"
"In post","2022","AA/AO","Declared non-disabled","Finance","1040","880","21740","21260"
"In post","2022","AA/AO","Declared non-disabled","Grants Management","1170","1070","21280","21300"
"In post","2022","AA/AO","Declared non-disabled","Human Resources","1030","940","21700","21260"
"In post","2022","AA/AO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Declared non-disabled","Legal","970","880","22650","22200"
"In post","2022","AA/AO","Declared non-disabled","No function","58830","52590","22990","21260"
"In post","2022","AA/AO","Declared non-disabled","Project Delivery","410","350","21870","21260"
"In post","2022","AA/AO","Declared non-disabled","Property","940","870","21070","21840"
"In post","2022","AA/AO","Declared non-disabled","Security","3390","3310","26120","21830"
"In post","2022","AA/AO","Declared non-disabled","Unknown","12850","11820","22210","21680"
"In post","2022","AA/AO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Counter Fraud","130","110","22370","21540"
"In post","2022","AA/AO","Undeclared","Debt","250","220","21790","21260"
"In post","2022","AA/AO","Undeclared","Digital, Data & Technology","60","60","21900","21380"
"In post","2022","AA/AO","Undeclared","Finance","80","60","21790","21830"
"In post","2022","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Human Resources","100","90","21590","21350"
"In post","2022","AA/AO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Undeclared","No function","6630","5880","25060","22080"
"In post","2022","AA/AO","Undeclared","Project Delivery","30","30","[c]","[c]"
"In post","2022","AA/AO","Undeclared","Property","100","90","21170","21960"
"In post","2022","AA/AO","Undeclared","Security","420","410","28020","22810"
"In post","2022","AA/AO","Undeclared","Unknown","910","850","21770","21680"
"In post","2022","AA/AO","Unknown","Analysis","40","40","[c]","[c]"
"In post","2022","AA/AO","Unknown","Commercial","90","80","23480","22560"
"In post","2022","AA/AO","Unknown","Communications","130","120","21880","21250"
"In post","2022","AA/AO","Unknown","Counter Fraud","320","280","22270","21260"
"In post","2022","AA/AO","Unknown","Debt","1170","1070","21670","21250"
"In post","2022","AA/AO","Unknown","Digital, Data & Technology","180","170","22200","21290"
"In post","2022","AA/AO","Unknown","Finance","420","370","21840","21250"
"In post","2022","AA/AO","Unknown","Human Resources","300","270","21870","21260"
"In post","2022","AA/AO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Unknown","Legal","430","400","23060","23720"
"In post","2022","AA/AO","Unknown","No function","17040","15630","22800","21640"
"In post","2022","AA/AO","Unknown","Project Delivery","80","70","22480","22080"
"In post","2022","AA/AO","Unknown","Property","650","620","22070","21750"
"In post","2022","AA/AO","Unknown","Security","1480","1460","28570","25000"
"In post","2022","AA/AO","Unknown","Unknown","3420","3270","22310","21680"
"In post","2022","EO","Declared disabled","Analysis","80","70","27260","26820"
"In post","2022","EO","Declared disabled","Commercial","70","70","26850","26670"
"In post","2022","EO","Declared disabled","Communications","200","190","27220","26820"
"In post","2022","EO","Declared disabled","Counter Fraud","890","800","28180","27570"
"In post","2022","EO","Declared disabled","Debt","140","130","27960","27570"
"In post","2022","EO","Declared disabled","Digital, Data & Technology","460","430","27530","27230"
"In post","2022","EO","Declared disabled","Finance","220","200","27100","26900"
"In post","2022","EO","Declared disabled","Grants Management","40","40","[c]","[c]"
"In post","2022","EO","Declared disabled","Human Resources","360","330","27630","27570"
"In post","2022","EO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared disabled","Legal","240","220","28300","28430"
"In post","2022","EO","Declared disabled","No function","10930","9830","28180","27570"
"In post","2022","EO","Declared disabled","Project Delivery","400","370","25310","26120"
"In post","2022","EO","Declared disabled","Property","160","150","26630","26670"
"In post","2022","EO","Declared disabled","Security","170","160","30590","27570"
"In post","2022","EO","Declared disabled","Unknown","1900","1770","27610","27230"
"In post","2022","EO","Declared non-disabled","Analysis","570","550","26910","26520"
"In post","2022","EO","Declared non-disabled","Commercial","480","460","26590","26490"
"In post","2022","EO","Declared non-disabled","Communications","1750","1690","26950","26820"
"In post","2022","EO","Declared non-disabled","Counter Fraud","4790","4380","28160","27570"
"In post","2022","EO","Declared non-disabled","Debt","810","730","27730","27570"
"In post","2022","EO","Declared non-disabled","Digital, Data & Technology","2390","2270","27540","27270"
"In post","2022","EO","Declared non-disabled","Finance","1400","1320","26900","26820"
"In post","2022","EO","Declared non-disabled","Grants Management","540","500","25420","25190"
"In post","2022","EO","Declared non-disabled","Human Resources","1680","1570","27170","27230"
"In post","2022","EO","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Declared non-disabled","Legal","1440","1350","28080","27870"
"In post","2022","EO","Declared non-disabled","No function","50930","46780","28110","27570"
"In post","2022","EO","Declared non-disabled","Project Delivery","2350","2230","24840","25750"
"In post","2022","EO","Declared non-disabled","Property","1210","1140","26740","26880"
"In post","2022","EO","Declared non-disabled","Security","960","930","31730","28670"
"In post","2022","EO","Declared non-disabled","Unknown","15930","14880","27470","27230"
"In post","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Commercial","40","40","[c]","[c]"
"In post","2022","EO","Undeclared","Communications","110","100","27090","26820"
"In post","2022","EO","Undeclared","Counter Fraud","360","330","28280","27570"
"In post","2022","EO","Undeclared","Debt","60","60","28110","27570"
"In post","2022","EO","Undeclared","Digital, Data & Technology","220","210","27920","26930"
"In post","2022","EO","Undeclared","Finance","120","110","27310","26900"
"In post","2022","EO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Human Resources","130","120","27520","27570"
"In post","2022","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Undeclared","Legal","30","30","[c]","[c]"
"In post","2022","EO","Undeclared","No function","4280","4000","28990","27570"
"In post","2022","EO","Undeclared","Project Delivery","150","140","25360","26280"
"In post","2022","EO","Undeclared","Property","140","130","26930","26950"
"In post","2022","EO","Undeclared","Security","130","120","35460","33240"
"In post","2022","EO","Undeclared","Unknown","1050","970","27700","27370"
"In post","2022","EO","Unknown","Analysis","200","190","26380","26000"
"In post","2022","EO","Unknown","Commercial","170","160","26670","26350"
"In post","2022","EO","Unknown","Communications","1180","1150","26860","26820"
"In post","2022","EO","Unknown","Counter Fraud","1160","1100","28030","26820"
"In post","2022","EO","Unknown","Debt","210","190","27940","26820"
"In post","2022","EO","Unknown","Digital, Data & Technology","740","720","27850","27130"
"In post","2022","EO","Unknown","Finance","360","350","26500","26590"
"In post","2022","EO","Unknown","Human Resources","420","400","27370","26820"
"In post","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","EO","Unknown","Legal","420","400","27600","26970"
"In post","2022","EO","Unknown","No function","10660","10190","29660","28200"
"In post","2022","EO","Unknown","Project Delivery","540","510","24460","25770"
"In post","2022","EO","Unknown","Property","400","390","26860","26350"
"In post","2022","EO","Unknown","Security","260","250","30760","27500"
"In post","2022","EO","Unknown","Unknown","4190","4010","27450","27230"
"In post","2022","G6/G7","Declared disabled","Analysis","190","180","59730","57990"
"In post","2022","G6/G7","Declared disabled","Commercial","90","80","57610","54700"
"In post","2022","G6/G7","Declared disabled","Communications","80","80","57290","55340"
"In post","2022","G6/G7","Declared disabled","Counter Fraud","120","110","59030","55210"
"In post","2022","G6/G7","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Declared disabled","Digital, Data & Technology","440","430","57310","55210"
"In post","2022","G6/G7","Declared disabled","Finance","220","210","57800","56520"
"In post","2022","G6/G7","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Declared disabled","Human Resources","310","300","57410","55210"
"In post","2022","G6/G7","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Declared disabled","Legal","520","480","59500","56560"
"In post","2022","G6/G7","Declared disabled","No function","1880","1820","57960","55210"
"In post","2022","G6/G7","Declared disabled","Project Delivery","580","560","58080","55210"
"In post","2022","G6/G7","Declared disabled","Property","140","140","57730","56170"
"In post","2022","G6/G7","Declared disabled","Security","50","50","[c]","[c]"
"In post","2022","G6/G7","Declared disabled","Unknown","740","720","61460","59730"
"In post","2022","G6/G7","Declared non-disabled","Analysis","2000","1910","59110","57150"
"In post","2022","G6/G7","Declared non-disabled","Commercial","820","800","58830","56490"
"In post","2022","G6/G7","Declared non-disabled","Communications","730","710","58700","56500"
"In post","2022","G6/G7","Declared non-disabled","Counter Fraud","890","860","59710","56170"
"In post","2022","G6/G7","Declared non-disabled","Debt","30","30","[c]","[c]"
"In post","2022","G6/G7","Declared non-disabled","Digital, Data & Technology","4160","4080","57670","55210"
"In post","2022","G6/G7","Declared non-disabled","Finance","2010","1950","58430","57130"
"In post","2022","G6/G7","Declared non-disabled","Grants Management","60","60","51790","49370"
"In post","2022","G6/G7","Declared non-disabled","Human Resources","1690","1630","57690","55720"
"In post","2022","G6/G7","Declared non-disabled","Internal Audit","150","150","58030","56400"
"In post","2022","G6/G7","Declared non-disabled","Legal","4210","3880","59610","58040"
"In post","2022","G6/G7","Declared non-disabled","No function","17240","16660","58580","55430"
"In post","2022","G6/G7","Declared non-disabled","Project Delivery","5120","4970","58050","55620"
"In post","2022","G6/G7","Declared non-disabled","Property","1270","1240","58610","57150"
"In post","2022","G6/G7","Declared non-disabled","Security","410","400","59500","58040"
"In post","2022","G6/G7","Declared non-disabled","Unknown","6900","6640","62120","61440"
"In post","2022","G6/G7","Undeclared","Analysis","100","90","60140","59730"
"In post","2022","G6/G7","Undeclared","Commercial","60","60","59100","55350"
"In post","2022","G6/G7","Undeclared","Communications","40","40","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Counter Fraud","110","100","59420","55210"
"In post","2022","G6/G7","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Digital, Data & Technology","270","260","58770","56690"
"In post","2022","G6/G7","Undeclared","Finance","130","130","59250","57860"
"In post","2022","G6/G7","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Human Resources","100","90","57880","55210"
"In post","2022","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Legal","160","150","63170","64680"
"In post","2022","G6/G7","Undeclared","No function","1130","1100","59090","55660"
"In post","2022","G6/G7","Undeclared","Project Delivery","320","310","57900","55210"
"In post","2022","G6/G7","Undeclared","Property","100","100","59490","58250"
"In post","2022","G6/G7","Undeclared","Security","40","40","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Unknown","380","370","62110","60310"
"In post","2022","G6/G7","Unknown","Analysis","530","510","57990","54170"
"In post","2022","G6/G7","Unknown","Commercial","1280","1260","63660","62450"
"In post","2022","G6/G7","Unknown","Communications","350","340","58700","55410"
"In post","2022","G6/G7","Unknown","Counter Fraud","200","190","59140","55310"
"In post","2022","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Digital, Data & Technology","1130","1110","57970","55210"
"In post","2022","G6/G7","Unknown","Finance","420","410","57960","55210"
"In post","2022","G6/G7","Unknown","Human Resources","250","250","58000","55740"
"In post","2022","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Legal","1110","1030","58070","55610"
