"Status","Year","Function_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Human Resources","Mixed","G6/G7","50","50","57650","56540"
"In post","2021","Human Resources","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","SEO/HEO","80","70","35320","34640"
"In post","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","AA/AO","60","50","21120","21130"
"In post","2021","Human Resources","Undeclared","EO","60","50","27510","26670"
"In post","2021","Human Resources","Undeclared","G6/G7","50","50","59100","58680"
"In post","2021","Human Resources","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","SEO/HEO","100","100","36050","34280"
"In post","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","180","160","21150","20920"
"In post","2021","Human Resources","Unknown","EO","220","210","26680","26670"
"In post","2021","Human Resources","Unknown","G6/G7","150","150","56970","54900"
"In post","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","390","380","35670","35230"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","AA/AO","1260","1140","21310","21130"
"In post","2021","Human Resources","White","EO","1260","1180","26500","26590"
"In post","2021","Human Resources","White","G6/G7","1510","1460","57860","56110"
"In post","2021","Human Resources","White","SCS","190","180","90080","83160"
"In post","2021","Human Resources","White","SEO/HEO","2900","2760","36470","35810"
"In post","2021","Human Resources","White","Unknown","200","190","38100","32710"
"In post","2021","Internal Audit","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","EO","30","30","[c]","[c]"
"In post","2021","Internal Audit","White","G6/G7","160","150","59040","58120"
"In post","2021","Internal Audit","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","SEO/HEO","340","330","40390","40250"
"In post","2021","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","AA/AO","180","170","22760","23520"
"In post","2021","Legal","Asian","EO","200","190","27670","27580"
"In post","2021","Legal","Asian","G6/G7","470","430","57410","54770"
"In post","2021","Legal","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","SEO/HEO","280","260","37960","38300"
"In post","2021","Legal","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","AA/AO","120","110","23260","23520"
"In post","2021","Legal","Black","EO","140","140","28390","27760"
"In post","2021","Legal","Black","G6/G7","220","220","59330","59900"
"In post","2021","Legal","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","SEO/HEO","150","150","37090","36240"
"In post","2021","Legal","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","G6/G7","30","30","[c]","[c]"
"In post","2021","Legal","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","AA/AO","40","30","[c]","[c]"
"In post","2021","Legal","Mixed","EO","50","50","28800","27570"
"In post","2021","Legal","Mixed","G6/G7","180","170","58670","57630"
"In post","2021","Legal","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","SEO/HEO","60","60","37780","38000"
"In post","2021","Legal","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","G6/G7","90","80","61120","61030"
"In post","2021","Legal","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","AA/AO","30","30","[c]","[c]"
"In post","2021","Legal","Undeclared","EO","50","50","[c]","[c]"
"In post","2021","Legal","Undeclared","G6/G7","140","140","60340","57760"
"In post","2021","Legal","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","SEO/HEO","110","110","39450","38630"
"In post","2021","Legal","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","AA/AO","1070","950","21740","22820"
"In post","2021","Legal","Unknown","EO","670","630","28320","29350"
"In post","2021","Legal","Unknown","G6/G7","780","730","60570","59160"
"In post","2021","Legal","Unknown","SCS","60","60","86290","79470"
"In post","2021","Legal","Unknown","SEO/HEO","580","550","35680","35230"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","White","AA/AO","1120","1030","22140","21950"
"In post","2021","Legal","White","EO","1300","1200","27900","28430"
"In post","2021","Legal","White","G6/G7","4110","3780","59490","58040"
"In post","2021","Legal","White","SCS","340","330","89810","83230"
"In post","2021","Legal","White","SEO/HEO","2110","1950","39440","38550"
"In post","2021","Legal","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Asian","AA/AO","3330","2990","22010","20520"
"In post","2021","No function","Asian","EO","1660","1570","27400","26880"
"In post","2021","No function","Asian","G6/G7","980","960","57510","54700"
"In post","2021","No function","Asian","SCS","170","160","93890","91370"
"In post","2021","No function","Asian","SEO/HEO","2670","2570","36540","35700"
"In post","2021","No function","Asian","Unknown","520","480","29180","28200"
"In post","2021","No function","Black","AA/AO","2190","2070","25000","23500"
"In post","2021","No function","Black","EO","1020","990","28770","28170"
"In post","2021","No function","Black","G6/G7","400","390","56870","54020"
"In post","2021","No function","Black","SCS","60","50","98350","93000"
"In post","2021","No function","Black","SEO/HEO","1370","1340","37060","36160"
"In post","2021","No function","Black","Unknown","780","760","30930","28200"
"In post","2021","No function","Chinese","AA/AO","120","110","22570","21160"
"In post","2021","No function","Chinese","EO","80","80","27390","26780"
"In post","2021","No function","Chinese","G6/G7","90","90","57220","54700"
"In post","2021","No function","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","SEO/HEO","150","140","37790","36880"
"In post","2021","No function","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Mixed","AA/AO","970","910","23950","22490"
"In post","2021","No function","Mixed","EO","520","490","28130","27130"
"In post","2021","No function","Mixed","G6/G7","460","450","58120","54700"
"In post","2021","No function","Mixed","SCS","70","70","84430","75980"
"In post","2021","No function","Mixed","SEO/HEO","910","880","36630","35590"
"In post","2021","No function","Mixed","Unknown","350","330","30360","30210"
"In post","2021","No function","Other ethnicity","AA/AO","280","260","24400","22680"
"In post","2021","No function","Other ethnicity","EO","170","160","28460","27500"
"In post","2021","No function","Other ethnicity","G6/G7","160","150","58990","55490"
"In post","2021","No function","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","No function","Other ethnicity","SEO/HEO","300","280","38040","36360"
"In post","2021","No function","Other ethnicity","Unknown","60","60","30120","28690"
"In post","2021","No function","Undeclared","AA/AO","2000","1820","23120","21590"
"In post","2021","No function","Undeclared","EO","1490","1390","28910","28130"
"In post","2021","No function","Undeclared","G6/G7","1060","1020","57710","55530"
"In post","2021","No function","Undeclared","SCS","100","90","91990","84640"
"In post","2021","No function","Undeclared","SEO/HEO","1920","1820","37530","36940"
"In post","2021","No function","Undeclared","Unknown","350","330","31070","30880"
"In post","2021","No function","Unknown","AA/AO","14630","13570","22400","20940"
"In post","2021","No function","Unknown","EO","5260","5010","28320","27230"
"In post","2021","No function","Unknown","G6/G7","2610","2540","57640","54700"
"In post","2021","No function","Unknown","SCS","350","340","92500","80180"
"In post","2021","No function","Unknown","SEO/HEO","7250","7040","34640","32790"
"In post","2021","No function","Unknown","Unknown","1080","960","27390","24800"
"In post","2021","No function","White","AA/AO","46990","42060","23280","21590"
"In post","2021","No function","White","EO","22930","21390","28170","27130"
"In post","2021","No function","White","G6/G7","15330","14780","58560","55940"
"In post","2021","No function","White","SCS","2190","2080","89760","80530"
"In post","2021","No function","White","SEO/HEO","30700","29330","37040","36240"
"In post","2021","No function","White","Unknown","8850","8170","30060","30210"
"In post","2021","Project Delivery","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Asian","EO","180","180","26300","26550"
"In post","2021","Project Delivery","Asian","G6/G7","290","290","59030","58460"
"In post","2021","Project Delivery","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Asian","SEO/HEO","580","570","36800","36790"
"In post","2021","Project Delivery","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","Project Delivery","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Black","EO","120","110","26580","26790"
"In post","2021","Project Delivery","Black","G6/G7","150","150","57390","58030"
"In post","2021","Project Delivery","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Black","SEO/HEO","370","360","36320","36160"
"In post","2021","Project Delivery","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Mixed","EO","70","60","25410","26350"
"In post","2021","Project Delivery","Mixed","G6/G7","140","140","57460","55990"
"In post","2021","Project Delivery","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Mixed","SEO/HEO","220","210","35840","36160"
"In post","2021","Project Delivery","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other ethnicity","G6/G7","50","50","58550","57870"
"In post","2021","Project Delivery","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Other ethnicity","SEO/HEO","70","60","36940","36720"
"In post","2021","Project Delivery","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","EO","170","160","25730","26300"
"In post","2021","Project Delivery","Undeclared","G6/G7","400","390","57050","55260"
"In post","2021","Project Delivery","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","SEO/HEO","820","790","37290","37810"
"In post","2021","Project Delivery","Undeclared","Unknown","100","100","45000","43110"
"In post","2021","Project Delivery","Unknown","AA/AO","90","80","21520","21440"
"In post","2021","Project Delivery","Unknown","EO","480","460","24320","25560"
"In post","2021","Project Delivery","Unknown","G6/G7","870","860","56650","55060"
"In post","2021","Project Delivery","Unknown","SCS","70","70","95070","88000"
"In post","2021","Project Delivery","Unknown","SEO/HEO","1210","1180","36380","37320"
"In post","2021","Project Delivery","Unknown","Unknown","100","100","38460","35810"
"In post","2021","Project Delivery","White","AA/AO","440","410","21380","21280"
"In post","2021","Project Delivery","White","EO","3580","3390","24750","25690"
"In post","2021","Project Delivery","White","G6/G7","5460","5310","57410","55620"
"In post","2021","Project Delivery","White","SCS","570","550","91190","83230"
"In post","2021","Project Delivery","White","SEO/HEO","10460","10070","36250","36180"
"In post","2021","Project Delivery","White","Unknown","1100","1080","42500","40500"
"In post","2021","Property","Asian","AA/AO","60","50","22770","21250"
"In post","2021","Property","Asian","EO","100","100","27980","27500"
"In post","2021","Property","Asian","G6/G7","30","30","[c]","[c]"
"In post","2021","Property","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Property","Asian","SEO/HEO","110","110","37990","37380"
"In post","2021","Property","Asian","Unknown","[c]","[c]","[c]","[c]"
