"Status","Year","Sexual_orientation","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Digital, Data & Technology","20-29","770","770","32220","31580"
"In post","2021","Unknown","Digital, Data & Technology","30-39","1050","1030","40630","38590"
"In post","2021","Unknown","Digital, Data & Technology","40-49","1060","1020","43660","40270"
"In post","2021","Unknown","Digital, Data & Technology","50-59","820","790","44510","40450"
"In post","2021","Unknown","Digital, Data & Technology","60-64","150","140","41980","37470"
"In post","2021","Unknown","Digital, Data & Technology","65+","60","50","40600","37100"
"In post","2021","Unknown","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","20-29","380","370","30540","28970"
"In post","2021","Unknown","Finance","30-39","370","350","38700","35300"
"In post","2021","Unknown","Finance","40-49","430","400","38900","34230"
"In post","2021","Unknown","Finance","50-59","490","450","35490","29740"
"In post","2021","Unknown","Finance","60-64","130","100","30860","23170"
"In post","2021","Unknown","Finance","65+","40","30","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","20-29","180","180","22160","21050"
"In post","2021","Unknown","Grants Management","30-39","210","190","23540","21050"
"In post","2021","Unknown","Grants Management","40-49","290","260","25560","21050"
"In post","2021","Unknown","Grants Management","50-59","210","200","26600","21050"
"In post","2021","Unknown","Grants Management","60-64","80","70","24040","21050"
"In post","2021","Unknown","Grants Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","20-29","280","280","28920","27270"
"In post","2021","Unknown","Human Resources","30-39","320","310","35150","31810"
"In post","2021","Unknown","Human Resources","40-49","330","310","36700","32760"
"In post","2021","Unknown","Human Resources","50-59","320","300","37470","33650"
"In post","2021","Unknown","Human Resources","60-64","70","60","32950","28130"
"In post","2021","Unknown","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","20-29","270","270","29700","26970"
"In post","2021","Unknown","Legal","30-39","590","560","46830","51250"
"In post","2021","Unknown","Legal","40-49","900","800","49840","52730"
"In post","2021","Unknown","Legal","50-59","1020","940","48410","53350"
"In post","2021","Unknown","Legal","60-64","190","160","48500","55090"
"In post","2021","Unknown","Legal","65+","70","60","48740","54580"
"In post","2021","Unknown","No function","16-19","220","210","20650","20140"
"In post","2021","Unknown","No function","20-29","11090","10920","27670","25980"
"In post","2021","Unknown","No function","30-39","9250","8740","31940","28390"
"In post","2021","Unknown","No function","40-49","8440","7840","33590","29570"
"In post","2021","Unknown","No function","50-59","10850","9970","32380","29250"
"In post","2021","Unknown","No function","60-64","3150","2440","29710","26340"
"In post","2021","Unknown","No function","65+","1150","820","30360","25870"
"In post","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","16-19","60","60","17480","16780"
"In post","2021","Unknown","Project Delivery","20-29","820","810","32200","31580"
"In post","2021","Unknown","Project Delivery","30-39","1100","1070","42320","39650"
"In post","2021","Unknown","Project Delivery","40-49","970","930","46540","42770"
"In post","2021","Unknown","Project Delivery","50-59","1080","1050","45460","40720"
"In post","2021","Unknown","Project Delivery","60-64","210","180","39660","37640"
"In post","2021","Unknown","Project Delivery","65+","50","40","44350","40970"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","20-29","370","360","26250","25140"
"In post","2021","Unknown","Property","30-39","450","430","31400","28120"
"In post","2021","Unknown","Property","40-49","470","440","31510","28700"
"In post","2021","Unknown","Property","50-59","710","690","32980","29450"
"In post","2021","Unknown","Property","60-64","220","200","30660","26530"
"In post","2021","Unknown","Property","65+","90","70","26200","25100"
"In post","2021","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","20-29","390","380","26510","25680"
"In post","2021","Unknown","Security","30-39","370","360","31680","29890"
"In post","2021","Unknown","Security","40-49","280","270","34390","34640"
"In post","2021","Unknown","Security","50-59","370","370","35210","34310"
"In post","2021","Unknown","Security","60-64","80","70","31750","29170"
"In post","2021","Unknown","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","16-19","110","110","20680","21150"
"In post","2021","Unknown","Unknown","20-29","3690","3620","28200","27570"
"In post","2021","Unknown","Unknown","30-39","5540","5060","31040","27570"
"In post","2021","Unknown","Unknown","40-49","7580","6740","31170","27570"
"In post","2021","Unknown","Unknown","50-59","10330","9320","30440","27570"
"In post","2021","Unknown","Unknown","60-64","2910","2300","28980","27570"
"In post","2021","Unknown","Unknown","65+","940","690","28470","26120"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Analysis","20-29","1930","1910","36570","34000"
"In post","2022","Heterosexual / straight","Analysis","30-39","1540","1470","47060","44040"
"In post","2022","Heterosexual / straight","Analysis","40-49","1100","1020","51690","50900"
"In post","2022","Heterosexual / straight","Analysis","50-59","710","680","50310","47010"
"In post","2022","Heterosexual / straight","Analysis","60-64","140","120","44140","38840"
"In post","2022","Heterosexual / straight","Analysis","65+","40","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Commercial","20-29","660","660","33410","31950"
"In post","2022","Heterosexual / straight","Commercial","30-39","980","940","40240","38190"
"In post","2022","Heterosexual / straight","Commercial","40-49","960","930","46630","40910"
"In post","2022","Heterosexual / straight","Commercial","50-59","1000","980","47350","41500"
"In post","2022","Heterosexual / straight","Commercial","60-64","200","190","45560","40840"
"In post","2022","Heterosexual / straight","Commercial","65+","50","50","39250","36050"
"In post","2022","Heterosexual / straight","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Communications","20-29","1150","1140","31280","27270"
"In post","2022","Heterosexual / straight","Communications","30-39","1600","1550","37120","33370"
"In post","2022","Heterosexual / straight","Communications","40-49","1230","1180","40660","35900"
"In post","2022","Heterosexual / straight","Communications","50-59","900","860","38610","33370"
"In post","2022","Heterosexual / straight","Communications","60-64","190","170","35690","32250"
"In post","2022","Heterosexual / straight","Communications","65+","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Counter Fraud","20-29","1220","1210","29030","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","30-39","2060","1990","32950","31020"
"In post","2022","Heterosexual / straight","Counter Fraud","40-49","2420","2280","33820","31810"
"In post","2022","Heterosexual / straight","Counter Fraud","50-59","3660","3450","33770","31060"
"In post","2022","Heterosexual / straight","Counter Fraud","60-64","1030","780","32100","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","65+","310","220","30850","27570"
"In post","2022","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Debt","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Debt","20-29","660","640","22260","21250"
"In post","2022","Heterosexual / straight","Debt","30-39","740","670","23310","21260"
"In post","2022","Heterosexual / straight","Debt","40-49","810","710","24060","21260"
"In post","2022","Heterosexual / straight","Debt","50-59","1190","1050","24920","21680"
"In post","2022","Heterosexual / straight","Debt","60-64","430","340","24530","22080"
"In post","2022","Heterosexual / straight","Debt","65+","150","110","24610","22080"
"In post","2022","Heterosexual / straight","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","20-29","1910","1900","33470","32530"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","30-39","3460","3380","41250","38580"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","40-49","4100","4000","44950","40580"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","50-59","4170","4070","42910","39940"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","60-64","870","770","39590","35980"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","65+","250","210","37990","33840"
"In post","2022","Heterosexual / straight","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Finance","20-29","1140","1120","33200","30490"
"In post","2022","Heterosexual / straight","Finance","30-39","1740","1660","40330","36650"
"In post","2022","Heterosexual / straight","Finance","40-49","2250","2150","42760","38500"
"In post","2022","Heterosexual / straight","Finance","50-59","2680","2560","41350","37020"
"In post","2022","Heterosexual / straight","Finance","60-64","570","480","37220","33440"
"In post","2022","Heterosexual / straight","Finance","65+","150","130","35060","30910"
"In post","2022","Heterosexual / straight","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Grants Management","20-29","110","110","22910","21300"
"In post","2022","Heterosexual / straight","Grants Management","30-39","160","150","24640","22430"
"In post","2022","Heterosexual / straight","Grants Management","40-49","340","300","26510","25100"
"In post","2022","Heterosexual / straight","Grants Management","50-59","300","270","28190","25630"
"In post","2022","Heterosexual / straight","Grants Management","60-64","90","80","25780","24920"
"In post","2022","Heterosexual / straight","Grants Management","65+","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Human Resources","20-29","1110","1100","31120","28920"
"In post","2022","Heterosexual / straight","Human Resources","30-39","1960","1870","36970","33300"
"In post","2022","Heterosexual / straight","Human Resources","40-49","2290","2160","41340","37300"
"In post","2022","Heterosexual / straight","Human Resources","50-59","2680","2570","40210","35590"
"In post","2022","Heterosexual / straight","Human Resources","60-64","630","530","36270","33170"
"In post","2022","Heterosexual / straight","Human Resources","65+","140","100","34750","30810"
"In post","2022","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Internal Audit","20-29","40","40","[c]","[c]"
"In post","2022","Heterosexual / straight","Internal Audit","30-39","100","90","43800","41340"
"In post","2022","Heterosexual / straight","Internal Audit","40-49","150","150","48480","46180"
"In post","2022","Heterosexual / straight","Internal Audit","50-59","240","230","49120","47100"
"In post","2022","Heterosexual / straight","Internal Audit","60-64","60","50","42820","43140"
"In post","2022","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Legal","16-19","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Legal","20-29","1280","1270","31660","26970"
"In post","2022","Heterosexual / straight","Legal","30-39","2140","2020","47050","50500"
"In post","2022","Heterosexual / straight","Legal","40-49","2280","2090","50420","52100"
"In post","2022","Heterosexual / straight","Legal","50-59","2210","2080","49300","50850"
"In post","2022","Heterosexual / straight","Legal","60-64","460","390","48050","51250"
"In post","2022","Heterosexual / straight","Legal","65+","140","100","47290","53430"
"In post","2022","Heterosexual / straight","No function","16-19","370","350","22100","21260"
"In post","2022","Heterosexual / straight","No function","20-29","29480","29020","29090","27570"
"In post","2022","Heterosexual / straight","No function","30-39","39200","37050","33010","29060"
"In post","2022","Heterosexual / straight","No function","40-49","40050","37280","34360","28800"
"In post","2022","Heterosexual / straight","No function","50-59","50040","46510","32880","27570"
"In post","2022","Heterosexual / straight","No function","60-64","14970","12160","29980","27570"
