"Status","Year","Sexual_orientation","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Office of the Public Guardian","Ministry of Justice","130","120","22670","20170"
"In post","2021","Undeclared","Planning Inspectorate","Ministry of Housing, Communities and Local Government","60","50","45590","47660"
"In post","2021","Undeclared","Public Health England","Department of Health and Social Care","770","680","45030","38930"
"In post","2021","Undeclared","Registers of Scotland","Scottish Government","60","60","33900","30840"
"In post","2021","Undeclared","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Rural Payments Agency","Department for Environment, Food and Rural Affairs","70","70","27050","25880"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Courts and Tribunals Service","Scottish Government","1690","1520","27590","22820"
"In post","2021","Undeclared","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Scottish Government","340","320","44660","42190"
"In post","2021","Undeclared","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Scottish Government","70","70","33800","33650"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Scottish Government","30","30","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Ministry of Defence","220","210","44110","41580"
"In post","2021","Undeclared","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","The National Archives","The National Archives","50","50","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Hydrographic Office","Ministry of Defence","80","70","35010","33290"
"In post","2021","Undeclared","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","80","70","42590","40640"
"In post","2021","Undeclared","UK Space Agency","Department for Business, Energy and Industrial Strategy","70","70","46000","49080"
"In post","2021","Undeclared","United Kingdom Statistics Authority","United Kingdom Statistics Authority","200","170","32260","29540"
"In post","2021","Undeclared","Valuation Office Agency","HM Revenue and Customs","350","320","36290","32550"
"In post","2021","Undeclared","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government (excl. agencies)","Welsh Government","680","650","42710","37410"
"In post","2021","Undeclared","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Accountant in Bankruptcy","Scottish Government","30","30","[c]","[c]"
"In post","2021","Unknown","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","250","240","28490","24250"
"In post","2021","Unknown","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","330","300","30410","26520"
"In post","2021","Unknown","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","Cabinet Office","4100","4050","45320","33250"
"In post","2021","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","340","320","34520","29750"
"In post","2021","Unknown","Charity Commission","Charity Commission","180","170","35400","30000"
"In post","2021","Unknown","Companies House","Department for Business, Energy and Industrial Strategy","260","230","27740","22490"
"In post","2021","Unknown","Competition and Markets Authority","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Unknown","Criminal Injuries Compensation Authority","Ministry of Justice","70","70","25090","22570"
"In post","2021","Unknown","Crown Commercial Service","Other Cabinet Office Agencies","170","170","34790","31000"
"In post","2021","Unknown","Crown Office and Procurator Fiscal Service","Scottish Government","110","100","42960","40600"
"In post","2021","Unknown","Crown Prosecution Service","Attorney General's Departments","1510","1360","42810","39230"
"In post","2021","Unknown","Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt Management Office","HM Treasury","110","110","58680","51550"
"In post","2021","Unknown","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Equipment and Support","Ministry of Defence","710","680","32880","30420"
"In post","2021","Unknown","Defence Science and Technology Laboratory","Ministry of Defence","840","810","41140","38060"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","580","570","44620","40050"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","240","230","48270","48580"
"In post","2021","Unknown","Department for Education (excl. agencies)","Department for Education","960","920","44680","40510"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","950","910","42700","38750"
"In post","2021","Unknown","Department for International Trade","Department for International Trade","820","810","44360","38540"
"In post","2021","Unknown","Department for Transport (excl. agencies)","Department for Transport","720","700","42620","36360"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","21380","18500","27120","27570"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","1910","1870","45800","40650"
"In post","2021","Unknown","Disclosure Scotland","Scottish Government","100","90","25830","22230"
"In post","2021","Unknown","Driver and Vehicle Licensing Agency","Department for Transport","680","610","24680","21590"
"In post","2021","Unknown","Driver and Vehicle Standards Agency","Department for Transport","960","930","28090","26700"
"In post","2021","Unknown","Education and Skills Funding Agency","Department for Education","440","420","43520","39360"
"In post","2021","Unknown","Education Scotland","Scottish Government","120","110","52940","52480"
"In post","2021","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","140","140","39860","39400"
"In post","2021","Unknown","Food Standards Agency","Food Standards Agency","290","280","32930","28520"
"In post","2021","Unknown","Food Standards Scotland","Scottish Government","90","90","33680","30650"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","1420","1390","48140","49370"
"In post","2021","Unknown","Forestry and Land Scotland","Scottish Government","750","720","30570","28120"
"In post","2021","Unknown","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Legal Department","Attorney General's Departments","570","520","58640","64680"
"In post","2021","Unknown","Government Property Agency","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","Department for Work and Pensions","230","210","42910","39990"
"In post","2021","Unknown","HM Courts and Tribunals Service","Ministry of Justice","2270","2120","23560","21180"
"In post","2021","Unknown","HM Land Registry","HM Land Registry","1960","1810","28750","27130"
"In post","2021","Unknown","HM Prison and Probation Service","Ministry of Justice","9890","9160","28820","27850"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","21640","19740","28140","25560"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","80","80","47790","40900"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","1780","1740","31790","25770"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","790","760","30050","26000"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","60","50","45670","49960"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","90","80","23470","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","130","120","30760","26590"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","360","340","50430","43690"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","2100","2000","40090","39650"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","3740","3600","32690","29200"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","140","140","46120","41580"
