"Status","Year","Ethnicity","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","White","Male","Property","50","50","[c]","[c]"
"Leaver Dept.","2022","White","Male","Security","60","60","36750","33970"
"Leaver Dept.","2022","White","Male","Unknown","960","870","36770","30820"
"Leaver Dept.","2022","White","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Asian","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Communications","30","30","[c]","[c]"
"New entrant CS","2021","Asian","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Digital, Data & Technology","50","50","38090","34360"
"New entrant CS","2021","Asian","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Human Resources","60","50","32580","31110"
"New entrant CS","2021","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Legal","90","90","36230","37230"
"New entrant CS","2021","Asian","Female","No function","570","530","28460","25850"
"New entrant CS","2021","Asian","Female","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Asian","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Female","Unknown","1150","1110","28350","27570"
"New entrant CS","2021","Asian","Male","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Asian","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Digital, Data & Technology","110","110","41280","36500"
"New entrant CS","2021","Asian","Male","Finance","40","40","[c]","[c]"
"New entrant CS","2021","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Legal","40","40","[c]","[c]"
"New entrant CS","2021","Asian","Male","No function","480","470","29350","26370"
"New entrant CS","2021","Asian","Male","Project Delivery","60","60","39990","36540"
"New entrant CS","2021","Asian","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Male","Unknown","1080","1070","28980","27570"
"New entrant CS","2021","Asian","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Legal","40","40","[c]","[c]"
"New entrant CS","2021","Black","Female","No function","480","460","29350","26810"
"New entrant CS","2021","Black","Female","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Black","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Female","Unknown","1050","1040","29080","31060"
"New entrant CS","2021","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","Black","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","No function","250","240","29820","26880"
"New entrant CS","2021","Black","Male","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Black","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Male","Unknown","480","480","28910","29290"
"New entrant CS","2021","Black","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","No function","300","290","29430","26810"
"New entrant CS","2021","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Female","Unknown","490","480","27630","27570"
"New entrant CS","2021","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","No function","180","180","29150","27360"
"New entrant CS","2021","Mixed","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Male","Unknown","270","270","28250","27570"
"New entrant CS","2021","Mixed","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","No function","70","60","30190","26680"
"New entrant CS","2021","Other ethnicity","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Female","Unknown","120","110","27690","27570"
"New entrant CS","2021","Other ethnicity","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","No function","40","30","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Male","Unknown","80","80","30590","28650"
"New entrant CS","2021","Undeclared","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","No function","200","180","29420","27500"
"New entrant CS","2021","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Unknown","170","160","29000","27570"
"New entrant CS","2021","Undeclared","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","No function","200","190","32250","27660"
"New entrant CS","2021","Undeclared","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Unknown","200","200","27430","27570"
"New entrant CS","2021","Unknown","Female","Analysis","120","110","36560","32540"
"New entrant CS","2021","Unknown","Female","Commercial","170","160","58650","61710"
"New entrant CS","2021","Unknown","Female","Communications","320","310","30110","25560"
"New entrant CS","2021","Unknown","Female","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Debt","340","330","20400","20140"
"New entrant CS","2021","Unknown","Female","Digital, Data & Technology","250","240","38840","34550"
"New entrant CS","2021","Unknown","Female","Finance","120","120","33950","32790"
"New entrant CS","2021","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Human Resources","130","120","32310","27270"
"New entrant CS","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Legal","240","240","31490","25950"
"New entrant CS","2021","Unknown","Female","No function","4240","4080","25870","22680"
"New entrant CS","2021","Unknown","Female","Project Delivery","150","150","35500","32930"
"New entrant CS","2021","Unknown","Female","Property","80","80","25220","20880"
"New entrant CS","2021","Unknown","Female","Security","80","80","27360","23540"
"New entrant CS","2021","Unknown","Female","Unknown","2600","2500","30380","27570"
"New entrant CS","2021","Unknown","Male","Analysis","170","170","35030","31810"
"New entrant CS","2021","Unknown","Male","Commercial","180","180","67550","68130"
"New entrant CS","2021","Unknown","Male","Communications","350","350","29640","25560"
"New entrant CS","2021","Unknown","Male","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Debt","320","310","20450","20140"
"New entrant CS","2021","Unknown","Male","Digital, Data & Technology","410","410","40210","36530"
"New entrant CS","2021","Unknown","Male","Finance","110","110","32530","31810"
"New entrant CS","2021","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Human Resources","50","50","31870","31870"
"New entrant CS","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Legal","120","120","32390","26550"
"New entrant CS","2021","Unknown","Male","No function","3420","3340","27020","22850"
"New entrant CS","2021","Unknown","Male","Project Delivery","240","240","31630","29000"
"New entrant CS","2021","Unknown","Male","Property","120","120","29790","24500"
"New entrant CS","2021","Unknown","Male","Security","240","230","27970","25540"
"New entrant CS","2021","Unknown","Male","Unknown","2120","2090","31040","27570"
"New entrant CS","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Female","Analysis","360","350","33600","31810"
"New entrant CS","2021","White","Female","Commercial","170","170","33600","33000"
"New entrant CS","2021","White","Female","Communications","270","260","31540","26870"
"New entrant CS","2021","White","Female","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","White","Female","Debt","120","120","20350","20140"
"New entrant CS","2021","White","Female","Digital, Data & Technology","340","330","38550","35460"
"New entrant CS","2021","White","Female","Finance","220","210","33640","29540"
"New entrant CS","2021","White","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Female","Human Resources","380","360","31990","28000"
"New entrant CS","2021","White","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Female","Legal","490","470","35740","33550"
"New entrant CS","2021","White","Female","No function","6300","6000","28330","24300"
"New entrant CS","2021","White","Female","Project Delivery","530","510","35170","33000"
"New entrant CS","2021","White","Female","Property","190","190","28500","25070"
"New entrant CS","2021","White","Female","Security","130","130","25200","23230"
"New entrant CS","2021","White","Female","Unknown","7590","7350","26830","27570"
"New entrant CS","2021","White","Male","Analysis","350","350","34200","32540"
"New entrant CS","2021","White","Male","Commercial","150","150","37710","34670"
"New entrant CS","2021","White","Male","Communications","250","250","30940","25560"
"New entrant CS","2021","White","Male","Counter Fraud","60","60","32900","30350"
"New entrant CS","2021","White","Male","Debt","120","120","20830","20140"
"New entrant CS","2021","White","Male","Digital, Data & Technology","520","520","40620","37300"
"New entrant CS","2021","White","Male","Finance","170","160","39080","33000"
"New entrant CS","2021","White","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Male","Human Resources","170","160","32880","27810"
"New entrant CS","2021","White","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Male","Legal","280","280","38860","38000"
"New entrant CS","2021","White","Male","No function","4410","4320","30120","25850"
"New entrant CS","2021","White","Male","Project Delivery","670","670","38140","35000"
"New entrant CS","2021","White","Male","Property","300","290","32900","30000"
"New entrant CS","2021","White","Male","Security","340","340","27070","23540"
"New entrant CS","2021","White","Male","Unknown","5590","5550","27030","27570"
"New entrant CS","2021","White","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Female","Analysis","70","70","32170","30710"
"New entrant CS","2022","Asian","Female","Commercial","40","40","[c]","[c]"
"New entrant CS","2022","Asian","Female","Communications","80","80","27150","26590"
"New entrant CS","2022","Asian","Female","Counter Fraud","90","90","27110","25110"
"New entrant CS","2022","Asian","Female","Debt","80","80","21390","21250"
"New entrant CS","2022","Asian","Female","Digital, Data & Technology","120","120","37190","34260"
"New entrant CS","2022","Asian","Female","Finance","60","60","31880","29270"
"New entrant CS","2022","Asian","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Female","Human Resources","70","70","32330","28000"
"New entrant CS","2022","Asian","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Female","Legal","130","130","36430","31560"
"New entrant CS","2022","Asian","Female","No function","1690","1610","28300","27570"
"New entrant CS","2022","Asian","Female","Project Delivery","60","60","35950","32000"
"New entrant CS","2022","Asian","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Female","Unknown","190","180","28470","27570"
"New entrant CS","2022","Asian","Male","Analysis","70","70","32900","30710"
"New entrant CS","2022","Asian","Male","Commercial","30","30","[c]","[c]"
"New entrant CS","2022","Asian","Male","Communications","110","110","27300","26590"
"New entrant CS","2022","Asian","Male","Counter Fraud","80","80","27510","26590"
"New entrant CS","2022","Asian","Male","Debt","80","80","21730","21250"
"New entrant CS","2022","Asian","Male","Digital, Data & Technology","170","170","40020","36920"
"New entrant CS","2022","Asian","Male","Finance","70","60","34820","33300"
"New entrant CS","2022","Asian","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Male","Human Resources","30","30","[c]","[c]"
"New entrant CS","2022","Asian","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Male","Legal","50","50","39490","38000"
"New entrant CS","2022","Asian","Male","No function","1410","1370","28270","27570"
"New entrant CS","2022","Asian","Male","Project Delivery","80","80","37590","33120"
"New entrant CS","2022","Asian","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Asian","Male","Unknown","170","160","29200","27570"
"New entrant CS","2022","Black","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Communications","40","30","[c]","[c]"
"New entrant CS","2022","Black","Female","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Black","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Digital, Data & Technology","60","60","38190","33640"
"New entrant CS","2022","Black","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Human Resources","50","40","[c]","[c]"
"New entrant CS","2022","Black","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Legal","60","60","33160","26950"
"New entrant CS","2022","Black","Female","No function","1240","1190","28960","27680"
"New entrant CS","2022","Black","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Female","Unknown","90","90","31260","28650"
"New entrant CS","2022","Black","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Black","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Digital, Data & Technology","100","90","36870","35900"
"New entrant CS","2022","Black","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","No function","650","640","29630","28140"
"New entrant CS","2022","Black","Male","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Black","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Black","Male","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Human Resources","40","40","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","No function","690","670","28660","27570"
"New entrant CS","2022","Mixed","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Female","Unknown","70","70","29350","27230"
"New entrant CS","2022","Mixed","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Mixed","Male","Counter Fraud","[c]","[c]","[c]","[c]"
