"Status","Year","Function_of_post","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Department of Health and Social Care","SEO/HEO","120","120","36600","35340"
"In post","2021","Communications","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office","SEO/HEO","80","80","41630","41310"
"In post","2021","Communications","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","AA/AO","260","220","20790","20660"
"In post","2021","Communications","HM Revenue and Customs","EO","2390","2310","25750","25560"
"In post","2021","Communications","HM Revenue and Customs","G6/G7","170","170","56190","52580"
"In post","2021","Communications","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs","SEO/HEO","1340","1310","33350","31810"
"In post","2021","Communications","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","AA/AO","100","90","21350","21020"
"In post","2021","Communications","Ministry of Defence","EO","330","320","23960","25040"
"In post","2021","Communications","Ministry of Defence","G6/G7","70","70","60180","61550"
"In post","2021","Communications","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence","SEO/HEO","360","350","36310","35300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","G6/G7","30","30","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government","SEO/HEO","50","50","36640","34200"
"In post","2021","Communications","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","G6/G7","40","40","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Justice","SEO/HEO","100","100","37500","36800"
"In post","2021","Communications","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Government","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Communications","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","SEO/HEO","60","50","33220","32540"
"In post","2021","Communications","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","EO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","G6/G7","80","70","64250","63000"
"In post","2021","Counter Fraud","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","SEO/HEO","130","130","37120","36050"
"In post","2021","Counter Fraud","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office","G6/G7","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","SEO/HEO","250","240","38680","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","EO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Counter Fraud","HM Revenue and Customs","AA/AO","840","730","21470","21440"
"In post","2021","Counter Fraud","HM Revenue and Customs","EO","3320","3120","26980","25560"
"In post","2021","Counter Fraud","HM Revenue and Customs","G6/G7","940","900","56880","52770"
"In post","2021","Counter Fraud","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Revenue and Customs","SEO/HEO","3710","3520","34890","32480"
"In post","2021","Counter Fraud","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Department for Work and Pensions","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","AA/AO","3410","3070","20950","20140"
"In post","2021","Debt","HM Revenue and Customs","EO","950","870","26830","25560"
"In post","2021","Debt","HM Revenue and Customs","G6/G7","40","40","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs","SEO/HEO","240","220","34290","31810"
"In post","2021","Debt","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","EO","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","G6/G7","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","SEO/HEO","90","90","37000","38180"
"In post","2021","Digital, Data & Technology","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Cabinet Office","EO","60","60","27450","27500"
"In post","2021","Digital, Data & Technology","Cabinet Office","G6/G7","600","590","58330","56340"
"In post","2021","Digital, Data & Technology","Cabinet Office","SCS","30","30","[c]","[c]"
