"Status","Year","Sex","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Department of Health and Social Care (excl. agencies)","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Disclosure Scotland","Unknown","160","140","28010","24110"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Commercial","80","70","31320","31040"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Communications","40","40","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Digital, Data and Technology","200","190","34730","32100"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Finance","80","80","31300","26780"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Human Resources","140","120","32290","31380"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Medicine","30","30","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Operational Delivery","2960","2380","21500","21590"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Other","30","30","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Policy","90","80","29280","26780"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Project Delivery","40","40","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Property","30","30","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Licensing Agency","Security","30","30","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Communications","50","50","30590","26780"
"In post","2021","Female","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Digital, Data and Technology","60","60","35330","32180"
"In post","2021","Female","Driver and Vehicle Standards Agency","Finance","50","50","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Human Resources","50","50","36470","33350"
"In post","2021","Female","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Operational Delivery","1030","930","26820","26700"
"In post","2021","Female","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Project Delivery","50","50","[c]","[c]"
"In post","2021","Female","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Commercial","90","90","39300","36780"
"In post","2021","Female","Education and Skills Funding Agency","Communications","60","50","41660","39840"
"In post","2021","Female","Education and Skills Funding Agency","Digital, Data and Technology","140","130","37240","36500"
"In post","2021","Female","Education and Skills Funding Agency","Finance","170","160","40690","37100"
"In post","2021","Female","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Operational Delivery","420","410","40800","36960"
"In post","2021","Female","Education and Skills Funding Agency","Policy","120","120","47870","41730"
"In post","2021","Female","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education and Skills Funding Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Education Scotland","Unknown","230","220","54330","56120"
"In post","2021","Female","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Inspector of Education and Training","30","30","[c]","[c]"
"In post","2021","Female","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Commercial","40","40","[c]","[c]"
"In post","2021","Female","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Female","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Project Delivery","40","40","[c]","[c]"
"In post","2021","Female","FCDO Services","Property","60","50","35880","31420"
"In post","2021","Female","FCDO Services","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","FCDO Services","Security","30","30","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Operational Delivery","160","160","34140","30810"
"In post","2021","Female","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Policy","100","90","41520","37910"
"In post","2021","Female","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Science and Engineering","50","50","41370","37910"
"In post","2021","Female","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Food Standards Agency","Veterinarian","30","30","[c]","[c]"
"In post","2021","Female","Food Standards Scotland","Unknown","110","110","35010","32140"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","50","50","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","80","80","48480","44880"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","60","60","40370","39630"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","80","70","48460","52840"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","110","100","42250","38500"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","160","150","44080","38780"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","100","100","43680","38860"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","40","40","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","70","70","41860","36640"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","30","30","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","390","370","33250","28000"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Other","140","130","66790","66710"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","2000","1950","49150","47600"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","220","210","42850","38600"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Security","50","50","39260","35990"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Female","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","180","180","49840","44880"
"In post","2021","Female","Forestry and Land Scotland","Unknown","330","310","31430","29140"
