"Status","Year","Sexual_orientation","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","UK Hydrographic Office","120","120","38740","35340"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","UK Intellectual Property Office","100","100","47570","47280"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","United Kingdom Statistics Authority","320","320","42490","39000"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Cabinet Office (excl. agencies)","60","60","48280","43090"
"In post","2021","Heterosexual / straight","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Companies House","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Crown Prosecution Service","90","80","33050","30370"
"In post","2021","Heterosexual / straight","Finance","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Defence Equipment and Support","340","320","37770","31800"
"In post","2021","Heterosexual / straight","Finance","Defence Science and Technology Laboratory","60","60","41370","40000"
"In post","2021","Heterosexual / straight","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","52460","53380"
"In post","2021","Heterosexual / straight","Finance","Department for Digital, Culture, Media and Sport","60","60","57990","61730"
"In post","2021","Heterosexual / straight","Finance","Department for Education (excl. agencies)","300","290","43030","42520"
"In post","2021","Heterosexual / straight","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","320","310","43550","38110"
"In post","2021","Heterosexual / straight","Finance","Department for International Trade","60","60","48510","51710"
"In post","2021","Heterosexual / straight","Finance","Department for Transport (excl. agencies)","110","110","48800","46710"
"In post","2021","Heterosexual / straight","Finance","Department of Health and Social Care (excl. agencies)","180","170","42630","37230"
"In post","2021","Heterosexual / straight","Finance","Driver and Vehicle Licensing Agency","100","100","32640","30730"
"In post","2021","Heterosexual / straight","Finance","Driver and Vehicle Standards Agency","50","50","37630","33770"
"In post","2021","Heterosexual / straight","Finance","Education and Skills Funding Agency","80","70","43890","40940"
"In post","2021","Heterosexual / straight","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","FCDO Services","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","160","150","46870","44110"
"In post","2021","Heterosexual / straight","Finance","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Government Legal Department","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","HM Courts and Tribunals Service","200","190","36880","33720"
"In post","2021","Heterosexual / straight","Finance","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","HM Revenue and Customs (excl. agencies)","1410","1270","34970","31810"
"In post","2021","Heterosexual / straight","Finance","HM Treasury (excl. agencies)","80","70","50360","52840"
"In post","2021","Heterosexual / straight","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Ministry of Defence (excl. agencies)","1260","1220","37940","33300"
"In post","2021","Heterosexual / straight","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","53320","53130"
"In post","2021","Heterosexual / straight","Finance","Ministry of Justice (excl. agencies)","400","390","44160","41390"
"In post","2021","Heterosexual / straight","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Public Health England","110","100","41100","36830"
"In post","2021","Heterosexual / straight","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Rural Payments Agency","790","710","26630","25190"
"In post","2021","Heterosexual / straight","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Cabinet Office (excl. agencies)","870","820","39480","35590"
"In post","2021","Heterosexual / straight","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Companies House","70","60","32790","27460"
"In post","2021","Heterosexual / straight","Human Resources","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Crown Prosecution Service","120","120","40840","34160"
"In post","2021","Heterosexual / straight","Human Resources","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Defence Equipment and Support","160","150","39170","34370"
"In post","2021","Heterosexual / straight","Human Resources","Defence Science and Technology Laboratory","70","60","33520","28650"
"In post","2021","Heterosexual / straight","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","90","90","47040","49090"
"In post","2021","Heterosexual / straight","Human Resources","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department for Education (excl. agencies)","100","90","36140","30980"
