"Status","Year","Parent_department","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for International Trade","Female","Other","100","100","37230","32120"
"In post","2021","Department for International Trade","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Policy","100","100","44780","38540"
"In post","2021","Department for International Trade","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Communications","60","60","43980","38540"
"In post","2021","Department for International Trade","Male","Digital, Data and Technology","60","60","49660","44980"
"In post","2021","Department for International Trade","Male","Economics","100","100","43910","32330"
"In post","2021","Department for International Trade","Male","Finance","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Male","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","International Trade","730","730","49150","51710"
"In post","2021","Department for International Trade","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Operational Delivery","60","60","38100","32120"
"In post","2021","Department for International Trade","Male","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Other","80","80","42320","34940"
"In post","2021","Department for International Trade","Male","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Policy","120","120","46330","40140"
"In post","2021","Department for International Trade","Male","Project Delivery","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Commercial","150","130","36710","32180"
"In post","2021","Department for Transport","Female","Communications","170","160","36680","33350"
"In post","2021","Department for Transport","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Digital, Data and Technology","330","320","35620","32180"
"In post","2021","Department for Transport","Female","Economics","60","60","48160","54110"
"In post","2021","Department for Transport","Female","Finance","230","220","37900","33350"
"In post","2021","Department for Transport","Female","Human Resources","290","270","37440","33350"
"In post","2021","Department for Transport","Female","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Department for Transport","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Medicine","40","30","[c]","[c]"
"In post","2021","Department for Transport","Female","Operational Delivery","4330","3620","23440","21590"
"In post","2021","Department for Transport","Female","Operational Research","40","30","[c]","[c]"
"In post","2021","Department for Transport","Female","Other","250","240","35430","30540"
"In post","2021","Department for Transport","Female","Policy","610","580","43210","40080"
"In post","2021","Department for Transport","Female","Project Delivery","300","290","46250","42470"
"In post","2021","Department for Transport","Female","Property","80","70","31200","26780"
"In post","2021","Department for Transport","Female","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Security","100","90","40990","37220"
"In post","2021","Department for Transport","Female","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Statistics","60","50","45950","42890"
"In post","2021","Department for Transport","Female","Unknown","100","90","48650","42470"
"In post","2021","Department for Transport","Male","Commercial","140","140","40960","35430"
"In post","2021","Department for Transport","Male","Communications","120","120","39500","36410"
"In post","2021","Department for Transport","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Department for Transport","Male","Digital, Data and Technology","830","820","40870","39040"
"In post","2021","Department for Transport","Male","Economics","110","110","47520","54110"
"In post","2021","Department for Transport","Male","Finance","240","240","44220","42480"
"In post","2021","Department for Transport","Male","Human Resources","110","110","36730","33130"
"In post","2021","Department for Transport","Male","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Department for Transport","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Operational Delivery","4980","4760","28260","26780"
"In post","2021","Department for Transport","Male","Operational Research","40","30","[c]","[c]"
"In post","2021","Department for Transport","Male","Other","280","260","47850","33390"
"In post","2021","Department for Transport","Male","Policy","760","750","45520","42520"
"In post","2021","Department for Transport","Male","Project Delivery","350","340","52190","49360"
"In post","2021","Department for Transport","Male","Property","80","80","35580","31860"
"In post","2021","Department for Transport","Male","Science and Engineering","130","130","45440","43360"
"In post","2021","Department for Transport","Male","Security","190","190","38070","35980"
"In post","2021","Department for Transport","Male","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Statistics","60","60","44270","42470"
"In post","2021","Department for Transport","Male","Unknown","110","110","56500","54110"
"In post","2021","Department for Work and Pensions","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Human Resources","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Operational Delivery","880","800","37610","31710"
"In post","2021","Department for Work and Pensions","Female","Policy","50","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Science and Engineering","210","190","38210","35910"
"In post","2021","Department for Work and Pensions","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Unknown","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Operational Delivery","840","820","50450","46320"
"In post","2021","Department for Work and Pensions","Male","Policy","40","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Science and Engineering","250","240","41820","39390"
"In post","2021","Department for Work and Pensions","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Unknown","31410","30130","28440","27570"
