"Status","Year","Sexual_orientation","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","No function","Office of Qualifications and Examinations Regulation","130","120","45700","40250"
"In post","2021","Heterosexual / straight","No function","Office of Rail and Road","100","100","53140","51810"
"In post","2021","Heterosexual / straight","No function","Other Cabinet Office Agencies","130","130","41300","36360"
"In post","2021","Heterosexual / straight","No function","Scottish Government","2930","2730","30590","30080"
"In post","2021","Heterosexual / straight","No function","The National Archives","120","120","34950","30930"
"In post","2021","Heterosexual / straight","No function","United Kingdom Statistics Authority","1690","1360","26180","23050"
"In post","2021","Heterosexual / straight","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","No function","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Cabinet Office","150","150","70290","64500"
"In post","2021","Heterosexual / straight","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Competition and Markets Authority","310","290","59990","56360"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Business, Energy and Industrial Strategy","310","300","46850","43440"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Digital, Culture, Media and Sport","150","150","49030","51730"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Education","390","370","46970","49860"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Environment, Food and Rural Affairs","320","310","38910","35900"
"In post","2021","Heterosexual / straight","Project Delivery","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Transport","430","420","50830","44480"
"In post","2021","Heterosexual / straight","Project Delivery","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Foreign, Commonwealth and Development Office","1200","1160","51930","55060"
"In post","2021","Heterosexual / straight","Project Delivery","HM Land Registry","90","90","41370","38550"
"In post","2021","Heterosexual / straight","Project Delivery","HM Revenue and Customs","2960","2800","44010","38630"
"In post","2021","Heterosexual / straight","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Defence","12750","12360","37890","35270"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Housing, Communities and Local Government","100","90","45960","40720"
"In post","2021","Heterosexual / straight","Project Delivery","Ministry of Justice","520","510","40840","36800"
"In post","2021","Heterosexual / straight","Project Delivery","National Crime Agency","80","70","46170","45480"
"In post","2021","Heterosexual / straight","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Other Cabinet Office Agencies","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Scottish Government","90","80","40250","36780"
"In post","2021","Heterosexual / straight","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","United Kingdom Statistics Authority","160","160","40050","36030"
"In post","2021","Heterosexual / straight","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Cabinet Office","80","80","50370","53000"
"In post","2021","Heterosexual / straight","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Education","210","200","50140","50850"
"In post","2021","Heterosexual / straight","Property","Department for Environment, Food and Rural Affairs","300","290","37470","35900"
"In post","2021","Heterosexual / straight","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department for Transport","110","100","33100","31040"
"In post","2021","Heterosexual / straight","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Foreign, Commonwealth and Development Office","330","330","41360","38360"
"In post","2021","Heterosexual / straight","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","HM Revenue and Customs","2030","1880","34600","31100"
"In post","2021","Heterosexual / straight","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Ministry of Defence","2130","2070","32680","33300"
"In post","2021","Heterosexual / straight","Property","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Ministry of Justice","260","250","40840","35760"
"In post","2021","Heterosexual / straight","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Other Cabinet Office Agencies","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Scottish Government","250","240","32710","30160"
"In post","2021","Heterosexual / straight","Property","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Cabinet Office","470","450","34980","33300"
"In post","2021","Heterosexual / straight","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Department for Transport","80","70","31420","26780"
"In post","2021","Heterosexual / straight","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Foreign, Commonwealth and Development Office","410","400","39360","34770"
"In post","2021","Heterosexual / straight","Security","HM Revenue and Customs","90","90","41300","38630"
"In post","2021","Heterosexual / straight","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Ministry of Defence","4370","4280","28590","22650"
"In post","2021","Heterosexual / straight","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Ministry of Justice","450","440","38390","35630"
"In post","2021","Heterosexual / straight","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
