"Status","Year","Sexual_orientation","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Undeclared","Department of Health and Social Care (excl. agencies)","Unknown","70","70","45570","49530"
"In post","2022","Undeclared","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Commercial","40","30","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Digital, Data and Technology","160","150","40610","40070"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Operational Delivery","1050","830","21640","21840"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Policy","40","40","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Operational Delivery","700","630","28310","26780"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Finance","30","30","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2022","Undeclared","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Estyn","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Property","40","40","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Operational Delivery","50","40","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","30","30","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","360","350","50340","50450"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Forestry and Land Scotland","Unknown","40","30","[c]","[c]"
"In post","2022","Undeclared","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","Internal Audit","40","40","[c]","[c]"
"In post","2022","Undeclared","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Legal","130","120","61520","64210"
"In post","2022","Undeclared","Government Legal Department","Other","30","30","[c]","[c]"
"In post","2022","Undeclared","Government Legal Department","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Operational Delivery","290","270","44700","43830"
"In post","2022","Undeclared","Health and Safety Executive","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Health and Safety Executive","Science and Engineering","70","70","41780","39360"
"In post","2022","Undeclared","Health and Safety Executive","Security","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Legal","190","170","46590","45430"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Operational Delivery","1600","1440","24780","21490"
"In post","2022","Undeclared","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
