"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Declared non-disabled","90","80","41690","36160"
"In post","2021","Undeclared","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Tax","Declared disabled","130","120","36630","31870"
"In post","2021","Undeclared","Tax","Declared non-disabled","560","520","37410","31870"
"In post","2021","Undeclared","Tax","Undeclared","550","510","39370","35000"
"In post","2021","Undeclared","Tax","Unknown","90","80","37060","32520"
"In post","2021","Undeclared","Unknown","Declared disabled","1800","1580","27950","27570"
"In post","2021","Undeclared","Unknown","Declared non-disabled","5530","4960","29530","27570"
"In post","2021","Undeclared","Unknown","Undeclared","1180","1120","31160","27570"
"In post","2021","Undeclared","Unknown","Unknown","190","180","40150","35110"
"In post","2021","Undeclared","Veterinarian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Declared non-disabled","50","50","46640","46270"
"In post","2021","Undeclared","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Declared disabled","40","40","[c]","[c]"
"In post","2021","Unknown","Commercial","Declared non-disabled","330","320","41580","39650"
"In post","2021","Unknown","Commercial","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","Commercial","Unknown","520","500","39460","36820"
"In post","2021","Unknown","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Declared non-disabled","190","180","39730","36790"
"In post","2021","Unknown","Communications","Undeclared","50","50","[c]","[c]"
"In post","2021","Unknown","Communications","Unknown","620","610","42810","38690"
"In post","2021","Unknown","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Declared non-disabled","80","80","41610","39490"
"In post","2021","Unknown","Counter Fraud","Unknown","120","110","40260","34500"
"In post","2021","Unknown","Digital, Data and Technology","Declared disabled","70","70","35220","33690"
"In post","2021","Unknown","Digital, Data and Technology","Declared non-disabled","890","860","40090","37720"
"In post","2021","Unknown","Digital, Data and Technology","Undeclared","60","50","40910","36300"
"In post","2021","Unknown","Digital, Data and Technology","Unknown","2180","2140","41220","38150"
"In post","2021","Unknown","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Declared non-disabled","60","60","58970","58120"
"In post","2021","Unknown","Economics","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","Economics","Unknown","380","370","43080","36160"
"In post","2021","Unknown","Finance","Declared disabled","40","40","[c]","[c]"
"In post","2021","Unknown","Finance","Declared non-disabled","410","380","38800","35560"
"In post","2021","Unknown","Finance","Undeclared","60","60","42900","42200"
"In post","2021","Unknown","Finance","Unknown","930","880","37010","32790"
"In post","2021","Unknown","Human Resources","Declared disabled","40","40","[c]","[c]"
"In post","2021","Unknown","Human Resources","Declared non-disabled","230","220","38250","33860"
"In post","2021","Unknown","Human Resources","Undeclared","40","40","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","590","570","35170","31810"
"In post","2021","Unknown","Inspector of Education and Training","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Declared non-disabled","70","60","36450","32040"
"In post","2021","Unknown","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","Unknown","280","270","44100","41190"
"In post","2021","Unknown","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Declared non-disabled","60","60","48160","43060"
"In post","2021","Unknown","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","International Trade","Unknown","380","380","44470","38540"
"In post","2021","Unknown","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Declared non-disabled","80","70","35170","32110"
"In post","2021","Unknown","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","Unknown","230","210","37840","35280"
"In post","2021","Unknown","Legal","Declared disabled","90","80","46560","49150"
"In post","2021","Unknown","Legal","Declared non-disabled","1110","1010","54690","55610"
"In post","2021","Unknown","Legal","Undeclared","50","40","[c]","[c]"
"In post","2021","Unknown","Legal","Unknown","1690","1610","43350","36230"
"In post","2021","Unknown","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Declared non-disabled","70","70","50670","37890"
"In post","2021","Unknown","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","Unknown","420","370","60820","44500"
"In post","2021","Unknown","Operational Delivery","Declared disabled","1240","1080","27250","25560"
"In post","2021","Unknown","Operational Delivery","Declared non-disabled","9530","8370","28940","26590"
"In post","2021","Unknown","Operational Delivery","Undeclared","2650","2350","30340","31650"
"In post","2021","Unknown","Operational Delivery","Unknown","22770","21190","26200","23520"
"In post","2021","Unknown","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Research","Unknown","120","120","42420","39040"
"In post","2021","Unknown","Other","Declared disabled","90","80","30220","27580"
"In post","2021","Unknown","Other","Declared non-disabled","580","560","39230","33260"
"In post","2021","Unknown","Other","Undeclared","190","170","35430","32740"
"In post","2021","Unknown","Other","Unknown","3790","3690","36020","32700"
"In post","2021","Unknown","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","Unknown","30","30","[c]","[c]"
"In post","2021","Unknown","Policy","Declared disabled","120","120","49250","50050"
"In post","2021","Unknown","Policy","Declared non-disabled","840","800","47970","45200"
"In post","2021","Unknown","Policy","Undeclared","250","240","44440","42470"
"In post","2021","Unknown","Policy","Unknown","3650","3570","46340","40990"
"In post","2021","Unknown","Project Delivery","Declared disabled","70","60","38910","35000"
"In post","2021","Unknown","Project Delivery","Declared non-disabled","630","600","40890","39200"
"In post","2021","Unknown","Project Delivery","Undeclared","130","130","45240","40580"
"In post","2021","Unknown","Project Delivery","Unknown","1270","1230","42210","38630"
"In post","2021","Unknown","Property","Declared disabled","40","30","[c]","[c]"
"In post","2021","Unknown","Property","Declared non-disabled","330","310","36780","33300"
"In post","2021","Unknown","Property","Undeclared","90","80","36910","33280"
"In post","2021","Unknown","Property","Unknown","710","680","32400","29450"
"In post","2021","Unknown","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Psychology","Declared non-disabled","50","40","42300","41740"
"In post","2021","Unknown","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Psychology","Unknown","130","120","33730","30690"
"In post","2021","Unknown","Science and Engineering","Declared disabled","100","100","37290","36490"
"In post","2021","Unknown","Science and Engineering","Declared non-disabled","1380","1300","40450","39650"
"In post","2021","Unknown","Science and Engineering","Undeclared","140","130","41350","44290"
"In post","2021","Unknown","Science and Engineering","Unknown","1590","1520","39220","37320"
"In post","2021","Unknown","Security","Declared disabled","30","30","[c]","[c]"
"In post","2021","Unknown","Security","Declared non-disabled","210","210","34640","34290"
"In post","2021","Unknown","Security","Undeclared","60","60","39830","38910"
"In post","2021","Unknown","Security","Unknown","930","920","31030","28090"
"In post","2021","Unknown","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Unknown","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Social Research","Unknown","120","120","37720","36160"
"In post","2021","Unknown","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Declared non-disabled","80","70","46420","43740"
"In post","2021","Unknown","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Statistics","Unknown","240","230","39010","36160"
"In post","2021","Unknown","Tax","Declared disabled","130","110","34560","32100"
"In post","2021","Unknown","Tax","Declared non-disabled","750","680","35200","31810"
"In post","2021","Unknown","Tax","Undeclared","60","60","38920","35000"
"In post","2021","Unknown","Tax","Unknown","5300","5070","27630","25560"
"In post","2021","Unknown","Unknown","Declared disabled","1680","1430","26980","27570"
"In post","2021","Unknown","Unknown","Declared non-disabled","18220","15670","28220","27570"
"In post","2021","Unknown","Unknown","Undeclared","870","780","28510","27570"
"In post","2021","Unknown","Unknown","Unknown","11220","10880","36830","29290"
"In post","2021","Unknown","Veterinarian","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Unknown","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Veterinarian","Unknown","30","30","[c]","[c]"
"In post","2022","Heterosexual / straight","Commercial","Declared disabled","440","420","39090","37510"
"In post","2022","Heterosexual / straight","Commercial","Declared non-disabled","3310","3190","40540","37400"
"In post","2022","Heterosexual / straight","Commercial","Undeclared","170","170","42210","37580"
"In post","2022","Heterosexual / straight","Commercial","Unknown","520","510","39020","36810"
"In post","2022","Heterosexual / straight","Communications","Declared disabled","220","210","39360","36740"
"In post","2022","Heterosexual / straight","Communications","Declared non-disabled","2160","2070","43040","39650"
"In post","2022","Heterosexual / straight","Communications","Undeclared","80","80","40470","36970"
"In post","2022","Heterosexual / straight","Communications","Unknown","290","290","41380","38160"
"In post","2022","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Corporate Finance","Declared non-disabled","60","60","54890","47570"
"In post","2022","Heterosexual / straight","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Counter Fraud","Declared disabled","720","640","28460","27570"
