"Status","Year","Ethnicity","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Mixed","Heterosexual / straight","Project Delivery","210","200","42210","38630"
"In post","2021","Mixed","Heterosexual / straight","Property","70","70","35160","32560"
"In post","2021","Mixed","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Science and Engineering","140","140","36440","33300"
"In post","2021","Mixed","Heterosexual / straight","Security","70","70","34390","31490"
"In post","2021","Mixed","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Statistics","30","30","[c]","[c]"
"In post","2021","Mixed","Heterosexual / straight","Tax","160","150","35760","31810"
"In post","2021","Mixed","Heterosexual / straight","Unknown","1530","1450","31160","27570"
"In post","2021","Mixed","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Operational Delivery","190","180","29750","26570"
"In post","2021","Mixed","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Policy","100","100","42770","39680"
"In post","2021","Mixed","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","LGBO","Unknown","210","200","32000","27750"
"In post","2021","Mixed","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Operational Delivery","210","190","29780","26780"
"In post","2021","Mixed","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Policy","70","60","43010","37820"
"In post","2021","Mixed","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Undeclared","Unknown","140","130","32210","27570"
"In post","2021","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Legal","40","30","[c]","[c]"
"In post","2021","Mixed","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Operational Delivery","170","150","31360","30110"
"In post","2021","Mixed","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Policy","30","30","[c]","[c]"
"In post","2021","Mixed","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Mixed","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","210","180","29820","27570"
"In post","2021","Other ethnicity","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Digital, Data and Technology","60","60","42700","39850"
"In post","2021","Other ethnicity","Heterosexual / straight","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Finance","50","50","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Human Resources","40","30","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Legal","70","60","54680","53710"
"In post","2021","Other ethnicity","Heterosexual / straight","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Operational Delivery","590","560","30240","26810"
"In post","2021","Other ethnicity","Heterosexual / straight","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Other","80","70","31740","26950"
"In post","2021","Other ethnicity","Heterosexual / straight","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Policy","210","200","45070","39320"
"In post","2021","Other ethnicity","Heterosexual / straight","Project Delivery","70","60","41410","38630"
"In post","2021","Other ethnicity","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Tax","40","40","[c]","[c]"
"In post","2021","Other ethnicity","Heterosexual / straight","Unknown","390","370","32290","30130"
"In post","2021","Other ethnicity","Heterosexual / straight","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Operational Delivery","50","40","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Unknown","50","40","[c]","[c]"
"In post","2021","Other ethnicity","LGBO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Operational Delivery","70","70","31650","29090"
"In post","2021","Other ethnicity","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Undeclared","Unknown","60","60","33260","27570"
"In post","2021","Other ethnicity","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Legal","[c]","[c]","[c]","[c]"
