"Status","Year","Sexual_orientation","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","LGBO","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data & Technology","Unknown","90","90","49030","54700"
"In post","2021","LGBO","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Finance","200","200","42540","38630"
"In post","2021","LGBO","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Grants Management","Operational Delivery","60","50","25940","24920"
"In post","2021","LGBO","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Human Resources","310","300","41190","36640"
"In post","2021","LGBO","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Operational Delivery","40","40","[c]","[c]"
"In post","2021","LGBO","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","80","80","39400","35790"
"In post","2021","LGBO","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Internal Audit","30","30","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Legal","340","330","55860","54700"
"In post","2021","LGBO","Legal","Operational Delivery","170","160","28850","26410"
"In post","2021","LGBO","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Economics","30","30","[c]","[c]"
"In post","2021","LGBO","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Inspector of Education and Training","50","50","69920","75500"
"In post","2021","LGBO","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","International Trade","80","80","51070","51970"
"In post","2021","LGBO","No function","Knowledge and Information Management","50","40","[c]","[c]"
"In post","2021","LGBO","No function","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Operational Delivery","4900","4750","28960","26410"
"In post","2021","LGBO","No function","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Other","120","110","36040","32010"
"In post","2021","LGBO","No function","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Policy","1490","1470","46220","40650"
"In post","2021","LGBO","No function","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Psychology","60","60","31510","29060"
"In post","2021","LGBO","No function","Science and Engineering","280","270","36420","31680"
"In post","2021","LGBO","No function","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","No function","Tax","420","410","33940","31810"
"In post","2021","LGBO","No function","Unknown","340","330","37820","33510"
"In post","2021","LGBO","No function","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Operational Delivery","60","50","35270","31810"
"In post","2021","LGBO","Project Delivery","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Other","90","90","33800","28210"
"In post","2021","LGBO","Project Delivery","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Policy","140","130","55520","56110"
"In post","2021","LGBO","Project Delivery","Project Delivery","480","480","41360","38600"
"In post","2021","LGBO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Science and Engineering","80","80","34170","31600"
"In post","2021","LGBO","Project Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Operational Delivery","50","50","30820","25860"
"In post","2021","LGBO","Property","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Property","160","160","35400","32550"
"In post","2021","LGBO","Property","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Security","Security","230","230","31940","29040"
"In post","2021","LGBO","Security","Unknown","30","30","[c]","[c]"
"In post","2021","LGBO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Digital, Data and Technology","60","50","47880","40460"
"In post","2021","LGBO","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Intelligence Analysis","70","70","31560","29250"
"In post","2021","LGBO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Medicine","40","40","[c]","[c]"
"In post","2021","LGBO","Unknown","Operational Delivery","830","790","28700","25310"
"In post","2021","LGBO","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Other","320","310","29320","25390"
"In post","2021","LGBO","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Policy","250","250","47740","44500"
"In post","2021","LGBO","Unknown","Project Delivery","60","60","43110","37960"
"In post","2021","LGBO","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Science and Engineering","50","50","41190","33950"
