"Status","Year","Function_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department for Business, Energy and Industrial Strategy","60","50","59510","58650"
"In post","2021","Communications","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department for Education","80","80","56630","54400"
"In post","2021","Communications","G6/G7","Department for Environment, Food and Rural Affairs","90","90","53670","53200"
"In post","2021","Communications","G6/G7","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Department for Transport","60","60","57950","54760"
"In post","2021","Communications","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Department of Health and Social Care","100","100","58730","55150"
"In post","2021","Communications","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","HM Revenue and Customs","170","170","56190","52580"
"In post","2021","Communications","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Ministry of Defence","70","70","60180","61550"
"In post","2021","Communications","G6/G7","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Communications","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Attorney General's Departments","50","50","37490","38590"
"In post","2021","Communications","SEO/HEO","Cabinet Office","150","150","38750","39370"
"In post","2021","Communications","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy","130","130","39360","38690"
"In post","2021","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department for Education","150","150","37540","36960"
"In post","2021","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs","200","180","35190","36210"
"In post","2021","Communications","SEO/HEO","Department for International Trade","60","50","35110","33560"
"In post","2021","Communications","SEO/HEO","Department for Transport","140","130","37500","37310"
"In post","2021","Communications","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Department of Health and Social Care","120","120","36600","35340"
"In post","2021","Communications","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Foreign, Commonwealth and Development Office","80","80","41630","41310"
"In post","2021","Communications","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","HM Revenue and Customs","1340","1310","33350","31810"
"In post","2021","Communications","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Ministry of Defence","360","350","36310","35300"
"In post","2021","Communications","SEO/HEO","Ministry of Housing, Communities and Local Government","50","50","36640","34200"
"In post","2021","Communications","SEO/HEO","Ministry of Justice","100","100","37500","36800"
"In post","2021","Communications","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Scottish Government","30","30","[c]","[c]"
"In post","2021","Communications","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","United Kingdom Statistics Authority","60","50","33220","32540"
"In post","2021","Communications","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","HM Revenue and Customs","840","730","21470","21440"
"In post","2021","Counter Fraud","EO","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Counter Fraud","EO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Transport","40","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","HM Revenue and Customs","3320","3120","26980","25560"
"In post","2021","Counter Fraud","G6/G7","Attorney General's Departments","80","70","64250","63000"
"In post","2021","Counter Fraud","G6/G7","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","HM Revenue and Customs","940","900","56880","52770"
"In post","2021","Counter Fraud","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Attorney General's Departments","130","130","37120","36050"
"In post","2021","Counter Fraud","SEO/HEO","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Department for Business, Energy and Industrial Strategy","250","240","38680","39170"
"In post","2021","Counter Fraud","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HM Revenue and Customs","3710","3520","34890","32480"
"In post","2021","Counter Fraud","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA/AO","HM Revenue and Customs","3410","3070","20950","20140"
"In post","2021","Debt","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Debt","EO","HM Revenue and Customs","950","870","26830","25560"
"In post","2021","Debt","G6/G7","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Debt","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","HM Revenue and Customs","240","220","34290","31810"
"In post","2021","Debt","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Department for Transport","50","50","21660","21590"
