"Status","Year","Function_of_post","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Finance","Declared disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Ministry of Defence (excl. agencies)","130","130","35910","33150"
"In post","2022","Finance","Declared disabled","Ministry of Justice (excl. agencies)","60","60","42070","36310"
"In post","2022","Finance","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Cabinet Office (excl. agencies)","80","80","46160","42440"
"In post","2022","Finance","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Companies House","50","40","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Crown Prosecution Service","70","60","31530","26220"
"In post","2022","Finance","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Defence Equipment and Support","240","230","33710","28900"
"In post","2022","Finance","Declared non-disabled","Defence Science and Technology Laboratory","60","60","43030","40870"
"In post","2022","Finance","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","110","53630","53860"
"In post","2022","Finance","Declared non-disabled","Department for Digital, Culture, Media and Sport","60","60","51500","55000"
"In post","2022","Finance","Declared non-disabled","Department for Education (excl. agencies)","320","310","44090","42520"
"In post","2022","Finance","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","310","300","42470","37870"
"In post","2022","Finance","Declared non-disabled","Department for International Trade","60","60","48090","44030"
"In post","2022","Finance","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","90","90","51160","53130"
"In post","2022","Finance","Declared non-disabled","Department for Transport (excl. agencies)","130","130","49860","53630"
"In post","2022","Finance","Declared non-disabled","Department for Work and Pensions (excl. agencies)","1510","1410","38490","35310"
"In post","2022","Finance","Declared non-disabled","Department of Health and Social Care (excl. agencies)","140","130","44490","40650"
"In post","2022","Finance","Declared non-disabled","Driver and Vehicle Licensing Agency","120","110","33460","30890"
"In post","2022","Finance","Declared non-disabled","Driver and Vehicle Standards Agency","70","70","38970","38650"
"In post","2022","Finance","Declared non-disabled","Education and Skills Funding Agency","530","510","41040","36960"
"In post","2022","Finance","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","FCDO Services","50","50","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","150","140","47150","44110"
"In post","2022","Finance","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Government Legal Department","30","30","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","HM Courts and Tribunals Service","130","130","39270","36050"
"In post","2022","Finance","Declared non-disabled","HM Land Registry","40","40","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","HM Revenue and Customs (excl. agencies)","1670","1510","35400","33080"
"In post","2022","Finance","Declared non-disabled","HM Treasury (excl. agencies)","70","70","49420","53450"
"In post","2022","Finance","Declared non-disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Ministry of Defence (excl. agencies)","1210","1170","38520","33300"
"In post","2022","Finance","Declared non-disabled","Ministry of Justice (excl. agencies)","370","360","44390","41100"
"In post","2022","Finance","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","UK Export Finance","60","60","47070","41000"
"In post","2022","Finance","Declared non-disabled","UK Health Security Agency","70","70","39720","36830"
"In post","2022","Finance","Declared non-disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Valuation Office Agency","50","50","42630","39830"
"In post","2022","Finance","Declared non-disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
