"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Science and Engineering","Property","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","Unknown","Department of Health and Social Care","290","280","50480","45140"
"In post","2021","Science and Engineering","Unknown","Home Office","120","110","48280","40410"
"In post","2021","Science and Engineering","Unknown","Ministry of Defence","1830","1790","33080","27370"
"In post","2021","Science and Engineering","Unknown","Welsh Government","70","70","50340","47000"
"In post","2021","Security","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Security","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Security","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Security","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Security","No function","Department for Transport","160","160","45220","43360"
"In post","2021","Security","Project Delivery","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Security","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Security","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Education","30","30","[c]","[c]"
"In post","2021","Security","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Department for Transport","120","110","30490","26350"
"In post","2021","Security","Security","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Foreign, Commonwealth and Development Office","350","340","36590","33660"
"In post","2021","Security","Security","HM Revenue and Customs","190","180","40830","38630"
"In post","2021","Security","Security","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Ministry of Defence","6090","5980","29160","25540"
"In post","2021","Security","Security","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Ministry of Justice","680","670","39330","36720"
"In post","2021","Security","Security","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Security","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","Security","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Security","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Home Office","350","340","31070","28670"
"In post","2021","Social Research","Analysis","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Department for Transport","40","40","[c]","[c]"
"In post","2021","Social Research","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","HM Revenue and Customs","80","80","45540","41760"
"In post","2021","Social Research","Analysis","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Analysis","Ministry of Justice","70","60","48710","46300"
"In post","2021","Social Research","Analysis","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Social Research","Analysis","United Kingdom Statistics Authority","550","520","37670","37020"
"In post","2021","Social Research","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","No function","Department for Environment, Food and Rural Affairs","40","30","[c]","[c]"
"In post","2021","Social Research","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Unknown","Home Office","110","100","48330","43560"
"In post","2021","Social Research","Unknown","Welsh Government","140","130","44830","47000"
"In post","2021","Statistics","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Department for Business, Energy and Industrial Strategy","50","50","45030","42290"
"In post","2021","Statistics","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Department for Environment, Food and Rural Affairs","70","70","38190","32840"
"In post","2021","Statistics","Analysis","Department for International Trade","50","50","[c]","[c]"
"In post","2021","Statistics","Analysis","Department for Transport","120","110","45060","42890"
"In post","2021","Statistics","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Department of Health and Social Care","50","50","[c]","[c]"
"In post","2021","Statistics","Analysis","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","HM Revenue and Customs","310","290","43830","38630"
"In post","2021","Statistics","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Ministry of Defence","170","170","39870","37810"
"In post","2021","Statistics","Analysis","Ministry of Housing, Communities and Local Government","100","100","47480","43400"
"In post","2021","Statistics","Analysis","Ministry of Justice","110","110","45540","40480"
"In post","2021","Statistics","Analysis","Office for Standards in Education","110","110","39300","35010"
"In post","2021","Statistics","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Analysis","United Kingdom Statistics Authority","530","520","42070","37020"
"In post","2021","Statistics","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Project Delivery","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"In post","2021","Statistics","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","Unknown","Home Office","90","90","41500","36960"
"In post","2021","Statistics","Unknown","Welsh Government","80","80","39620","37410"
"In post","2021","Tax","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Communications","HM Revenue and Customs","2140","2070","27400","25560"
"In post","2021","Tax","Counter Fraud","HM Revenue and Customs","1910","1790","39290","35000"
"In post","2021","Tax","Debt","HM Revenue and Customs","1000","970","20750","20140"
"In post","2021","Tax","Digital, Data & Technology","HM Revenue and Customs","70","70","36470","33860"
"In post","2021","Tax","Finance","HM Revenue and Customs","70","60","33360","31810"
"In post","2021","Tax","Human Resources","HM Revenue and Customs","180","160","36020","31810"
"In post","2021","Tax","Legal","HM Revenue and Customs","350","340","38880","35000"
"In post","2021","Tax","No function","HM Revenue and Customs","11880","11140","34050","31810"
"In post","2021","Tax","No function","HM Treasury","60","50","61350","59700"
"In post","2021","Tax","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Tax","Project Delivery","HM Revenue and Customs","120","120","41560","36160"
"In post","2021","Tax","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Unknown","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Cabinet Office","1400","1380","70770","64500"
"In post","2021","Unknown","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Unknown","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Cabinet Office","340","340","47180","42190"
